PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),JACKIE SPEIER,ANGEL CARDENAS,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,114,18,27,0
Pct 1101,VBM,1101,1,586,287,48.98,224,32,31,0
Pct 1102,Election Day,1102,1,996,291,29.22,221,35,35,0
Pct 1102,VBM,1102,1,996,519,52.11,405,69,45,0
Pct 1103,Election Day,1103,1,971,263,27.09,204,29,30,0
Pct 1103,VBM,1103,1,971,518,53.35,412,69,37,0
Pct 1104/1105,Election Day,1104,1,991,329,33.20,226,51,52,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,339,60,35,0
Pct 1106,Election Day,1106,1,808,217,26.86,169,25,23,0
Pct 1106,VBM,1106,1,808,383,47.40,288,59,35,1
Pct 1107,Election Day,1107,1,781,222,28.43,179,19,24,0
Pct 1107,VBM,1107,1,781,284,36.36,213,51,20,0
Pct 1108,Election Day,1108,1,951,250,26.29,189,20,41,0
Pct 1108,VBM,1108,1,951,494,51.95,423,38,33,0
Pct 1109,Election Day,1109,1,809,215,26.58,148,30,37,0
Pct 1109,VBM,1109,1,809,402,49.69,291,68,43,0
Pct 1111,Election Day,1111,1,1031,246,23.86,175,27,44,0
Pct 1111,VBM,1111,1,1031,471,45.68,358,66,47,0
Pct 1112,Election Day,1112,1,765,173,22.61,124,22,27,0
Pct 1112,VBM,1112,1,765,384,50.20,301,31,51,1
Pct 1113,Election Day,1113,1,713,145,20.34,109,16,20,0
Pct 1113,VBM,1113,1,713,402,56.38,295,55,52,0
Pct 1114,Election Day,1114,1,971,297,30.59,176,49,71,1
Pct 1114,VBM,1114,1,971,444,45.73,329,63,52,0
Pct 1115,Election Day,1115,1,910,233,25.60,160,26,47,0
Pct 1115,VBM,1115,1,910,513,56.37,370,71,72,0
Pct 1116,Election Day,1116,1,913,245,26.83,198,17,30,0
Pct 1116,VBM,1116,1,913,391,42.83,290,54,47,0
Pct 1117,Election Day,1117,1,886,273,30.81,202,34,37,0
Pct 1117,VBM,1117,1,886,371,41.87,275,56,40,0
Pct 1118,Election Day,1118,1,1031,261,25.32,206,23,32,0
Pct 1118,VBM,1118,1,1031,515,49.95,389,72,54,0
Pct 1119,Election Day,1119,1,783,176,22.48,133,15,28,0
Pct 1119,VBM,1119,1,783,411,52.49,311,48,49,3
Pct 1121,Election Day,1121,1,691,192,27.79,123,34,35,0
Pct 1121,VBM,1121,1,691,333,48.19,246,46,41,0
Pct 1122,Election Day,1122,1,658,166,25.23,123,21,22,0
Pct 1122,VBM,1122,1,658,316,48.02,219,51,46,0
Pct 1123,Election Day,1123,1,954,259,27.15,195,29,35,0
Pct 1123,VBM,1123,1,954,387,40.57,289,51,47,0
Pct 1124,Election Day,1124,1,831,210,25.27,153,23,34,0
Pct 1124,VBM,1124,1,831,346,41.64,273,27,46,0
Pct 1125,Election Day,1125,1,1029,234,22.74,161,25,48,0
Pct 1125,VBM,1125,1,1029,511,49.66,381,87,42,1
Pct 1126,Election Day,1126,1,954,254,26.62,182,36,36,0
Pct 1126,VBM,1126,1,954,447,46.86,355,52,39,1
Pct 1127,Election Day,1127,1,911,273,29.97,193,32,48,0
Pct 1127,VBM,1127,1,911,412,45.23,287,76,49,0
Pct 1128,Election Day,1128,1,907,237,26.13,158,32,46,1
Pct 1128,VBM,1128,1,907,449,49.50,325,74,50,0
Pct 1129,Election Day,1129,1,951,280,29.44,174,48,58,0
Pct 1129,VBM,1129,1,951,423,44.48,302,78,43,0
Pct 1131,Election Day,1131,1,853,192,22.51,117,32,43,0
Pct 1131,VBM,1131,1,853,382,44.78,277,59,46,0
Pct 1132,Election Day,1132,1,982,226,23.01,159,22,45,0
Pct 1132,VBM,1132,1,982,495,50.41,339,86,70,0
Pct 1133,Election Day,1133,1,870,223,25.63,155,33,35,0
Pct 1133,VBM,1133,1,870,438,50.34,334,60,44,0
Pct 1134,Election Day,1134,1,793,216,27.24,146,26,44,0
Pct 1134,VBM,1134,1,793,377,47.54,265,64,48,0
Pct 1135,Election Day,1135,1,521,122,23.42,88,18,16,0
Pct 1135,VBM,1135,1,521,299,57.39,225,44,30,0
Pct 1136,Election Day,1136,1,857,206,24.04,147,26,33,0
Pct 1136,VBM,1136,1,857,463,54.03,335,83,45,0
Pct 9001 MB,Election Day,9001,1,269,11,4.09,1,0,10,0
Pct 9001 MB,VBM,9001,1,269,186,69.14,152,29,5,0
Pct 9453,Election Day,9453,1,502,147,29.28,105,21,21,0
Pct 9453,VBM,9453,1,502,268,53.39,204,38,26,0
Pct 9712,Election Day,9712,1,656,199,30.34,157,17,25,0
Pct 9712,VBM,9712,1,656,394,60.06,312,54,28,0
Pct 9714,Election Day,9714,1,941,268,28.48,200,42,26,0
Pct 9714,VBM,9714,1,941,557,59.19,415,98,44,0
Pct 9715,Election Day,9715,1,580,212,36.55,166,24,22,0
Pct 9715,VBM,9715,1,580,309,53.28,227,63,19,0
Pct 9718,Election Day,9718,1,859,267,31.08,204,45,18,0
Pct 9718,VBM,9718,1,859,488,56.81,384,75,29,0
Pct 9719,Election Day,9719,1,880,263,29.89,201,40,22,0
Pct 9719,VBM,9719,1,880,492,55.91,386,67,39,0
Pct 9721,Election Day,9721,1,657,222,33.79,164,34,24,0
Pct 9721,VBM,9721,1,657,353,53.73,285,45,23,0
Pct 9722,Election Day,9722,1,634,162,25.55,109,34,19,0
Pct 9722,VBM,9722,1,634,381,60.09,285,59,37,0
Pct 9723,Election Day,9723,1,478,111,23.22,66,29,16,0
Pct 9723,VBM,9723,1,478,285,59.62,199,55,31,0
Pct 9724,Election Day,9724,1,978,255,26.07,171,52,32,0
Pct 9724,VBM,9724,1,978,569,58.18,377,126,66,0
Pct 9725,Election Day,9725,1,985,251,25.48,169,48,33,1
Pct 9725,VBM,9725,1,985,532,54.01,369,101,61,1
Pct 9726,Election Day,9726,1,782,303,38.75,231,33,39,0
Pct 9726,VBM,9726,1,782,303,38.75,216,52,35,0
Pct 9727,Election Day,9727,1,454,111,24.45,74,25,12,0
Pct 9727,VBM,9727,1,454,285,62.78,192,62,31,0
Pct 9728,Election Day,9728,1,937,287,30.63,181,74,32,0
Pct 9728,VBM,9728,1,937,518,55.28,366,126,26,0
Pct 9729,Election Day,9729,1,802,218,27.18,153,50,14,1
Pct 9729,VBM,9729,1,802,490,61.10,372,91,27,0
Pct 9731,Election Day,9731,1,548,198,36.13,140,41,17,0
Pct 9731,VBM,9731,1,548,287,52.37,193,69,25,0
Pct 9733 MB,Election Day,9733,1,221,4,1.81,2,1,1,0
Pct 9733 MB,VBM,9733,1,221,200,90.50,165,22,13,0
Pct 9734,Election Day,9734,1,603,185,30.68,136,34,15,0
Pct 9734,VBM,9734,1,603,350,58.04,262,70,18,0
Pct 9735,Election Day,9735,1,807,227,28.13,162,39,26,0
Pct 9735,VBM,9735,1,807,472,58.49,369,73,30,0
Pct 9736,Election Day,9736,1,729,209,28.67,161,32,16,0
Pct 9736,VBM,9736,1,729,442,60.63,369,48,25,0
Pct 9737,Election Day,9737,1,782,233,29.80,191,22,20,0
Pct 9737,VBM,9737,1,782,482,61.64,397,58,27,0
Pct 9738,Election Day,9738,1,850,275,32.35,188,53,34,0
Pct 9738,VBM,9738,1,850,405,47.65,305,60,40,0
Pct 9739,Election Day,9739,1,912,302,33.11,220,35,47,0
Pct 9739,VBM,9739,1,912,379,41.56,296,50,33,0
Pct 9741,Election Day,9741,1,1064,433,40.70,317,31,85,0
Pct 9741,VBM,9741,1,1064,246,23.12,184,25,37,0
Pct 9742,Election Day,9742,1,669,217,32.44,152,38,27,0
