PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),JANE KIM,SCOTT WIENER,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,91,57,10,1
Pct 1101,VBM,1101,1,586,287,48.98,138,131,17,1
Pct 1102,Election Day,1102,1,996,291,29.22,151,117,23,0
Pct 1102,VBM,1102,1,996,519,52.11,244,231,43,1
Pct 1103,Election Day,1103,1,971,263,27.09,137,99,27,0
Pct 1103,VBM,1103,1,971,518,53.35,236,242,40,0
Pct 1104/1105,Election Day,1104,1,991,329,33.20,184,119,26,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,198,210,26,0
Pct 1106,Election Day,1106,1,808,217,26.86,102,92,23,0
Pct 1106,VBM,1106,1,808,383,47.40,168,172,42,1
Pct 1107,Election Day,1107,1,781,222,28.43,123,76,22,1
Pct 1107,VBM,1107,1,781,284,36.36,117,134,30,3
Pct 1108,Election Day,1108,1,951,250,26.29,120,110,20,0
Pct 1108,VBM,1108,1,951,494,51.95,202,262,30,0
Pct 1109,Election Day,1109,1,809,215,26.58,93,99,23,0
Pct 1109,VBM,1109,1,809,402,49.69,164,196,42,0
Pct 1111,Election Day,1111,1,1031,246,23.86,126,89,29,2
Pct 1111,VBM,1111,1,1031,471,45.68,210,208,52,1
Pct 1112,Election Day,1112,1,765,173,22.61,103,56,14,0
Pct 1112,VBM,1112,1,765,384,50.20,189,162,33,0
Pct 1113,Election Day,1113,1,713,145,20.34,82,42,21,0
Pct 1113,VBM,1113,1,713,402,56.38,187,184,30,1
Pct 1114,Election Day,1114,1,971,297,30.59,145,106,46,0
Pct 1114,VBM,1114,1,971,444,45.73,217,187,40,0
Pct 1115,Election Day,1115,1,910,233,25.60,126,86,21,0
Pct 1115,VBM,1115,1,910,513,56.37,225,223,64,1
Pct 1116,Election Day,1116,1,913,245,26.83,133,88,24,0
Pct 1116,VBM,1116,1,913,391,42.83,174,187,30,0
Pct 1117,Election Day,1117,1,886,273,30.81,130,95,46,2
Pct 1117,VBM,1117,1,886,371,41.87,143,191,37,0
Pct 1118,Election Day,1118,1,1031,261,25.32,137,103,21,0
Pct 1118,VBM,1118,1,1031,515,49.95,224,245,46,0
Pct 1119,Election Day,1119,1,783,176,22.48,98,56,22,0
Pct 1119,VBM,1119,1,783,411,52.49,165,199,46,1
Pct 1121,Election Day,1121,1,691,192,27.79,98,72,20,2
Pct 1121,VBM,1121,1,691,333,48.19,141,155,37,0
Pct 1122,Election Day,1122,1,658,166,25.23,89,62,15,0
Pct 1122,VBM,1122,1,658,316,48.02,136,144,36,0
Pct 1123,Election Day,1123,1,954,259,27.15,150,87,22,0
Pct 1123,VBM,1123,1,954,387,40.57,153,195,39,0
Pct 1124,Election Day,1124,1,831,210,25.27,117,75,18,0
Pct 1124,VBM,1124,1,831,346,41.64,156,163,26,1
Pct 1125,Election Day,1125,1,1029,234,22.74,120,86,28,0
Pct 1125,VBM,1125,1,1029,511,49.66,224,242,44,1
Pct 1126,Election Day,1126,1,954,254,26.62,129,98,26,1
Pct 1126,VBM,1126,1,954,447,46.86,188,219,39,1
Pct 1127,Election Day,1127,1,911,273,29.97,146,98,28,1
Pct 1127,VBM,1127,1,911,412,45.23,164,210,38,0
Pct 1128,Election Day,1128,1,907,237,26.13,133,70,33,1
Pct 1128,VBM,1128,1,907,449,49.50,194,218,35,2
Pct 1129,Election Day,1129,1,951,280,29.44,134,95,49,2
Pct 1129,VBM,1129,1,951,423,44.48,169,214,39,1
Pct 1131,Election Day,1131,1,853,192,22.51,106,57,29,0
Pct 1131,VBM,1131,1,853,382,44.78,136,204,40,2
Pct 1132,Election Day,1132,1,982,226,23.01,101,94,30,1
Pct 1132,VBM,1132,1,982,495,50.41,215,222,57,1
Pct 1133,Election Day,1133,1,870,223,25.63,101,82,40,0
Pct 1133,VBM,1133,1,870,438,50.34,197,203,37,1
Pct 1134,Election Day,1134,1,793,216,27.24,121,75,20,0
Pct 1134,VBM,1134,1,793,377,47.54,156,171,49,1
Pct 1135,Election Day,1135,1,521,122,23.42,61,52,9,0
Pct 1135,VBM,1135,1,521,299,57.39,124,147,26,2
Pct 1136,Election Day,1136,1,857,206,24.04,117,68,21,0
Pct 1136,VBM,1136,1,857,463,54.03,190,217,53,3
Pct 1141,Election Day,1141,1,1047,259,24.74,135,101,22,1
Pct 1141,VBM,1141,1,1047,553,52.82,262,248,42,1
Pct 1142,Election Day,1142,1,858,232,27.04,121,82,28,1
Pct 1142,VBM,1142,1,858,435,50.70,197,195,43,0
Pct 1143,Election Day,1143,1,1056,302,28.60,186,97,19,0
