PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),MATTHEW DEL CARLO,DAVID CHIU,Under Vote,Over Vote
Pct 1141,Election Day,1141,1,1047,259,24.74,41,166,52,0
Pct 1141,VBM,1141,1,1047,553,52.82,67,411,75,0
Pct 1142,Election Day,1142,1,858,232,27.04,31,136,65,0
Pct 1142,VBM,1142,1,858,435,50.70,73,295,67,0
Pct 1143,Election Day,1143,1,1056,302,28.60,48,192,62,0
Pct 1143,VBM,1143,1,1056,499,47.25,88,332,79,0
Pct 1144,Election Day,1144,1,928,266,28.66,48,154,64,0
Pct 1144,VBM,1144,1,928,447,48.17,61,336,49,1
Pct 1145,Election Day,1145,1,931,237,25.46,36,148,53,0
Pct 1145,VBM,1145,1,931,516,55.42,69,396,51,0
Pct 1146,Election Day,1146,1,1036,241,23.26,42,138,61,0
Pct 1146,VBM,1146,1,1036,550,53.09,63,399,88,0
Pct 1147,Election Day,1147,1,927,270,29.13,38,173,59,0
Pct 1147,VBM,1147,1,927,464,50.05,62,342,59,1
Pct 1148,Election Day,1148,1,992,264,26.61,50,148,65,1
Pct 1148,VBM,1148,1,992,463,46.67,86,309,66,2
Pct 1149,Election Day,1149,1,950,291,30.63,42,187,62,0
Pct 1149,VBM,1149,1,950,456,48.00,63,338,54,1
Pct 1151 MB,Election Day,1151,1,0,0,0.00,0,0,0,0
Pct 1151 MB,VBM,1151,1,0,0,0.00,0,0,0,0
Pct 1152,Election Day,1152,1,898,236,26.28,44,145,47,0
Pct 1152,VBM,1152,1,898,435,48.44,67,295,73,0
Pct 1153,Election Day,1153,1,961,281,29.24,47,163,71,0
Pct 1153,VBM,1153,1,961,468,48.70,82,323,63,0
Pct 1154 MB,Election Day,1154,1,0,0,0.00,0,0,0,0
Pct 1154 MB,VBM,1154,1,0,0,0.00,0,0,0,0
Pct 7001,Election Day,7001,1,742,204,27.49,17,149,38,0
Pct 7001,VBM,7001,1,742,355,47.84,35,270,50,0
Pct 7002,Election Day,7002,1,1225,322,26.29,35,221,66,0
Pct 7002,VBM,7002,1,1225,675,55.10,73,485,117,0
Pct 7003,Election Day,7003,1,927,280,30.20,25,198,57,0
Pct 7003,VBM,7003,1,927,554,59.76,65,413,76,0
Pct 7004,Election Day,7004,1,896,253,28.24,28,184,41,0
Pct 7004,VBM,7004,1,896,555,61.94,48,430,77,0
Pct 7005,Election Day,7005,1,853,302,35.40,16,225,61,0
Pct 7005,VBM,7005,1,853,453,53.11,41,348,64,0
Pct 7006,Election Day,7006,1,966,290,30.02,30,192,68,0
Pct 7006,VBM,7006,1,966,509,52.69,43,385,81,0
Pct 7007,Election Day,7007,1,987,302,30.60,21,239,42,0
Pct 7007,VBM,7007,1,987,568,57.55,47,432,88,1
Pct 7008,Election Day,7008,1,882,293,33.22,33,209,51,0
Pct 7008,VBM,7008,1,882,527,59.75,58,414,55,0
Pct 7009,Election Day,7009,1,931,249,26.75,31,172,46,0
Pct 7009,VBM,7009,1,931,501,53.81,50,387,64,0
Pct 7011,Election Day,7011,1,1063,255,23.99,26,170,59,0
Pct 7011,VBM,7011,1,1063,366,34.43,41,278,47,0
Pct 7012,Election Day,7012,1,1034,361,34.91,43,253,65,0
Pct 7012,VBM,7012,1,1034,564,54.55,58,436,70,0
Pct 7013,Election Day,7013,1,733,209,28.51,22,147,40,0
Pct 7013,VBM,7013,1,733,431,58.80,48,327,56,0
Pct 7014,Election Day,7014,1,1073,311,28.98,38,221,52,0
Pct 7014,VBM,7014,1,1073,617,57.50,43,480,94,0
Pct 7015 MB,Election Day,7015,1,113,3,2.65,1,2,0,0
Pct 7015 MB,VBM,7015,1,113,78,69.03,9,61,8,0
Pct 7016,Election Day,7016,1,977,239,24.46,24,163,51,1
Pct 7016,VBM,7016,1,977,354,36.23,31,276,47,0
Pct 7017,Election Day,7017,1,786,200,25.45,24,138,38,0
Pct 7017,VBM,7017,1,786,269,34.22,35,199,34,1
Pct 7018,Election Day,7018,1,992,195,19.66,28,121,46,0
Pct 7018,VBM,7018,1,992,477,48.08,54,376,47,0
Pct 7019,Election Day,7019,1,945,228,24.13,28,159,41,0
Pct 7019,VBM,7019,1,945,468,49.52,60,356,52,0
Pct 7021,Election Day,7021,1,993,266,26.79,36,176,54,0
Pct 7021,VBM,7021,1,993,365,36.76,34,285,46,0
Pct 7022,Election Day,7022,1,1032,271,26.26,30,187,54,0
Pct 7022,VBM,7022,1,1032,396,38.37,31,317,48,0
Pct 7023,Election Day,7023,1,938,255,27.19,31,165,59,0
Pct 7023,VBM,7023,1,938,416,44.35,37,322,56,1
Pct 7024,Election Day,7024,1,309,75,24.27,7,43,25,0
Pct 7024,VBM,7024,1,309,44,14.24,8,32,3,1
Pct 7025,Election Day,7025,1,505,129,25.54,19,84,26,0
Pct 7025,VBM,7025,1,505,137,27.13,12,113,12,0
Pct 7026,Election Day,7026,1,1022,202,19.77,31,135,36,0
Pct 7026,VBM,7026,1,1022,498,48.73,57,364,77,0
Pct 7027,Election Day,7027,1,879,244,27.76,30,155,59,0
Pct 7027,VBM,7027,1,879,333,37.88,46,236,51,0
Pct 7028,Election Day,7028,1,900,267,29.67,25,192,50,0
Pct 7028,VBM,7028,1,900,277,30.78,29,213,35,0
Pct 7029,Election Day,7029,1,924,252,27.27,26,146,80,0
Pct 7029,VBM,7029,1,924,273,29.55,30,188,54,1
Pct 7030,Election Day,7030,1,787,162,20.58,29,106,27,0
Pct 7030,VBM,7030,1,787,396,50.32,52,296,47,1
Pct 7031,Election Day,7031,1,511,97,18.98,12,55,30,0
Pct 7031,VBM,7031,1,511,295,57.73,47,203,45,0
Pct 7032,Election Day,7032,1,938,227,24.20,35,154,38,0
Pct 7032,VBM,7032,1,938,362,38.59,48,267,45,2
Pct 7033,Election Day,7033,1,814,247,30.34,43,148,56,0
Pct 7033,VBM,7033,1,814,299,36.73,44,215,39,1
Pct 7034,Election Day,7034,1,954,264,27.67,39,160,65,0
Pct 7034,VBM,7034,1,954,251,26.31,20,193,38,0
Pct 7035,Election Day,7035,1,476,141,29.62,25,92,24,0
Pct 7035,VBM,7035,1,476,200,42.02,27,138,35,0
Pct 7036,Election Day,7036,1,967,175,18.10,31,95,48,1
Pct 7036,VBM,7036,1,967,421,43.54,76,305,40,0
Pct 7037,Election Day,7037,1,840,221,26.31,23,137,61,0
Pct 7037,VBM,7037,1,840,158,18.81,19,117,21,1
Pct 7038,Election Day,7038,1,960,209,21.77,34,117,58,0
Pct 7038,VBM,7038,1,960,386,40.21,54,296,36,0
Pct 7039,Election Day,7039,1,831,246,29.60,37,158,51,0
Pct 7039,VBM,7039,1,831,379,45.61,55,271,53,0
Pct 7041 MB,Election Day,7041,1,62,6,9.68,0,3,3,0
Pct 7041 MB,VBM,7041,1,62,36,58.06,7,24,5,0
Pct 7042,Election Day,7042,1,697,145,20.80,32,81,32,0
Pct 7042,VBM,7042,1,697,369,52.94,45,264,60,0
Pct 7043,Election Day,7043,1,990,208,21.01,27,131,50,0
Pct 7043,VBM,7043,1,990,432,43.64,52,321,59,0
