PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),PHIL TING,CARLOS ''CHUCK'' TAYLOR,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,100,22,37,0
Pct 1101,VBM,1101,1,586,287,48.98,208,43,36,0
Pct 1102,Election Day,1102,1,996,291,29.22,212,38,41,0
Pct 1102,VBM,1102,1,996,519,52.11,389,80,50,0
Pct 1103,Election Day,1103,1,971,263,27.09,176,37,50,0
Pct 1103,VBM,1103,1,971,518,53.35,399,76,43,0
Pct 1104/1105,Election Day,1104,1,991,329,33.20,209,49,71,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,330,64,40,0
Pct 1106,Election Day,1106,1,808,217,26.86,153,32,32,0
Pct 1106,VBM,1106,1,808,383,47.40,273,62,47,1
Pct 1107,Election Day,1107,1,781,222,28.43,157,29,36,0
Pct 1107,VBM,1107,1,781,284,36.36,207,45,32,0
Pct 1108,Election Day,1108,1,951,250,26.29,188,17,45,0
Pct 1108,VBM,1108,1,951,494,51.95,403,41,50,0
Pct 1109,Election Day,1109,1,809,215,26.58,131,29,55,0
Pct 1109,VBM,1109,1,809,402,49.69,290,64,48,0
Pct 1111,Election Day,1111,1,1031,246,23.86,157,30,59,0
Pct 1111,VBM,1111,1,1031,471,45.68,344,69,57,1
Pct 1112,Election Day,1112,1,765,173,22.61,114,20,39,0
Pct 1112,VBM,1112,1,765,384,50.20,290,36,58,0
Pct 1113,Election Day,1113,1,713,145,20.34,95,23,27,0
Pct 1113,VBM,1113,1,713,402,56.38,298,50,54,0
Pct 1114,Election Day,1114,1,971,297,30.59,160,51,86,0
Pct 1114,VBM,1114,1,971,444,45.73,328,59,57,0
Pct 1115,Election Day,1115,1,910,233,25.60,156,29,48,0
Pct 1115,VBM,1115,1,910,513,56.37,361,71,81,0
Pct 1116,Election Day,1116,1,913,245,26.83,160,33,51,1
Pct 1116,VBM,1116,1,913,391,42.83,294,45,52,0
Pct 1117,Election Day,1117,1,886,273,30.81,175,39,59,0
Pct 1117,VBM,1117,1,886,371,41.87,263,58,49,1
Pct 1118,Election Day,1118,1,1031,261,25.32,192,31,38,0
Pct 1118,VBM,1118,1,1031,515,49.95,384,66,65,0
Pct 1119,Election Day,1119,1,783,176,22.48,110,23,43,0
Pct 1119,VBM,1119,1,783,411,52.49,297,52,61,1
Pct 1121,Election Day,1121,1,691,192,27.79,125,30,37,0
Pct 1121,VBM,1121,1,691,333,48.19,232,63,38,0
Pct 1122,Election Day,1122,1,658,166,25.23,113,29,24,0
Pct 1122,VBM,1122,1,658,316,48.02,229,32,54,1
Pct 1123,Election Day,1123,1,954,259,27.15,162,37,60,0
Pct 1123,VBM,1123,1,954,387,40.57,275,54,58,0
Pct 1124,Election Day,1124,1,831,210,25.27,150,22,38,0
Pct 1124,VBM,1124,1,831,346,41.64,263,35,48,0
Pct 1125,Election Day,1125,1,1029,234,22.74,155,26,53,0
Pct 1125,VBM,1125,1,1029,511,49.66,370,80,60,1
Pct 1126,Election Day,1126,1,954,254,26.62,178,37,39,0
Pct 1126,VBM,1126,1,954,447,46.86,339,69,39,0
Pct 1127,Election Day,1127,1,911,273,29.97,178,44,51,0
Pct 1127,VBM,1127,1,911,412,45.23,287,73,52,0
Pct 1128,Election Day,1128,1,907,237,26.13,147,34,54,2
Pct 1128,VBM,1128,1,907,449,49.50,302,85,62,0
Pct 1129,Election Day,1129,1,951,280,29.44,160,59,61,0
Pct 1129,VBM,1129,1,951,423,44.48,308,70,45,0
Pct 1131,Election Day,1131,1,853,192,22.51,113,25,54,0
Pct 1131,VBM,1131,1,853,382,44.78,267,70,45,0
Pct 1132,Election Day,1132,1,982,226,23.01,136,36,53,1
Pct 1132,VBM,1132,1,982,495,50.41,346,90,59,0
Pct 1133,Election Day,1133,1,870,223,25.63,141,30,52,0
Pct 1133,VBM,1133,1,870,438,50.34,323,64,51,0
Pct 1134,Election Day,1134,1,793,216,27.24,138,32,46,0
Pct 1134,VBM,1134,1,793,377,47.54,277,57,43,0
Pct 1135,Election Day,1135,1,521,122,23.42,83,17,22,0
Pct 1135,VBM,1135,1,521,299,57.39,229,41,29,0
Pct 1136,Election Day,1136,1,857,206,24.04,123,44,39,0
Pct 1136,VBM,1136,1,857,463,54.03,318,81,63,1
Pct 9001 MB,Election Day,9001,1,269,11,4.09,1,0,10,0
Pct 9001 MB,VBM,9001,1,269,186,69.14,139,39,8,0
Pct 9101,Election Day,9101,1,899,296,32.93,200,49,47,0
Pct 9101,VBM,9101,1,899,444,49.39,313,67,64,0
Pct 9102,Election Day,9102,1,989,313,31.65,188,55,70,0
Pct 9102,VBM,9102,1,989,504,50.96,387,71,46,0
Pct 9103,Election Day,9103,1,971,317,32.65,203,51,63,0
Pct 9103,VBM,9103,1,971,469,48.30,317,92,60,0
Pct 9104,Election Day,9104,1,1004,273,27.19,187,39,47,0
Pct 9104,VBM,9104,1,1004,522,51.99,370,76,76,0
Pct 9105,Election Day,9105,1,975,316,32.41,222,42,52,0
Pct 9105,VBM,9105,1,975,501,51.38,345,73,83,0
Pct 9106,Election Day,9106,1,938,307,32.73,210,41,56,0
Pct 9106,VBM,9106,1,938,512,54.58,383,70,59,0
Pct 9107,Election Day,9107,1,859,290,33.76,197,35,58,0
Pct 9107,VBM,9107,1,859,389,45.29,266,59,64,0
Pct 9108,Election Day,9108,1,815,294,36.07,215,33,46,0
