PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),SAMUEL KWONG,SHERMAN R. D'SILVA,MARJAN PHILHOUR,RICHIE GREENBERG,DAVID LEE,BRIAN J. LARKIN,JONATHAN LYENS,SANDRA LEE FEWER,ANDY THORNLEY,JASON JUNGREIS,WRITE-IN,Under Vote,Over Vote
Pct 7101 MB,Election Day,7101,1,150,3,2.00,0,0,0,0,0,0,0,0,0,0,0,2,0
Pct 7101 MB,VBM,7101,1,150,123,82.00,2,2,38,2,12,1,2,45,1,0,0,15,1
Pct 9101,Election Day,9101,1,899,296,32.93,4,3,93,10,26,6,6,101,3,6,1,32,1
Pct 9101,VBM,9101,1,899,444,49.39,10,13,123,14,39,11,7,155,5,14,0,32,8
Pct 9102,Election Day,9102,1,989,313,31.65,6,0,102,14,16,10,5,120,2,5,0,27,1
Pct 9102,VBM,9102,1,989,504,50.96,6,12,162,17,41,24,8,180,1,9,1,26,3
Pct 9103,Election Day,9103,1,971,317,32.65,8,5,102,10,28,5,9,94,3,5,0,30,3
Pct 9103,VBM,9103,1,971,469,48.30,13,5,151,21,49,10,10,134,5,7,0,46,2
Pct 9104,Election Day,9104,1,1004,273,27.19,5,3,88,10,27,4,3,100,1,2,0,26,0
Pct 9104,VBM,9104,1,1004,522,51.99,14,15,171,11,48,12,9,167,8,8,1,41,1
Pct 9105,Election Day,9105,1,975,316,32.41,5,2,118,7,19,3,9,112,3,4,0,33,0
Pct 9105,VBM,9105,1,975,501,51.38,14,8,180,15,46,8,14,144,3,6,2,41,4
Pct 9106,Election Day,9106,1,938,307,32.73,6,4,120,14,22,4,5,94,5,5,0,27,0
Pct 9106,VBM,9106,1,938,512,54.58,10,5,201,7,41,8,8,157,8,10,0,43,1
Pct 9107,Election Day,9107,1,859,290,33.76,12,3,92,11,18,5,2,107,2,3,1,27,1
Pct 9107,VBM,9107,1,859,389,45.29,6,6,116,18,39,13,5,126,5,5,0,32,2
Pct 9108,Election Day,9108,1,815,294,36.07,7,4,100,10,21,5,5,110,3,4,0,19,0
Pct 9108,VBM,9108,1,815,397,48.71,3,12,116,9,43,8,4,138,4,7,0,37,2
Pct 9109,Election Day,9109,1,875,311,35.54,1,11,112,6,12,2,19,89,6,8,0,42,2
Pct 9109,VBM,9109,1,875,438,50.06,7,2,158,11,41,7,24,127,6,6,0,31,4
