PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),TIM E. DONNELLY,AARON PESKIN,WRITE-IN,Under Vote,Over Vote
Pct 7301,Election Day,7301,1,1080,258,23.89,55,118,1,55,1
Pct 7301,VBM,7301,1,1080,555,51.39,120,343,4,69,0
Pct 7302,Election Day,7302,1,862,224,25.99,45,139,1,36,0
Pct 7302,VBM,7302,1,862,508,58.93,138,306,2,46,1
Pct 7303,Election Day,7303,1,1032,313,30.33,64,181,1,61,0
Pct 7303,VBM,7303,1,1032,538,52.13,120,329,4,75,2
Pct 7304,Election Day,7304,1,993,327,32.93,89,167,3,63,0
Pct 7304,VBM,7304,1,993,501,50.45,140,286,11,48,1
Pct 7305,Election Day,7305,1,906,272,30.02,74,133,2,57,0
Pct 7305,VBM,7305,1,906,500,55.19,153,262,6,56,0
Pct 7306,Election Day,7306,1,1076,351,32.62,76,176,2,70,0
Pct 7306,VBM,7306,1,1076,531,49.35,162,277,4,61,0
Pct 7307,Election Day,7307,1,826,267,32.32,63,148,3,51,0
Pct 7307,VBM,7307,1,826,407,49.27,107,221,4,60,0
Pct 7308,Election Day,7308,1,641,209,32.61,48,131,2,25,0
Pct 7308,VBM,7308,1,641,339,52.89,90,200,2,38,0
Pct 7309,Election Day,7309,1,897,295,32.89,95,126,0,70,0
Pct 7309,VBM,7309,1,897,469,52.29,142,222,4,77,0
Pct 7311,Election Day,7311,1,986,333,33.77,96,146,0,79,0
Pct 7311,VBM,7311,1,986,520,52.74,138,276,5,72,1
Pct 7312,Election Day,7312,1,874,229,26.20,74,110,2,40,1
Pct 7312,VBM,7312,1,874,539,61.67,164,269,5,71,0
Pct 7313,Election Day,7313,1,1001,261,26.07,54,149,2,16,1
Pct 7313,VBM,7313,1,1001,537,53.65,138,307,4,66,0
Pct 7314,Election Day,7314,1,833,164,19.69,32,98,1,30,0
Pct 7314,VBM,7314,1,833,347,41.66,59,233,2,42,0
Pct 7315,Election Day,7315,1,783,226,28.86,41,137,4,41,0
Pct 7315,VBM,7315,1,783,371,47.38,68,240,4,38,0
Pct 7316,Election Day,7316,1,893,220,24.64,39,143,0,32,0
Pct 7316,VBM,7316,1,893,441,49.38,89,302,1,39,1
Pct 7317,Election Day,7317,1,938,225,23.99,57,134,1,27,0
Pct 7317,VBM,7317,1,938,518,55.22,133,297,7,59,0
Pct 7318,Election Day,7318,1,788,252,31.98,72,106,25,37,0
Pct 7318,VBM,7318,1,788,437,55.46,93,273,0,56,0
Pct 7319,Election Day,7319,1,1123,330,29.39,88,163,1,67,2
Pct 7319,VBM,7319,1,1123,578,51.47,161,302,2,81,3
Pct 7321,Election Day,7321,1,683,179,26.21,36,102,3,37,0
Pct 7321,VBM,7321,1,683,314,45.97,64,198,1,37,1
Pct 7322,Election Day,7322,1,937,122,13.02,19,68,5,21,0
Pct 7322,VBM,7322,1,937,404,43.12,39,300,0,60,0
Pct 7323,Election Day,7323,1,888,277,31.19,72,141,3,57,0
Pct 7323,VBM,7323,1,888,450,50.68,115,263,0,50,0
Pct 7324,Election Day,7324,1,756,216,28.57,33,119,0,18,0
Pct 7324,VBM,7324,1,756,385,50.93,85,228,2,54,0
Pct 7325,Election Day,7325,1,973,282,28.98,70,145,3,50,0
Pct 7325,VBM,7325,1,973,510,52.42,106,303,5,76,0
Pct 7326,Election Day,7326,1,922,266,28.85,64,142,1,55,0
Pct 7326,VBM,7326,1,922,483,52.39,105,304,4,50,0
Pct 7327,Election Day,7327,1,762,95,12.47,14,59,0,19,0
Pct 7327,VBM,7327,1,762,339,44.49,59,234,1,41,0
Pct 7328,Election Day,7328,1,1024,115,11.23,14,74,0,26,0
Pct 7328,VBM,7328,1,1024,502,49.02,83,339,3,73,1
Pct 7329,Election Day,7329,1,607,120,19.77,34,59,0,25,0
Pct 7329,VBM,7329,1,607,334,55.02,89,187,3,42,0
Pct 7331,Election Day,7331,1,933,260,27.87,72,126,1,58,0
Pct 7331,VBM,7331,1,933,533,57.13,133,322,1,51,0
Pct 7332,Election Day,7332,1,889,274,30.82,62,142,24,26,0
Pct 7332,VBM,7332,1,889,444,49.94,100,272,7,51,1
Pct 7333,Election Day,7333,1,1101,324,29.43,78,178,2,64,0
Pct 7333,VBM,7333,1,1101,564,51.23,117,333,2,84,0
Pct 7334,Election Day,7334,1,963,248,25.75,51,143,19,38,0
Pct 7334,VBM,7334,1,963,526,54.62,93,340,4,70,0
