PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),DEAN PRESTON,LONDON BREED,WRITE-IN,Under Vote,Over Vote
Pct 7501,Election Day,7501,1,574,201,35.02,54,109,1,32,0
Pct 7501,VBM,7501,1,574,321,55.92,89,157,1,55,0
Pct 7502,Election Day,7502,1,808,240,29.70,94,92,1,49,0
Pct 7502,VBM,7502,1,808,454,56.19,148,233,3,53,2
Pct 7503,Election Day,7503,1,808,252,31.19,110,89,0,44,1
Pct 7503,VBM,7503,1,808,436,53.96,145,212,3,58,2
Pct 7504,Election Day,7504,1,503,158,31.41,49,64,1,39,0
Pct 7504,VBM,7504,1,503,262,52.09,84,131,4,24,0
Pct 7505,Election Day,7505,1,915,181,19.78,62,89,0,26,1
Pct 7505,VBM,7505,1,915,581,63.50,202,299,3,52,0
Pct 7506,Election Day,7506,1,1018,261,25.64,84,133,2,36,0
Pct 7506,VBM,7506,1,1018,537,52.75,174,273,3,60,0
Pct 7507,Election Day,7507,1,992,244,24.60,74,150,1,15,0
Pct 7507,VBM,7507,1,992,387,39.01,134,226,0,20,2
Pct 7508,Election Day,7508,1,735,150,20.41,67,61,1,19,0
Pct 7508,VBM,7508,1,735,456,62.04,150,241,4,55,0
Pct 7509/7511,Election Day,7509,1,1006,260,25.84,118,104,6,26,0
Pct 7509/7511,VBM,7509,1,1006,565,56.16,218,257,6,69,1
Pct 7512,Election Day,7512,1,638,168,26.33,77,71,1,14,1
Pct 7512,VBM,7512,1,638,325,50.94,131,155,1,35,1
Pct 7513,Election Day,7513,1,836,257,30.74,91,119,0,42,1
Pct 7513,VBM,7513,1,836,344,41.15,105,189,5,34,0
Pct 7514,Election Day,7514,1,886,186,20.99,37,124,2,24,0
Pct 7514,VBM,7514,1,886,358,40.41,94,236,0,20,1
Pct 7515,Election Day,7515,1,898,262,29.18,85,142,0,33,0
Pct 7515,VBM,7515,1,898,448,49.89,144,246,3,41,1
Pct 7516,Election Day,7516,1,907,201,22.16,70,92,2,33,0
Pct 7516,VBM,7516,1,907,558,61.52,198,275,2,70,0
Pct 7517,Election Day,7517,1,956,354,37.03,183,126,1,39,0
Pct 7517,VBM,7517,1,956,472,49.37,190,221,1,41,0
Pct 7518,Election Day,7518,1,993,356,35.85,197,101,1,49,1
Pct 7518,VBM,7518,1,993,502,50.55,212,235,1,39,1
Pct 7519,Election Day,7519,1,802,283,35.29,151,108,1,19,0
Pct 7519,VBM,7519,1,802,393,49.00,170,155,5,48,0
Pct 7521,Election Day,7521,1,854,321,37.59,154,134,1,29,0
Pct 7521,VBM,7521,1,854,405,47.42,157,194,3,30,1
Pct 7522,Election Day,7522,1,848,307,36.20,160,121,4,19,0
Pct 7522,VBM,7522,1,848,435,51.30,184,216,3,21,0
Pct 7523,Election Day,7523,1,821,288,35.08,182,83,1,20,0
Pct 7523,VBM,7523,1,821,401,48.84,185,171,3,32,0
Pct 7524,Election Day,7524,1,728,228,31.32,92,98,0,13,1
Pct 7524,VBM,7524,1,728,304,41.76,130,136,1,28,0
Pct 7525,Election Day,7525,1,870,236,27.13,100,123,6,6,0
Pct 7525,VBM,7525,1,870,400,45.98,146,210,3,24,0
Pct 7526,Election Day,7526,1,999,280,28.03,150,72,3,9,0
Pct 7526,VBM,7526,1,999,578,57.86,253,243,2,57,1
Pct 7527/7528,Election Day,7527,1,773,258,33.38,132,82,1,14,0
Pct 7527/7528,VBM,7527,1,773,366,47.35,135,186,0,31,2
Pct 7529,Election Day,7529,1,992,318,32.06,180,107,1,29,0
Pct 7529,VBM,7529,1,992,542,54.64,254,226,1,46,0
Pct 7531,Election Day,7531,1,954,301,31.55,158,108,1,28,0
Pct 7531,VBM,7531,1,954,504,52.83,236,212,1,44,0
