PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),JOEL ENGARDIO,JOHN FARRELL,MIKE YOUNG,NORMAN YEE,BEN MATRANGA,WRITE-IN,Under Vote,Over Vote
Pct 7701,Election Day,7701,1,1049,354,33.75,56,39,14,133,48,0,61,1
Pct 7701,VBM,7701,1,1049,560,53.38,119,43,25,213,57,1,72,4
Pct 7702,Election Day,7702,1,775,192,24.77,35,30,9,61,27,1,8,0
Pct 7702,VBM,7702,1,775,471,60.77,111,63,14,165,47,1,52,0
Pct 7703 MB,Election Day,7703,1,178,0,0.00,0,0,0,0,0,0,0,0
Pct 7703 MB,VBM,7703,1,178,100,56.18,9,11,4,35,12,0,13,1
Pct 7704,Election Day,7704,1,1006,302,30.02,67,34,10,84,72,1,32,0
Pct 7704,VBM,7704,1,1006,579,57.55,109,63,21,218,98,2,46,1
Pct 7705,Election Day,7705,1,554,186,33.57,47,24,6,46,36,0,26,0
Pct 7705,VBM,7705,1,554,309,55.78,52,56,13,103,54,0,22,1
Pct 7706,Election Day,7706,1,853,282,33.06,69,35,4,78,71,1,22,0
Pct 7706,VBM,7706,1,853,491,57.56,129,66,9,160,88,1,27,1
Pct 7707,Election Day,7707,1,854,285,33.37,70,28,6,103,59,0,16,0
Pct 7707,VBM,7707,1,854,499,58.43,123,39,19,203,60,0,37,1
Pct 7708,Election Day,7708,1,894,231,25.84,33,21,4,81,59,0,26,1
Pct 7708,VBM,7708,1,894,552,61.74,115,58,19,228,81,1,30,2
Pct 7709,Election Day,7709,1,390,120,30.77,23,9,1,48,17,0,20,0
Pct 7709,VBM,7709,1,390,234,60.00,50,24,8,97,35,1,8,1
Pct 7711,Election Day,7711,1,789,223,28.26,38,16,5,85,43,1,36,0
Pct 7711,VBM,7711,1,789,462,58.56,102,30,20,193,45,1,45,0
Pct 7712,Election Day,7712,1,577,180,31.20,28,8,14,78,28,0,21,1
Pct 7712,VBM,7712,1,577,338,58.58,42,21,10,174,31,0,33,2
Pct 9701,Election Day,9701,1,664,212,31.93,46,16,4,87,14,1,38,1
Pct 9701,VBM,9701,1,664,359,54.07,64,24,11,166,28,0,53,0
Pct 9702,Election Day,9702,1,760,257,33.82,38,19,5,108,25,1,58,0
Pct 9702,VBM,9702,1,760,383,50.39,67,33,7,172,37,1,50,1
Pct 9703,Election Day,9703,1,989,276,27.91,42,27,15,94,49,0,44,0
Pct 9703,VBM,9703,1,989,542,54.80,83,48,39,253,63,0,43,1
Pct 9704,Election Day,9704,1,971,302,31.10,48,33,16,119,25,0,53,3
Pct 9704,VBM,9704,1,971,534,54.99,98,50,17,225,58,0,66,3
Pct 9705,Election Day,9705,1,954,325,34.07,80,30,12,121,22,0,55,1
Pct 9705,VBM,9705,1,954,511,53.56,98,46,22,205,58,0,56,1
Pct 9706 MB,Election Day,9706,1,54,3,5.56,0,1,0,0,0,0,1,0
Pct 9706 MB,VBM,9706,1,54,51,94.44,11,2,4,22,3,0,7,1
Pct 9707,Election Day,9707,1,805,185,22.98,35,25,7,66,25,0,24,2
Pct 9707,VBM,9707,1,805,494,61.37,82,59,35,187,75,0,44,2
Pct 9708,Election Day,9708,1,956,299,31.28,58,28,12,104,43,17,32,0
Pct 9708,VBM,9708,1,956,530,55.44,92,53,22,225,54,3,60,1
Pct 9709,Election Day,9709,1,1029,290,28.18,43,40,17,97,41,1,47,0
Pct 9709,VBM,9709,1,1029,558,54.23,131,45,22,214,66,1,60,2
Pct 9711,Election Day,9711,1,643,212,32.97,60,18,9,64,36,4,17,0
Pct 9711,VBM,9711,1,643,360,55.99,83,57,10,112,44,1,39,1
Pct 9712,Election Day,9712,1,656,199,30.34,46,47,4,37,41,0,21,0
Pct 9712,VBM,9712,1,656,394,60.06,64,99,10,107,55,1,38,2
Pct 9713,Election Day,9713,1,974,268,27.52,45,43,14,93,29,0,37,1
Pct 9713,VBM,9713,1,974,514,52.77,92,69,32,196,51,0,58,2
Pct 9714,Election Day,9714,1,941,268,28.48,52,60,13,73,47,0,19,1
Pct 9714,VBM,9714,1,941,557,59.19,118,119,10,183,76,1,31,3
Pct 9715,Election Day,9715,1,580,212,36.55,45,52,5,36,52,0,19,0
Pct 9715,VBM,9715,1,580,309,53.28,68,83,9,59,56,0,22,2
Pct 9716,Election Day,9716,1,975,288,29.54,44,38,3,100,69,0,31,1
Pct 9716,VBM,9716,1,975,503,51.59,96,61,31,185,81,0,39,1
Pct 9717,Election Day,9717,1,993,338,34.04,60,57,10,105,56,3,41,0
Pct 9717,VBM,9717,1,993,499,50.25,109,58,26,194,75,0,30,0
Pct 9718,Election Day,9718,1,859,267,31.08,67,40,6,67,69,0,16,0
Pct 9718,VBM,9718,1,859,488,56.81,106,97,21,140,84,0,23,1
Pct 9719,Election Day,9719,1,880,263,29.89,67,49,7,51,60,0,24,0
Pct 9719,VBM,9719,1,880,492,55.91,133,78,16,125,96,0,33,2
