PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),MELISSA SAN MIGUEL,HILLARY RONEN,ISWARI ESPAÑA,JOSHUA ARCE,WRITE-IN,Under Vote,Over Vote
Pct 7901,Election Day,7901,1,1286,375,29.16,53,163,3,86,1,56,4
Pct 7901,VBM,7901,1,1286,577,44.87,67,271,8,156,2,54,2
Pct 7902,Election Day,7902,1,1064,327,30.73,39,169,5,79,8,17,0
Pct 7902,VBM,7902,1,1064,515,48.40,56,217,8,167,2,41,2
Pct 7903,Election Day,7903,1,929,242,26.05,34,108,6,50,1,35,0
Pct 7903,VBM,7903,1,929,410,44.13,60,188,10,105,0,32,2
Pct 7904,Election Day,7904,1,926,231,24.95,23,109,6,56,1,26,0
Pct 7904,VBM,7904,1,926,463,50.00,57,208,5,142,1,40,1
Pct 7905,Election Day,7905,1,851,299,35.14,21,171,6,67,0,28,2
Pct 7905,VBM,7905,1,851,419,49.24,34,214,8,123,3,24,1
Pct 7906,Election Day,7906,1,854,275,32.20,26,145,6,53,1,36,1
Pct 7906,VBM,7906,1,854,378,44.26,30,188,5,115,0,31,1
Pct 7907,Election Day,7907,1,991,346,34.91,36,166,0,97,0,42,1
Pct 7907,VBM,7907,1,991,488,49.24,39,233,5,134,4,48,1
Pct 7908,Election Day,7908,1,1008,310,30.75,31,166,5,76,2,23,2
Pct 7908,VBM,7908,1,1008,562,55.75,73,296,3,127,2,43,0
Pct 7909,Election Day,7909,1,787,280,35.58,23,132,5,91,2,22,1
Pct 7909,VBM,7909,1,787,364,46.25,27,187,6,109,0,30,1
Pct 7911,Election Day,7911,1,907,304,33.52,35,145,7,77,0,34,0
Pct 7911,VBM,7911,1,907,430,47.41,50,206,10,127,3,30,0
Pct 7912,Election Day,7912,1,1090,348,31.93,28,195,7,65,0,33,2
Pct 7912,VBM,7912,1,1090,526,48.26,54,267,7,131,1,44,0
Pct 7913,Election Day,7913,1,964,376,39.00,36,184,6,109,1,37,2
Pct 7913,VBM,7913,1,964,424,43.98,42,192,12,135,1,32,0
Pct 7914,Election Day,7914,1,895,315,35.20,14,161,6,113,0,17,0
Pct 7914,VBM,7914,1,895,437,48.83,31,213,4,131,1,36,4
Pct 7915,Election Day,7915,1,892,329,36.88,40,179,2,81,2,24,0
Pct 7915,VBM,7915,1,892,387,43.39,52,173,11,107,1,30,2
Pct 7916,Election Day,7916,1,953,307,32.21,26,175,2,71,2,27,2
Pct 7916,VBM,7916,1,953,461,48.37,33,240,6,126,0,42,2
Pct 7917,Election Day,7917,1,1073,389,36.25,28,181,10,133,1,26,2
Pct 7917,VBM,7917,1,1073,479,44.64,49,241,11,129,1,28,2
Pct 7918,Election Day,7918,1,860,304,35.35,30,140,8,88,2,25,4
Pct 7918,VBM,7918,1,860,393,45.70,29,177,10,141,2,25,1
Pct 7919,Election Day,7919,1,928,361,38.90,23,204,5,84,0,35,4
Pct 7919,VBM,7919,1,928,406,43.75,40,203,10,117,0,25,1
Pct 7921,Election Day,7921,1,970,293,30.21,25,136,8,93,0,21,3
Pct 7921,VBM,7921,1,970,401,41.34,46,187,6,135,0,17,4
Pct 7922,Election Day,7922,1,884,306,34.62,34,151,3,87,0,27,0
Pct 7922,VBM,7922,1,884,399,45.14,43,183,8,123,1,25,3
Pct 7923,Election Day,7923,1,930,335,36.02,43,170,0,91,0,28,1
Pct 7923,VBM,7923,1,930,354,38.06,52,186,6,87,0,17,1
Pct 7924,Election Day,7924,1,883,280,31.71,28,140,10,67,0,25,0
Pct 7924,VBM,7924,1,883,416,47.11,62,191,5,122,0,24,2
Pct 7925,Election Day,7925,1,591,196,33.16,14,114,3,42,0,21,0
Pct 7925,VBM,7925,1,591,287,48.56,26,153,1,69,1,28,0
Pct 7926,Election Day,7926,1,820,259,31.59,7,167,9,53,0,17,0
Pct 7926,VBM,7926,1,820,436,53.17,42,233,19,99,1,36,0
Pct 7927,Election Day,7927,1,782,283,36.19,16,175,1,66,3,18,0
Pct 7927,VBM,7927,1,782,405,51.79,28,196,3,135,0,36,0
Pct 7928,Election Day,7928,1,976,323,33.09,26,183,9,72,0,29,1
Pct 7928,VBM,7928,1,976,526,53.89,33,286,3,159,0,32,1
Pct 7929,Election Day,7929,1,871,290,33.30,12,173,3,77,0,22,1
Pct 7929,VBM,7929,1,871,490,56.26,27,272,3,153,1,24,0
Pct 7931,Election Day,7931,1,765,252,32.94,12,143,0,74,0,22,0
