PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),AHSHA SAFAI,MAGDALENA DE GUZMAN,FRANCISCO HERRERA,BERTA HERNANDEZ,KIM ALVARENGA,WRITE-IN,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,54,4,25,5,48,0,20,0
Pct 1101,VBM,1101,1,586,287,48.98,112,19,21,10,99,0,18,0
Pct 1102,Election Day,1102,1,996,291,29.22,124,26,22,11,77,1,26,1
Pct 1102,VBM,1102,1,996,519,52.11,228,43,41,24,143,3,25,2
Pct 1103,Election Day,1103,1,971,263,27.09,83,22,34,15,78,2,22,0
Pct 1103,VBM,1103,1,971,518,53.35,222,30,41,21,158,0,34,1
Pct 1104/1105,Election Day,1104,1,991,329,33.20,92,35,21,10,128,2,31,2
Pct 1104/1105,VBM,1104,1,991,434,43.79,140,34,34,29,164,4,26,0
Pct 1106,Election Day,1106,1,808,217,26.86,65,25,21,15,54,0,29,0
Pct 1106,VBM,1106,1,808,383,47.40,101,33,42,33,114,2,38,3
Pct 1107,Election Day,1107,1,781,222,28.43,61,20,17,12,72,0,30,0
Pct 1107,VBM,1107,1,781,284,36.36,92,19,33,15,89,1,30,7
Pct 1108,Election Day,1108,1,951,250,26.29,91,20,18,14,68,1,27,0
Pct 1108,VBM,1108,1,951,494,51.95,178,43,34,19,154,1,54,1
Pct 1109,Election Day,1109,1,809,215,26.58,50,21,29,12,62,3,27,1
Pct 1109,VBM,1109,1,809,402,49.69,145,26,30,26,118,2,39,3
Pct 1111,Election Day,1111,1,1031,246,23.86,51,29,24,16,64,0,48,3
Pct 1111,VBM,1111,1,1031,471,45.68,165,68,43,15,111,1,43,4
Pct 1112,Election Day,1112,1,765,173,22.61,44,15,17,10,53,1,22,1
Pct 1112,VBM,1112,1,765,384,50.20,136,38,29,18,113,2,35,2
Pct 1113,Election Day,1113,1,713,145,20.34,49,10,3,12,50,0,12,1
Pct 1113,VBM,1113,1,713,402,56.38,165,36,18,26,122,0,25,1
Pct 1114,Election Day,1114,1,971,297,30.59,82,25,25,20,91,2,44,4
Pct 1114,VBM,1114,1,971,444,45.73,164,41,37,30,137,6,24,4
Pct 1115,Election Day,1115,1,910,233,25.60,55,21,19,11,78,1,31,0
Pct 1115,VBM,1115,1,910,513,56.37,150,37,66,34,162,1,45,1
Pct 1116,Election Day,1116,1,913,245,26.83,78,22,29,15,63,3,26,1
Pct 1116,VBM,1116,1,913,391,42.83,146,38,33,32,94,1,39,1
Pct 1117,Election Day,1117,1,886,273,30.81,69,29,43,17,64,4,28,0
Pct 1117,VBM,1117,1,886,371,41.87,117,31,41,24,115,2,28,3
Pct 1118,Election Day,1118,1,1031,261,25.32,78,38,27,22,67,0,22,1
Pct 1118,VBM,1118,1,1031,515,49.95,191,66,37,22,142,3,33,3
Pct 1119,Election Day,1119,1,783,176,22.48,44,12,18,13,55,0,25,1
Pct 1119,VBM,1119,1,783,411,52.49,147,48,27,27,119,4,30,4
Pct 1121,Election Day,1121,1,691,192,27.79,69,26,14,8,51,1,19,0
Pct 1121,VBM,1121,1,691,333,48.19,142,26,30,20,76,2,31,0
Pct 1122,Election Day,1122,1,658,166,25.23,53,15,15,11,52,0,19,0
Pct 1122,VBM,1122,1,658,316,48.02,119,29,24,14,92,0,30,3
Pct 1123,Election Day,1123,1,954,259,27.15,52,35,27,21,79,2,28,1
Pct 1123,VBM,1123,1,954,387,40.57,125,35,44,17,125,1,31,0
Pct 1124,Election Day,1124,1,831,210,25.27,45,25,31,18,62,0,19,1
Pct 1124,VBM,1124,1,831,346,41.64,120,41,36,18,98,0,23,2
Pct 1125,Election Day,1125,1,1029,234,22.74,48,45,24,15,40,2,42,3
Pct 1125,VBM,1125,1,1029,511,49.66,147,108,47,46,100,2,45,5
Pct 1126,Election Day,1126,1,954,254,26.62,76,49,24,21,53,2,22,1
