PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),VICTOR HWANG,PAUL HENDERSON,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,86,40,33,0
Pct 1101,VBM,1101,1,586,287,48.98,142,101,43,1
Pct 1102,Election Day,1102,1,996,291,29.22,146,90,55,0
Pct 1102,VBM,1102,1,996,519,52.11,265,184,70,0
Pct 1103,Election Day,1103,1,971,263,27.09,115,86,62,0
Pct 1103,VBM,1103,1,971,518,53.35,290,164,64,0
Pct 1104/1105,Election Day,1104,1,991,329,33.20,168,91,70,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,254,128,52,0
Pct 1106,Election Day,1106,1,808,217,26.86,116,58,43,0
Pct 1106,VBM,1106,1,808,383,47.40,207,124,51,1
Pct 1107,Election Day,1107,1,781,222,28.43,121,56,45,0
Pct 1107,VBM,1107,1,781,284,36.36,140,104,39,1
Pct 1108,Election Day,1108,1,951,250,26.29,128,58,64,0
Pct 1108,VBM,1108,1,951,494,51.95,272,153,69,0
Pct 1109,Election Day,1109,1,809,215,26.58,112,64,39,0
Pct 1109,VBM,1109,1,809,402,49.69,239,106,57,0
Pct 1111,Election Day,1111,1,1031,246,23.86,129,52,65,0
Pct 1111,VBM,1111,1,1031,471,45.68,268,133,69,1
Pct 1112,Election Day,1112,1,765,173,22.61,95,47,31,0
Pct 1112,VBM,1112,1,765,384,50.20,236,85,63,0
Pct 1113,Election Day,1113,1,713,145,20.34,84,37,24,0
Pct 1113,VBM,1113,1,713,402,56.38,232,112,58,0
Pct 1114,Election Day,1114,1,971,297,30.59,130,86,80,1
Pct 1114,VBM,1114,1,971,444,45.73,257,121,65,1
Pct 1115,Election Day,1115,1,910,233,25.60,136,47,49,1
Pct 1115,VBM,1115,1,910,513,56.37,272,148,93,0
Pct 1116,Election Day,1116,1,913,245,26.83,136,66,43,0
Pct 1116,VBM,1116,1,913,391,42.83,231,106,54,0
Pct 1117,Election Day,1117,1,886,273,30.81,117,99,56,1
