PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),IAN KALIN,PHIL KIM,JILL WYNNS,MARK SANCHEZ,RACHEL NORTON,MATT HANEY,STEVON COOK,ROB GELLER,TREVOR MCNEIL,WRITE-IN,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,17,42,28,84,49,70,57,9,31,1,248,0
Pct 1101,VBM,1101,1,586,287,48.98,28,49,83,132,97,130,103,28,59,2,437,0
Pct 1102,Election Day,1102,1,996,291,29.22,31,52,45,162,94,137,111,20,53,2,457,0
Pct 1102,VBM,1102,1,996,519,52.11,47,112,136,243,184,236,188,44,129,6,747,4
Pct 1103,Election Day,1103,1,971,263,27.09,22,51,62,123,74,106,96,16,46,0,452,4
Pct 1103,VBM,1103,1,971,518,53.35,60,120,127,233,187,237,189,28,142,1,748,0
Pct 1104/1105,Election Day,1104,1,991,329,33.20,19,77,52,149,82,121,112,19,58,3,624,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,47,89,118,206,146,199,159,39,101,0,632,0
Pct 1106,Election Day,1106,1,808,217,26.86,23,54,61,82,65,73,74,12,49,0,375,0
Pct 1106,VBM,1106,1,808,383,47.40,53,74,103,168,130,161,146,31,100,8,554,4
Pct 1107,Election Day,1107,1,781,222,28.43,16,44,46,88,75,88,101,13,33,0,384,0
Pct 1107,VBM,1107,1,781,284,36.36,27,68,67,130,108,116,91,17,67,1,432,12
Pct 1108,Election Day,1108,1,951,250,26.29,21,54,58,98,69,101,86,9,57,1,442,4
Pct 1108,VBM,1108,1,951,494,51.95,52,95,151,208,213,256,209,32,114,1,645,0
Pct 1109,Election Day,1109,1,809,215,26.58,25,38,38,96,67,83,79,9,49,1,375,0
Pct 1109,VBM,1109,1,809,402,49.69,28,112,122,150,144,163,138,22,107,1,609,12
Pct 1111,Election Day,1111,1,1031,246,23.86,20,56,37,98,53,87,87,12,45,1,484,4
Pct 1111,VBM,1111,1,1031,471,45.68,51,113,143,172,172,178,132,26,95,0,798,4
Pct 1112,Election Day,1112,1,765,173,22.61,16,36,22,74,41,52,63,8,27,2,343,8
Pct 1112,VBM,1112,1,765,384,50.20,32,97,93,156,124,138,131,37,90,0,626,12
Pct 1113,Election Day,1113,1,713,145,20.34,11,21,20,65,41,54,53,6,24,0,285,0
Pct 1113,VBM,1113,1,713,402,56.38,30,91,122,168,134,165,119,24,106,1,644,4
Pct 1114,Election Day,1114,1,971,297,30.59,22,43,48,129,75,102,88,15,54,0,608,4
Pct 1114,VBM,1114,1,971,444,45.73,43,109,120,233,154,191,149,51,99,5,622,0
Pct 1115,Election Day,1115,1,910,233,25.60,14,43,48,103,66,89,91,15,45,1,417,0
Pct 1115,VBM,1115,1,910,513,56.37,57,125,129,195,162,179,171,30,111,0,889,4
Pct 1116,Election Day,1116,1,913,245,26.83,16,63,51,100,65,86,86,19,59,3,432,0
Pct 1116,VBM,1116,1,913,391,42.83,38,107,100,168,139,163,129,20,93,2,605,0
Pct 1117,Election Day,1117,1,886,273,30.81,23,59,37,113,60,76,98,13,52,6,551,4
Pct 1117,VBM,1117,1,886,371,41.87,51,80,94,166,142,119,140,26,96,2,560,8
Pct 1118,Election Day,1118,1,1031,261,25.32,17,62,58,123,72,102,104,22,53,0,431,0
Pct 1118,VBM,1118,1,1031,515,49.95,47,142,132,221,184,228,194,35,116,0,753,8
Pct 1119,Election Day,1119,1,783,176,22.48,8,33,18,77,41,53,53,7,24,0,390,0
Pct 1119,VBM,1119,1,783,411,52.49,41,98,112,181,142,181,160,47,97,5,568,12
Pct 1121,Election Day,1121,1,691,192,27.79,16,57,42,92,43,62,70,14,36,3,329,4
Pct 1121,VBM,1121,1,691,333,48.19,31,79,76,142,88,138,107,20,65,0,586,0
Pct 1122,Election Day,1122,1,658,166,25.23,17,40,41,60,55,49,53,16,35,0,294,4
Pct 1122,VBM,1122,1,658,316,48.02,40,72,86,127,114,119,91,17,78,0,520,0
Pct 1123,Election Day,1123,1,954,259,27.15,15,61,36,114,65,82,96,19,55,0,481,12
Pct 1123,VBM,1123,1,954,387,40.57,48,82,108,168,159,170,152,24,110,1,522,4
Pct 1124,Election Day,1124,1,831,210,25.27,15,55,26,106,55,75,91,14,28,0,367,8
Pct 1124,VBM,1124,1,831,346,41.64,33,86,101,144,121,122,106,22,92,5,548,4
Pct 1125,Election Day,1125,1,1029,234,22.74,9,60,35,93,52,67,66,18,31,0,501,4
Pct 1125,VBM,1125,1,1029,511,49.66,57,128,123,225,151,184,158,46,126,0,838,8
Pct 1126,Election Day,1126,1,954,254,26.62,20,63,33,133,56,86,78,26,59,0,458,4
Pct 1126,VBM,1126,1,954,447,46.86,45,127,135,214,169,184,133,28,107,1,633,12
Pct 1127,Election Day,1127,1,911,273,29.97,22,63,50,119,91,102,88,27,69,3,458,0
Pct 1127,VBM,1127,1,911,412,45.23,55,134,126,171,132,177,109,35,114,0,583,12
Pct 1128,Election Day,1128,1,907,237,26.13,21,72,45,112,52,71,62,21,46,0,442,4
Pct 1128,VBM,1128,1,907,449,49.50,64,151,122,174,135,154,118,31,117,4,722,4
Pct 1129,Election Day,1129,1,951,280,29.44,19,75,38,135,64,73,88,27,57,1,539,4
Pct 1129,VBM,1129,1,951,423,44.48,39,111,129,203,155,176,135,39,87,4,602,12
Pct 1131,Election Day,1131,1,853,192,22.51,19,52,32,77,35,50,54,13,30,0,406,0
Pct 1131,VBM,1131,1,853,382,44.78,36,98,118,176,149,161,116,29,97,0,540,8
Pct 1132,Election Day,1132,1,982,226,23.01,20,58,43,109,67,67,75,16,46,0,403,0
Pct 1132,VBM,1132,1,982,495,50.41,49,115,155,214,181,212,150,30,114,0,752,8
Pct 1133,Election Day,1133,1,870,223,25.63,17,55,32,87,42,60,54,12,49,0,480,4
Pct 1133,VBM,1133,1,870,438,50.34,53,112,109,191,141,200,159,44,113,2,624,4
Pct 1134,Election Day,1134,1,793,216,27.24,17,55,39,103,66,67,72,10,32,1,398,4
Pct 1134,VBM,1134,1,793,377,47.54,43,100,82,159,114,122,116,22,89,5,652,4
Pct 1135,Election Day,1135,1,521,122,23.42,7,22,29,61,41,43,40,12,24,0,209,0
Pct 1135,VBM,1135,1,521,299,57.39,33,83,96,127,105,123,95,22,65,8,427,12
Pct 1136,Election Day,1136,1,857,206,24.04,20,45,37,93,56,58,58,18,30,5,404,0
Pct 1136,VBM,1136,1,857,463,54.03,45,103,112,189,154,172,130,36,112,5,790,4
Pct 1141,Election Day,1141,1,1047,259,24.74,23,47,44,142,65,101,113,11,52,0,438,0
Pct 1141,VBM,1141,1,1047,553,52.82,41,132,141,286,197,238,236,26,109,1,805,0
Pct 1142,Election Day,1142,1,858,232,27.04,20,37,35,114,54,77,66,11,38,1,471,4
Pct 1142,VBM,1142,1,858,435,50.70,48,86,99,193,138,184,161,42,85,5,695,4
Pct 1143,Election Day,1143,1,1056,302,28.60,24,69,53,169,94,114,115,23,50,0,497,0
Pct 1143,VBM,1143,1,1056,499,47.25,49,123,113,245,146,195,188,36,125,2,766,8
Pct 1144,Election Day,1144,1,928,266,28.66,26,69,38,130,69,98,96,24,49,0,465,0
Pct 1144,VBM,1144,1,928,447,48.17,44,87,120,220,159,202,172,25,86,5,656,12
Pct 1145,Election Day,1145,1,931,237,25.46,25,47,37,118,51,94,92,17,51,0,416,0
Pct 1145,VBM,1145,1,931,516,55.42,62,93,140,249,173,234,217,35,109,4,740,8
Pct 1146,Election Day,1146,1,1036,241,23.26,26,44,41,127,56,93,101,19,46,2,409,0
Pct 1146,VBM,1146,1,1036,550,53.09,64,131,126,257,170,228,184,27,115,6,880,12
Pct 1147,Election Day,1147,1,927,270,29.13,23,41,38,136,67,101,103,12,47,0,508,4
Pct 1147,VBM,1147,1,927,464,50.05,59,103,105,244,171,202,190,33,117,1,623,8
Pct 1148,Election Day,1148,1,992,264,26.61,22,44,43,116,64,90,71,19,44,1,530,12
Pct 1148,VBM,1148,1,992,463,46.67,41,92,112,217,150,178,136,37,101,2,770,16
Pct 1149,Election Day,1149,1,950,291,30.63,27,67,43,151,66,89,91,27,52,3,548,0
Pct 1149,VBM,1149,1,950,456,48.00,40,116,107,228,154,215,171,36,100,2,655,0
Pct 1151 MB,Election Day,1151,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0
Pct 1151 MB,VBM,1151,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0
Pct 1152,Election Day,1152,1,898,236,26.28,20,42,42,119,73,86,83,20,43,0,416,0
Pct 1152,VBM,1152,1,898,435,48.44,38,127,138,193,148,172,157,30,110,0,623,4
Pct 1153,Election Day,1153,1,961,281,29.24,21,57,43,131,82,96,90,17,49,4,530,4
Pct 1153,VBM,1153,1,961,468,48.70,53,111,115,201,130,199,172,29,100,3,751,8
Pct 1154 MB,Election Day,1154,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0
Pct 1154 MB,VBM,1154,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0
Pct 7001,Election Day,7001,1,742,204,27.49,22,23,39,89,66,82,82,9,32,0,372,0
Pct 7001,VBM,7001,1,742,355,47.84,41,61,69,144,127,174,134,19,58,1,592,0
Pct 7002,Election Day,7002,1,1225,322,26.29,29,59,53,131,92,137,117,14,40,0,612,4
Pct 7002,VBM,7002,1,1225,675,55.10,103,109,159,234,178,265,220,22,123,2,1281,4
Pct 7003,Election Day,7003,1,927,280,30.20,36,32,51,124,87,144,134,14,54,2,442,0
Pct 7003,VBM,7003,1,927,554,59.76,75,64,136,218,210,293,242,28,110,7,833,0
Pct 7004,Election Day,7004,1,896,253,28.24,31,30,50,93,67,100,92,11,29,0,509,0
Pct 7004,VBM,7004,1,896,555,61.94,81,59,128,189,196,267,227,26,102,0,937,8
Pct 7005,Election Day,7005,1,853,302,35.40,31,40,61,119,109,153,122,9,60,1,503,0
Pct 7005,VBM,7005,1,853,453,53.11,50,33,109,187,178,233,195,20,87,0,720,0
Pct 7006,Election Day,7006,1,966,290,30.02,21,33,30,150,69,141,131,13,35,4,533,0
Pct 7006,VBM,7006,1,966,509,52.69,48,78,122,234,167,279,270,29,75,0,726,8
Pct 7007,Election Day,7007,1,987,302,30.60,43,43,60,110,114,131,132,14,71,0,490,0
Pct 7007,VBM,7007,1,987,568,57.55,89,61,159,216,210,276,228,23,137,0,873,0
Pct 7008,Election Day,7008,1,882,293,33.22,42,40,60,120,113,149,116,12,53,0,467,0
Pct 7008,VBM,7008,1,882,527,59.75,93,78,130,193,217,266,203,24,118,1,785,0
Pct 7009,Election Day,7009,1,931,249,26.75,36,53,51,92,77,106,98,18,50,0,415,0
