PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),SHANELL WILLIAMS,ALEX RANDOLPH,TOM TEMPRANO,RAFAEL MANDELMAN,AMY BACHARACH,WRITE-IN,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,86,64,65,69,44,2,306,0
Pct 1101,VBM,1101,1,586,287,48.98,146,134,101,134,110,0,523,0
Pct 1102,Election Day,1102,1,996,291,29.22,152,110,129,135,74,2,562,0
Pct 1102,VBM,1102,1,996,519,52.11,274,218,197,249,194,2,942,0
Pct 1103,Election Day,1103,1,971,263,27.09,131,82,93,96,73,0,577,0
Pct 1103,VBM,1103,1,971,518,53.35,282,225,208,229,192,2,934,0
Pct 1104/1105,Election Day,1104,1,991,329,33.20,149,107,122,130,92,1,711,4
Pct 1104/1105,VBM,1104,1,991,434,43.79,223,189,175,202,159,0,788,0
Pct 1106,Election Day,1106,1,808,217,26.86,108,78,55,71,72,0,484,0
Pct 1106,VBM,1106,1,808,383,47.40,220,165,149,169,154,0,675,0
Pct 1107,Election Day,1107,1,781,222,28.43,117,81,85,92,81,0,432,0
Pct 1107,VBM,1107,1,781,284,36.36,171,129,84,112,114,1,513,12
Pct 1108,Election Day,1108,1,951,250,26.29,126,86,73,79,68,1,567,0
Pct 1108,VBM,1108,1,951,494,51.95,294,251,186,244,195,4,802,0
Pct 1109,Election Day,1109,1,809,215,26.58,105,72,79,84,71,3,446,0
Pct 1109,VBM,1109,1,809,402,49.69,214,168,131,187,158,2,748,0
Pct 1111,Election Day,1111,1,1031,246,23.86,121,76,81,84,64,2,556,0
Pct 1111,VBM,1111,1,1031,471,45.68,246,198,155,190,171,0,924,0
Pct 1112,Election Day,1112,1,765,173,22.61,84,56,54,57,51,2,388,0
Pct 1112,VBM,1112,1,765,384,50.20,210,160,134,171,126,0,735,0
Pct 1113,Election Day,1113,1,713,145,20.34,67,47,55,56,41,1,313,0
Pct 1113,VBM,1113,1,713,402,56.38,199,172,135,183,133,1,785,0
Pct 1114,Election Day,1114,1,971,297,30.59,122,87,90,94,79,2,714,0
Pct 1114,VBM,1114,1,971,444,45.73,254,210,190,213,175,4,730,0
