PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),LATEEFAH SIMON,WILL ROSCOE,ROLAND EMERSON,ZAKHARY MALLETT,WRITE-IN,Under Vote,Over Vote
Pct 7013,Election Day,7013,1,733,209,28.51,68,29,4,35,2,70,1
Pct 7013,VBM,7013,1,733,431,58.80,156,59,3,89,0,123,1
Pct 7014,Election Day,7014,1,1073,311,28.98,120,35,6,59,1,89,1
Pct 7014,VBM,7014,1,1073,617,57.50,244,65,8,123,5,170,2
Pct 7015 MB,Election Day,7015,1,113,3,2.65,0,0,0,0,0,3,0
Pct 7015 MB,VBM,7015,1,113,78,69.03,42,10,4,7,0,15,0
Pct 7016,Election Day,7016,1,977,239,24.46,98,30,20,21,1,69,0
Pct 7016,VBM,7016,1,977,354,36.23,137,46,17,73,0,77,4
Pct 7017,Election Day,7017,1,786,200,25.45,100,17,12,24,0,46,1
Pct 7017,VBM,7017,1,786,269,34.22,151,30,6,36,1,41,4
Pct 7018,Election Day,7018,1,992,195,19.66,76,21,8,31,0,58,1
Pct 7018,VBM,7018,1,992,477,48.08,178,51,22,99,2,120,5
Pct 7019,Election Day,7019,1,945,228,24.13,108,24,17,22,1,55,1
Pct 7019,VBM,7019,1,945,468,49.52,177,60,24,107,0,96,4
Pct 7021,Election Day,7021,1,993,266,26.79,126,27,10,31,0,68,4
Pct 7021,VBM,7021,1,993,365,36.76,173,29,17,65,1,75,5
Pct 7022,Election Day,7022,1,1032,271,26.26,145,17,20,27,5,56,1
Pct 7022,VBM,7022,1,1032,396,38.37,173,44,27,74,2,71,5
Pct 7023,Election Day,7023,1,938,255,27.19,109,15,22,28,2,77,2
Pct 7023,VBM,7023,1,938,416,44.35,186,51,15,79,2,80,3
Pct 7024,Election Day,7024,1,309,75,24.27,31,12,1,12,0,19,0
Pct 7024,VBM,7024,1,309,44,14.24,14,9,5,5,0,8,3
Pct 7025,Election Day,7025,1,505,129,25.54,59,12,3,11,1,38,5
Pct 7025,VBM,7025,1,505,137,27.13,73,9,7,21,0,25,2
Pct 7026,Election Day,7026,1,1022,202,19.77,80,15,19,33,1,54,0
Pct 7026,VBM,7026,1,1022,498,48.73,115,61,19,154,0,143,6
Pct 7027,Election Day,7027,1,879,244,27.76,104,26,17,27,3,65,2
Pct 7027,VBM,7027,1,879,333,37.88,105,56,19,56,0,92,5
Pct 7028,Election Day,7028,1,900,267,29.67,141,26,12,31,0,57,0
Pct 7028,VBM,7028,1,900,277,30.78,125,34,11,48,0,56,3
