PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),BEVAN DUFTY,MICHAEL PETRELIS,GWYNETH BORDEN,WRITE-IN,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,68,18,34,2,37,0
Pct 1101,VBM,1101,1,586,287,48.98,131,11,75,0,68,2
Pct 1102,Election Day,1102,1,996,291,29.22,154,26,49,0,61,1
Pct 1102,VBM,1102,1,996,519,52.11,250,18,129,2,119,1
Pct 1103,Election Day,1103,1,971,263,27.09,108,21,70,0,64,0
Pct 1103,VBM,1103,1,971,518,53.35,255,28,120,1,112,2
Pct 1104/1105,Election Day,1104,1,991,329,33.20,149,30,61,1,87,1
Pct 1104/1105,VBM,1104,1,991,434,43.79,196,33,116,3,85,1
Pct 1113,Election Day,1113,1,713,145,20.34,61,12,37,0,35,0
Pct 1113,VBM,1113,1,713,402,56.38,158,22,107,0,115,0
Pct 1114,Election Day,1114,1,971,297,30.59,87,28,81,4,93,4
Pct 1114,VBM,1114,1,971,444,45.73,177,48,121,3,91,4
Pct 1141,Election Day,1141,1,1047,259,24.74,125,25,45,0,64,0
Pct 1141,VBM,1141,1,1047,553,52.82,256,38,145,2,111,1
Pct 1142,Election Day,1142,1,858,232,27.04,93,23,47,0,66,3
Pct 1142,VBM,1142,1,858,435,50.70,168,41,127,2,97,0
Pct 1143,Election Day,1143,1,1056,302,28.60,145,42,64,1,50,0
Pct 1143,VBM,1143,1,1056,499,47.25,206,47,127,3,112,4
Pct 1144,Election Day,1144,1,928,266,28.66,112,27,72,1,54,0
Pct 1144,VBM,1144,1,928,447,48.17,210,24,123,1,89,0
Pct 1145,Election Day,1145,1,931,237,25.46,101,20,46,1,69,0
Pct 1145,VBM,1145,1,931,516,55.42,245,38,138,3,89,3
Pct 1146,Election Day,1146,1,1036,241,23.26,105,19,59,2,56,0
Pct 1146,VBM,1146,1,1036,550,53.09,226,61,143,1,116,3
Pct 1147,Election Day,1147,1,927,270,29.13,120,28,57,1,64,0
Pct 1147,VBM,1147,1,927,464,50.05,206,37,142,0,74,5
Pct 1148,Election Day,1148,1,992,264,26.61,109,31,54,1,68,1
Pct 1148,VBM,1148,1,992,463,46.67,194,56,113,1,94,5
Pct 1149,Election Day,1149,1,950,291,30.63,103,32,72,1,82,1
Pct 1149,VBM,1149,1,950,456,48.00,207,35,115,2,96,1
Pct 1152,Election Day,1152,1,898,236,26.28,100,18,68,0,50,0
Pct 1152,VBM,1152,1,898,435,48.44,173,45,127,0,89,1
Pct 1153,Election Day,1153,1,961,281,29.24,97,27,71,1,83,2
Pct 1153,VBM,1153,1,961,468,48.70,195,43,125,1,103,1
Pct 7001,Election Day,7001,1,742,204,27.49,87,17,38,2,60,0
Pct 7001,VBM,7001,1,742,355,47.84,158,21,80,2,91,3
Pct 7002,Election Day,7002,1,1225,322,26.29,124,24,65,3,106,0
Pct 7002,VBM,7002,1,1225,675,55.10,236,27,193,1,218,0
Pct 7003,Election Day,7003,1,927,280,30.20,144,12,58,1,65,0
Pct 7003,VBM,7003,1,927,554,59.76,263,19,134,4,134,0
Pct 7004,Election Day,7004,1,896,253,28.24,103,12,61,4,73,0
Pct 7004,VBM,7004,1,896,555,61.94,230,9,165,3,147,1
Pct 7005,Election Day,7005,1,853,302,35.40,138,4,63,2,95,0
Pct 7005,VBM,7005,1,853,453,53.11,224,11,116,0,102,0
Pct 7006,Election Day,7006,1,966,290,30.02,139,18,49,3,81,0
Pct 7006,VBM,7006,1,966,509,52.69,241,22,142,0,101,3
Pct 7007,Election Day,7007,1,987,302,30.60,141,13,71,2,74,1
Pct 7007,VBM,7007,1,987,568,57.55,255,7,163,4,139,0
Pct 7008,Election Day,7008,1,882,293,33.22,134,9,63,4,83,0
Pct 7008,VBM,7008,1,882,527,59.75,219,28,146,1,133,0
Pct 7009,Election Day,7009,1,931,249,26.75,94,25,70,0,60,0
Pct 7009,VBM,7009,1,931,501,53.81,230,20,127,2,121,1
Pct 7011,Election Day,7011,1,1063,255,23.99,89,40,58,0,68,0
Pct 7011,VBM,7011,1,1063,366,34.43,151,30,97,3,84,1
Pct 7012,Election Day,7012,1,1034,361,34.91,142,13,92,4,110,0
Pct 7012,VBM,7012,1,1034,564,54.55,233,20,164,2,143,2
Pct 7041 MB,Election Day,7041,1,62,6,9.68,0,0,0,0,6,0
Pct 7041 MB,VBM,7041,1,62,36,58.06,7,4,10,0,15,0
Pct 7101 MB,Election Day,7101,1,150,3,2.00,0,0,0,0,3,0
Pct 7101 MB,VBM,7101,1,150,123,82.00,53,3,37,0,30,0
Pct 7206,Election Day,7206,1,390,137,35.13,55,3,36,0,43,0
Pct 7206,VBM,7206,1,390,203,52.05,63,9,62,1,68,0
Pct 7207,Election Day,7207,1,712,184,25.84,57,11,43,0,73,0
Pct 7207,VBM,7207,1,712,411,57.72,135,11,124,0,140,1
Pct 7208,Election Day,7208,1,635,155,24.41,51,10,47,3,44,0
Pct 7208,VBM,7208,1,635,384,60.47,150,12,109,2,111,0
Pct 7209,Election Day,7209,1,563,84,14.92,23,4,29,0,27,1
Pct 7209,VBM,7209,1,563,407,72.29,162,5,117,2,121,0
Pct 7319,Election Day,7319,1,1123,330,29.39,100,20,74,2,134,0
Pct 7319,VBM,7319,1,1123,578,51.47,189,13,158,4,214,0
Pct 7323,Election Day,7323,1,888,277,31.19,94,18,59,0,106,0
Pct 7323,VBM,7323,1,888,450,50.68,164,20,120,1,144,1
Pct 7324,Election Day,7324,1,756,216,28.57,67,14,52,0,83,0
Pct 7324,VBM,7324,1,756,385,50.93,125,21,94,0,143,2
Pct 7332,Election Day,7332,1,889,274,30.82,101,15,63,2,92,1
Pct 7332,VBM,7332,1,889,444,49.94,179,20,120,6,118,1
Pct 7333,Election Day,7333,1,1101,324,29.43,106,13,89,3,113,0
Pct 7333,VBM,7333,1,1101,564,51.23,189,23,147,3,202,0
Pct 7334,Election Day,7334,1,963,248,25.75,92,16,53,1,86,0
Pct 7334,VBM,7334,1,963,526,54.62,184,18,153,2,168,1
Pct 7335,Election Day,7335,1,1002,306,30.54,119,15,69,2,100,1
Pct 7335,VBM,7335,1,1002,588,58.68,220,16,159,1,191,1
Pct 7336,Election Day,7336,1,1017,275,27.04,90,11,65,0,109,0
Pct 7336,VBM,7336,1,1017,608,59.78,234,19,179,3,170,3
Pct 7337,Election Day,7337,1,944,223,23.62,84,14,49,1,74,1
Pct 7337,VBM,7337,1,944,532,56.36,201,11,157,0,160,3
Pct 7339,Election Day,7339,1,660,179,27.12,81,10,42,1,44,1
Pct 7339,VBM,7339,1,660,316,47.88,111,20,95,4,86,0
Pct 7341,Election Day,7341,1,974,289,29.67,98,20,64,0,106,1
Pct 7341,VBM,7341,1,974,476,48.87,194,30,107,2,143,0
Pct 7342,Election Day,7342,1,1034,380,36.75,144,31,96,1,108,0
Pct 7342,VBM,7342,1,1034,411,39.75,166,17,113,1,110,4
Pct 7343,Election Day,7343,1,746,267,35.79,105,17,56,2,86,1
Pct 7343,VBM,7343,1,746,351,47.05,147,16,100,1,85,2
Pct 7344,Election Day,7344,1,1143,352,30.80,116,21,90,2,123,0
Pct 7344,VBM,7344,1,1143,564,49.34,227,30,151,1,153,2
Pct 7345,Election Day,7345,1,1186,365,30.78,142,19,94,1,107,2
Pct 7345,VBM,7345,1,1186,526,44.35,213,22,152,1,138,0
Pct 7346,Election Day,7346,1,991,328,33.10,146,25,71,3,82,1
Pct 7346,VBM,7346,1,991,434,43.79,178,30,115,3,108,0
Pct 7347,Election Day,7347,1,1085,335,30.88,128,25,78,3,101,0
Pct 7347,VBM,7347,1,1085,506,46.64,227,27,133,0,117,2
Pct 7348,Election Day,7348,1,957,231,24.14,73,19,64,0,74,1
Pct 7348,VBM,7348,1,957,416,43.47,143,30,133,0,110,0
Pct 7349,Election Day,7349,1,1006,277,27.53,107,29,63,0,78,0
Pct 7349,VBM,7349,1,1006,494,49.11,200,25,131,2,135,1
Pct 7501,Election Day,7501,1,574,201,35.02,66,4,60,0,71,0
Pct 7501,VBM,7501,1,574,321,55.92,113,8,81,0,119,0
Pct 7502,Election Day,7502,1,808,240,29.70,78,13,50,1,98,0
Pct 7502,VBM,7502,1,808,454,56.19,195,12,124,0,122,1
Pct 7503,Election Day,7503,1,808,252,31.19,89,23,64,0,75,1
Pct 7503,VBM,7503,1,808,436,53.96,182,11,119,1,123,0
Pct 7504,Election Day,7504,1,503,158,31.41,48,10,38,2,60,0
Pct 7504,VBM,7504,1,503,262,52.09,105,14,52,4,79,8
Pct 7505,Election Day,7505,1,915,181,19.78,65,16,40,0,60,0
Pct 7505,VBM,7505,1,915,581,63.50,212,31,152,4,182,0
Pct 7506,Election Day,7506,1,1018,261,25.64,100,14,70,0,76,1
Pct 7506,VBM,7506,1,1018,537,52.75,189,33,149,4,160,2
Pct 7507,Election Day,7507,1,992,244,24.60,94,19,68,1,62,0
Pct 7507,VBM,7507,1,992,387,39.01,170,29,109,2,76,1
Pct 7508,Election Day,7508,1,735,150,20.41,62,15,28,1,44,0
Pct 7508,VBM,7508,1,735,456,62.04,185,20,122,2,126,1
Pct 7509/7511,Election Day,7509,1,1006,260,25.84,101,24,60,0,75,0
Pct 7509/7511,VBM,7509,1,1006,565,56.16,250,28,134,3,149,1
Pct 7512,Election Day,7512,1,638,168,26.33,76,9,26,2,51,4
Pct 7512,VBM,7512,1,638,325,50.94,144,26,65,1,89,0
Pct 7513,Election Day,7513,1,836,257,30.74,94,28,55,1,79,0
Pct 7513,VBM,7513,1,836,344,41.15,136,35,84,3,86,0
Pct 7514,Election Day,7514,1,886,186,20.99,44,38,52,1,51,0
Pct 7514,VBM,7514,1,886,358,40.41,131,50,81,4,87,5
Pct 7515,Election Day,7515,1,898,262,29.18,95,25,66,0,76,0
Pct 7515,VBM,7515,1,898,448,49.89,167,20,129,5,124,3
