PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,122,28,9,0
Pct 1101,VBM,1101,1,586,287,48.98,193,75,15,0
Pct 1102,Election Day,1102,1,996,291,29.22,200,78,12,0
Pct 1102,VBM,1102,1,996,519,52.11,367,133,17,0
Pct 1103,Election Day,1103,1,971,263,27.09,176,73,14,0
Pct 1103,VBM,1103,1,971,518,53.35,369,127,19,0
Pct 1104/1105,Election Day,1104,1,991,329,33.20,227,83,19,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,296,120,21,0
Pct 1106,Election Day,1106,1,808,217,26.86,128,72,17,0
Pct 1106,VBM,1106,1,808,383,47.40,253,108,15,0
Pct 1107,Election Day,1107,1,781,222,28.43,151,54,17,0
Pct 1107,VBM,1107,1,781,284,36.36,169,100,8,0
Pct 1108,Election Day,1108,1,951,250,26.29,172,58,20,0
Pct 1108,VBM,1108,1,951,494,51.95,351,120,20,0
Pct 1109,Election Day,1109,1,809,215,26.58,145,57,14,0
Pct 1109,VBM,1109,1,809,402,49.69,275,104,18,0
Pct 1111,Election Day,1111,1,1031,246,23.86,162,68,18,0
Pct 1111,VBM,1111,1,1031,471,45.68,320,124,16,1
Pct 1112,Election Day,1112,1,765,173,22.61,104,53,13,0
Pct 1112,VBM,1112,1,765,384,50.20,260,98,22,0
Pct 1113,Election Day,1113,1,713,145,20.34,103,36,6,0
Pct 1113,VBM,1113,1,713,402,56.38,265,109,18,1
Pct 1114,Election Day,1114,1,971,297,30.59,183,78,36,0
Pct 1114,VBM,1114,1,971,444,45.73,278,141,25,0
Pct 1115,Election Day,1115,1,910,233,25.60,163,52,17,0
Pct 1115,VBM,1115,1,910,513,56.37,343,141,28,0
Pct 1116,Election Day,1116,1,913,245,26.83,159,71,15,0
Pct 1116,VBM,1116,1,913,391,42.83,263,95,28,0
Pct 1117,Election Day,1117,1,886,273,30.81,153,99,18,0
Pct 1117,VBM,1117,1,886,371,41.87,244,107,15,0
Pct 1118,Election Day,1118,1,1031,261,25.32,177,66,18,0
Pct 1118,VBM,1118,1,1031,515,49.95,324,160,25,0
Pct 1119,Election Day,1119,1,783,176,22.48,109,50,17,0
Pct 1119,VBM,1119,1,783,411,52.49,283,103,20,0
Pct 1121,Election Day,1121,1,691,192,27.79,112,66,15,0
Pct 1121,VBM,1121,1,691,333,48.19,201,111,21,0
Pct 1122,Election Day,1122,1,658,166,25.23,95,58,13,0
Pct 1122,VBM,1122,1,658,316,48.02,196,94,22,0
Pct 1123,Election Day,1123,1,954,259,27.15,159,83,16,2
Pct 1123,VBM,1123,1,954,387,40.57,267,93,24,0
Pct 1124,Election Day,1124,1,831,210,25.27,142,48,19,0
Pct 1124,VBM,1124,1,831,346,41.64,228,89,24,0
Pct 1125,Election Day,1125,1,1029,234,22.74,151,63,21,0
Pct 1125,VBM,1125,1,1029,511,49.66,330,138,36,1
Pct 1126,Election Day,1126,1,954,254,26.62,160,76,16,0
Pct 1126,VBM,1126,1,954,447,46.86,301,120,18,0
Pct 1127,Election Day,1127,1,911,273,29.97,162,90,22,0
Pct 1127,VBM,1127,1,911,412,45.23,257,136,21,0
Pct 1128,Election Day,1128,1,907,237,26.13,153,58,26,0
Pct 1128,VBM,1128,1,907,449,49.50,248,154,38,1
Pct 1129,Election Day,1129,1,951,280,29.44,179,75,29,0
Pct 1129,VBM,1129,1,951,423,44.48,273,123,24,0
Pct 1131,Election Day,1131,1,853,192,22.51,119,56,17,0
Pct 1131,VBM,1131,1,853,382,44.78,243,120,16,0
Pct 1132,Election Day,1132,1,982,226,23.01,139,61,25,0
Pct 1132,VBM,1132,1,982,495,50.41,301,153,33,0
Pct 1133,Election Day,1133,1,870,223,25.63,120,81,19,0
Pct 1133,VBM,1133,1,870,438,50.34,278,138,17,0
Pct 1134,Election Day,1134,1,793,216,27.24,154,49,12,0
Pct 1134,VBM,1134,1,793,377,47.54,214,133,28,0
Pct 1135,Election Day,1135,1,521,122,23.42,88,30,5,0
Pct 1135,VBM,1135,1,521,299,57.39,170,106,21,0
