PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,77,55,26,1
Pct 1101,VBM,1101,1,586,287,48.98,136,116,31,0
Pct 1102,Election Day,1102,1,996,291,29.22,124,120,46,0
Pct 1102,VBM,1102,1,996,519,52.11,208,241,68,0
Pct 1103,Election Day,1103,1,971,263,27.09,107,116,40,0
Pct 1103,VBM,1103,1,971,518,53.35,219,228,66,2
Pct 1104/1105,Election Day,1104,1,991,329,33.20,163,109,57,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,202,170,64,1
Pct 1106,Election Day,1106,1,808,217,26.86,84,89,43,1
Pct 1106,VBM,1106,1,808,383,47.40,157,175,44,0
Pct 1107,Election Day,1107,1,781,222,28.43,100,76,46,0
Pct 1107,VBM,1107,1,781,284,36.36,115,133,29,0
Pct 1108,Election Day,1108,1,951,250,26.29,94,109,47,0
Pct 1108,VBM,1108,1,951,494,51.95,192,232,67,0
Pct 1109,Election Day,1109,1,809,215,26.58,100,79,37,0
Pct 1109,VBM,1109,1,809,402,49.69,135,203,59,0
Pct 1111,Election Day,1111,1,1031,246,23.86,110,87,51,0
Pct 1111,VBM,1111,1,1031,471,45.68,197,199,65,0
Pct 1112,Election Day,1112,1,765,173,22.61,86,57,27,0
Pct 1112,VBM,1112,1,765,384,50.20,152,152,75,1
Pct 1113,Election Day,1113,1,713,145,20.34,75,44,25,1
Pct 1113,VBM,1113,1,713,402,56.38,172,173,48,0
Pct 1114,Election Day,1114,1,971,297,30.59,121,95,81,0
Pct 1114,VBM,1114,1,971,444,45.73,225,153,66,0
Pct 1115,Election Day,1115,1,910,233,25.60,111,76,44,1
Pct 1115,VBM,1115,1,910,513,56.37,215,222,75,0
Pct 1116,Election Day,1116,1,913,245,26.83,105,92,48,0
Pct 1116,VBM,1116,1,913,391,42.83,176,148,62,0
Pct 1117,Election Day,1117,1,886,273,30.81,124,103,43,0
Pct 1117,VBM,1117,1,886,371,41.87,157,157,52,0
Pct 1118,Election Day,1118,1,1031,261,25.32,122,99,40,0
Pct 1118,VBM,1118,1,1031,515,49.95,258,186,65,0
Pct 1119,Election Day,1119,1,783,176,22.48,75,58,43,0
Pct 1119,VBM,1119,1,783,411,52.49,182,158,65,1
Pct 1121,Election Day,1121,1,691,192,27.79,85,70,38,0
Pct 1121,VBM,1121,1,691,333,48.19,129,144,60,0
Pct 1122,Election Day,1122,1,658,166,25.23,59,81,26,0
Pct 1122,VBM,1122,1,658,316,48.02,110,146,56,0
