PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,73,64,22,0
Pct 1101,VBM,1101,1,586,287,48.98,125,130,29,0
Pct 1102,Election Day,1102,1,996,291,29.22,123,140,26,0
Pct 1102,VBM,1102,1,996,519,52.11,205,272,40,0
Pct 1103,Election Day,1103,1,971,263,27.09,111,115,38,0
Pct 1103,VBM,1103,1,971,518,53.35,206,270,31,2
Pct 1104/1105,Election Day,1104,1,991,329,33.20,162,125,42,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,199,203,34,0
Pct 1106,Election Day,1106,1,808,217,26.86,77,102,38,0
Pct 1106,VBM,1106,1,808,383,47.40,155,185,35,0
Pct 1107,Election Day,1107,1,781,222,28.43,89,97,36,0
Pct 1107,VBM,1107,1,781,284,36.36,100,149,31,1
Pct 1108,Election Day,1108,1,951,250,26.29,105,111,34,0
Pct 1108,VBM,1108,1,951,494,51.95,178,270,38,0
Pct 1109,Election Day,1109,1,809,215,26.58,90,97,28,0
Pct 1109,VBM,1109,1,809,402,49.69,136,224,36,0
Pct 1111,Election Day,1111,1,1031,246,23.86,110,92,44,0
Pct 1111,VBM,1111,1,1031,471,45.68,176,237,48,0
Pct 1112,Election Day,1112,1,765,173,22.61,80,68,22,0
Pct 1112,VBM,1112,1,765,384,50.20,170,158,50,0
Pct 1113,Election Day,1113,1,713,145,20.34,69,57,19,0
Pct 1113,VBM,1113,1,713,402,56.38,174,178,40,0
Pct 1114,Election Day,1114,1,971,297,30.59,106,132,59,0
Pct 1114,VBM,1114,1,971,444,45.73,200,202,42,0
Pct 1115,Election Day,1115,1,910,233,25.60,114,88,30,0
Pct 1115,VBM,1115,1,910,513,56.37,210,243,55,0
Pct 1116,Election Day,1116,1,913,245,26.83,106,104,35,0
Pct 1116,VBM,1116,1,913,391,42.83,157,177,50,1
Pct 1117,Election Day,1117,1,886,273,30.81,119,116,35,0
Pct 1117,VBM,1117,1,886,371,41.87,167,168,31,0
Pct 1118,Election Day,1118,1,1031,261,25.32,117,108,36,0
Pct 1118,VBM,1118,1,1031,515,49.95,223,233,51,0
Pct 1119,Election Day,1119,1,783,176,22.48,83,59,34,0
Pct 1119,VBM,1119,1,783,411,52.49,168,187,51,0
Pct 1121,Election Day,1121,1,691,192,27.79,83,87,23,0
Pct 1121,VBM,1121,1,691,333,48.19,120,175,36,0
Pct 1122,Election Day,1122,1,658,166,25.23,59,90,17,0
Pct 1122,VBM,1122,1,658,316,48.02,109,167,38,1
Pct 1123,Election Day,1123,1,954,259,27.15,116,110,34,0
Pct 1123,VBM,1123,1,954,387,40.57,164,179,44,0
Pct 1124,Election Day,1124,1,831,210,25.27,107,71,31,0
Pct 1124,VBM,1124,1,831,346,41.64,134,163,44,0
Pct 1125,Election Day,1125,1,1029,234,22.74,97,97,39,0
Pct 1125,VBM,1125,1,1029,511,49.66,202,241,64,0
Pct 1126,Election Day,1126,1,954,254,26.62,120,98,34,0
Pct 1126,VBM,1126,1,954,447,46.86,196,198,45,0
Pct 1127,Election Day,1127,1,911,273,29.97,116,121,35,0
Pct 1127,VBM,1127,1,911,412,45.23,158,218,34,2
Pct 1128,Election Day,1128,1,907,237,26.13,126,82,29,0
Pct 1128,VBM,1128,1,907,449,49.50,167,227,49,0
Pct 1129,Election Day,1129,1,951,280,29.44,125,104,52,0
Pct 1129,VBM,1129,1,951,423,44.48,166,211,41,0
Pct 1131,Election Day,1131,1,853,192,22.51,72,86,34,0
Pct 1131,VBM,1131,1,853,382,44.78,132,215,33,0
Pct 1132,Election Day,1132,1,982,226,23.01,90,101,35,0
Pct 1132,VBM,1132,1,982,495,50.41,215,222,53,1
Pct 1133,Election Day,1133,1,870,223,25.63,75,111,32,0
Pct 1133,VBM,1133,1,870,438,50.34,171,217,46,0
Pct 1134,Election Day,1134,1,793,216,27.24,112,76,27,1
Pct 1134,VBM,1134,1,793,377,47.54,145,189,42,0
Pct 1135,Election Day,1135,1,521,122,23.42,51,57,13,1
Pct 1135,VBM,1135,1,521,299,57.39,104,170,22,0
Pct 1136,Election Day,1136,1,857,206,24.04,84,94,27,1
Pct 1136,VBM,1136,1,857,463,54.03,178,226,52,0
Pct 1141,Election Day,1141,1,1047,259,24.74,120,114,30,0
Pct 1141,VBM,1141,1,1047,553,52.82,242,256,46,1
Pct 1142,Election Day,1142,1,858,232,27.04,105,97,32,0
Pct 1142,VBM,1142,1,858,435,50.70,195,184,40,0
Pct 1143,Election Day,1143,1,1056,302,28.60,167,113,25,1
Pct 1143,VBM,1143,1,1056,499,47.25,235,206,42,0
Pct 1144,Election Day,1144,1,928,266,28.66,127,111,32,0
Pct 1144,VBM,1144,1,928,447,48.17,221,184,37,1
Pct 1145,Election Day,1145,1,931,237,25.46,102,97,38,0
Pct 1145,VBM,1145,1,931,516,55.42,221,257,26,1
Pct 1146,Election Day,1146,1,1036,241,23.26,111,101,31,2
Pct 1146,VBM,1146,1,1036,550,53.09,254,243,44,0
Pct 1147,Election Day,1147,1,927,270,29.13,143,93,34,2
Pct 1147,VBM,1147,1,927,464,50.05,230,193,34,0
Pct 1148,Election Day,1148,1,992,264,26.61,136,93,35,0
Pct 1148,VBM,1148,1,992,463,46.67,184,230,44,0
Pct 1149,Election Day,1149,1,950,291,30.63,142,110,43,0
Pct 1149,VBM,1149,1,950,456,48.00,208,204,36,1
Pct 1151 MB,Election Day,1151,1,0,0,0.00,0,0,0,0
Pct 1151 MB,VBM,1151,1,0,0,0.00,0,0,0,0
Pct 1152,Election Day,1152,1,898,236,26.28,104,105,27,0
Pct 1152,VBM,1152,1,898,435,48.44,190,199,43,0
Pct 1153,Election Day,1153,1,961,281,29.24,118,130,36,0
Pct 1153,VBM,1153,1,961,468,48.70,195,220,41,0
Pct 1154 MB,Election Day,1154,1,0,0,0.00,0,0,0,0
Pct 1154 MB,VBM,1154,1,0,0,0.00,0,0,0,0
Pct 7001,Election Day,7001,1,742,204,27.49,81,89,34,0
