PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,49,91,19,0
Pct 1101,VBM,1101,1,586,287,48.98,80,174,30,0
Pct 1102,Election Day,1102,1,996,291,29.22,73,191,25,0
Pct 1102,VBM,1102,1,996,519,52.11,194,290,33,0
Pct 1103,Election Day,1103,1,971,263,27.09,72,162,30,0
Pct 1103,VBM,1103,1,971,518,53.35,153,315,39,2
Pct 1104/1105,Election Day,1104,1,991,329,33.20,86,200,43,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,151,251,33,1
Pct 1106,Election Day,1106,1,808,217,26.86,58,126,33,0
Pct 1106,VBM,1106,1,808,383,47.40,128,208,39,0
Pct 1107,Election Day,1107,1,781,222,28.43,54,137,31,0
Pct 1107,VBM,1107,1,781,284,36.36,95,160,26,0
Pct 1108,Election Day,1108,1,951,250,26.29,74,138,38,0
Pct 1108,VBM,1108,1,951,494,51.95,161,287,37,1
Pct 1109,Election Day,1109,1,809,215,26.58,74,116,25,0
Pct 1109,VBM,1109,1,809,402,49.69,133,223,39,1
Pct 1111,Election Day,1111,1,1031,246,23.86,79,130,37,0
Pct 1111,VBM,1111,1,1031,471,45.68,178,232,51,0
Pct 1112,Election Day,1112,1,765,173,22.61,55,89,26,0
Pct 1112,VBM,1112,1,765,384,50.20,123,208,46,1
Pct 1113,Election Day,1113,1,713,145,20.34,37,89,19,0
Pct 1113,VBM,1113,1,713,402,56.38,142,210,40,0
Pct 1114,Election Day,1114,1,971,297,30.59,94,146,57,0
Pct 1114,VBM,1114,1,971,444,45.73,161,239,42,2
Pct 1115,Election Day,1115,1,910,233,25.60,65,131,36,0
Pct 1115,VBM,1115,1,910,513,56.37,162,276,70,0
Pct 1116,Election Day,1116,1,913,245,26.83,82,136,27,0
Pct 1116,VBM,1116,1,913,391,42.83,140,206,39,0
Pct 1117,Election Day,1117,1,886,273,30.81,83,153,34,0
Pct 1117,VBM,1117,1,886,371,41.87,143,192,31,0
Pct 1118,Election Day,1118,1,1031,261,25.32,91,142,28,0
Pct 1118,VBM,1118,1,1031,515,49.95,204,255,48,0
Pct 1119,Election Day,1119,1,783,176,22.48,60,83,33,0
Pct 1119,VBM,1119,1,783,411,52.49,149,216,41,0
Pct 1121,Election Day,1121,1,691,192,27.79,68,100,24,1
Pct 1121,VBM,1121,1,691,333,48.19,103,188,40,0
Pct 1122,Election Day,1122,1,658,166,25.23,57,89,20,0
Pct 1122,VBM,1122,1,658,316,48.02,99,180,36,0
Pct 1123,Election Day,1123,1,954,259,27.15,79,148,32,1
Pct 1123,VBM,1123,1,954,387,40.57,150,197,40,0
Pct 1124,Election Day,1124,1,831,210,25.27,58,119,32,0
Pct 1124,VBM,1124,1,831,346,41.64,114,185,41,1
Pct 1125,Election Day,1125,1,1029,234,22.74,84,115,34,0
Pct 1125,VBM,1125,1,1029,511,49.66,198,242,67,0
Pct 1126,Election Day,1126,1,954,254,26.62,83,132,37,0
Pct 1126,VBM,1126,1,954,447,46.86,161,234,44,0
Pct 1127,Election Day,1127,1,911,273,29.97,88,147,37,0
Pct 1127,VBM,1127,1,911,412,45.23,154,219,39,0
Pct 1128,Election Day,1128,1,907,237,26.13,83,121,32,1
Pct 1128,VBM,1128,1,907,449,49.50,191,193,59,0
Pct 1129,Election Day,1129,1,951,280,29.44,95,139,47,0
Pct 1129,VBM,1129,1,951,423,44.48,174,207,37,0
Pct 1131,Election Day,1131,1,853,192,22.51,70,92,30,0
Pct 1131,VBM,1131,1,853,382,44.78,135,206,38,1
Pct 1132,Election Day,1132,1,982,226,23.01,72,124,29,1
Pct 1132,VBM,1132,1,982,495,50.41,173,260,57,1
