PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 1101,Election Day,1101,1,586,159,27.13,120,18,20,1
Pct 1101,VBM,1101,1,586,287,48.98,228,29,27,0
Pct 1102,Election Day,1102,1,996,291,29.22,223,36,30,0
Pct 1102,VBM,1102,1,996,519,52.11,396,75,46,0
Pct 1103,Election Day,1103,1,971,263,27.09,200,33,31,0
Pct 1103,VBM,1103,1,971,518,53.35,403,60,46,0
Pct 1104/1105,Election Day,1104,1,991,329,33.20,236,43,50,0
Pct 1104/1105,VBM,1104,1,991,434,43.79,323,67,46,0
Pct 1106,Election Day,1106,1,808,217,26.86,154,24,39,0
Pct 1106,VBM,1106,1,808,383,47.40,299,41,35,0
Pct 1107,Election Day,1107,1,781,222,28.43,160,23,39,0
Pct 1107,VBM,1107,1,781,284,36.36,234,24,23,0
Pct 1108,Election Day,1108,1,951,250,26.29,190,24,36,0
Pct 1108,VBM,1108,1,951,494,51.95,385,58,43,0
Pct 1109,Election Day,1109,1,809,215,26.58,151,34,30,0
Pct 1109,VBM,1109,1,809,402,49.69,321,36,39,0
Pct 1111,Election Day,1111,1,1031,246,23.86,170,29,47,0
Pct 1111,VBM,1111,1,1031,471,45.68,361,51,49,0
Pct 1112,Election Day,1112,1,765,173,22.61,119,21,30,0
Pct 1112,VBM,1112,1,765,384,50.20,291,32,55,0
Pct 1113,Election Day,1113,1,713,145,20.34,104,18,23,0
Pct 1113,VBM,1113,1,713,402,56.38,280,64,46,2
Pct 1114,Election Day,1114,1,971,297,30.59,192,47,58,0
Pct 1114,VBM,1114,1,971,444,45.73,345,56,43,0
Pct 1115,Election Day,1115,1,910,233,25.60,170,26,36,0
Pct 1115,VBM,1115,1,910,513,56.37,391,55,62,0
Pct 1116,Election Day,1116,1,913,245,26.83,166,45,34,0
Pct 1116,VBM,1116,1,913,391,42.83,289,39,57,0
Pct 1117,Election Day,1117,1,886,273,30.81,183,47,39,1
Pct 1117,VBM,1117,1,886,371,41.87,267,58,41,0
Pct 1118,Election Day,1118,1,1031,261,25.32,177,41,43,0
Pct 1118,VBM,1118,1,1031,515,49.95,398,58,50,1
Pct 1119,Election Day,1119,1,783,176,22.48,122,23,31,0
Pct 1119,VBM,1119,1,783,411,52.49,306,50,50,0
Pct 1121,Election Day,1121,1,691,192,27.79,129,36,28,0
Pct 1121,VBM,1121,1,691,333,48.19,253,40,38,0
Pct 1122,Election Day,1122,1,658,166,25.23,126,19,20,1
Pct 1122,VBM,1122,1,658,316,48.02,229,46,40,0
Pct 1123,Election Day,1123,1,954,259,27.15,176,48,36,0
Pct 1123,VBM,1123,1,954,387,40.57,295,50,42,0
Pct 1124,Election Day,1124,1,831,210,25.27,142,33,34,0
Pct 1124,VBM,1124,1,831,346,41.64,248,48,45,0
Pct 1125,Election Day,1125,1,1029,234,22.74,159,27,47,0
Pct 1125,VBM,1125,1,1029,511,49.66,370,65,72,0
Pct 1126,Election Day,1126,1,954,254,26.62,147,57,48,0
Pct 1126,VBM,1126,1,954,447,46.86,327,66,46,0
Pct 1127,Election Day,1127,1,911,273,29.97,198,30,42,2
Pct 1127,VBM,1127,1,911,412,45.23,308,53,51,0
Pct 1128,Election Day,1128,1,907,237,26.13,162,32,43,0
Pct 1128,VBM,1128,1,907,449,49.50,318,63,62,0
Pct 1129,Election Day,1129,1,951,280,29.44,174,48,59,0
Pct 1129,VBM,1129,1,951,423,44.48,317,53,48,0
Pct 1131,Election Day,1131,1,853,192,22.51,118,28,46,0
Pct 1131,VBM,1131,1,853,382,44.78,268,56,56,0
Pct 1132,Election Day,1132,1,982,226,23.01,155,33,38,0
Pct 1132,VBM,1132,1,982,495,50.41,372,59,60,0
Pct 1133,Election Day,1133,1,870,223,25.63,150,34,34,0
Pct 1133,VBM,1133,1,870,438,50.34,336,51,47,0
Pct 1134,Election Day,1134,1,793,216,27.24,158,31,27,0
Pct 1134,VBM,1134,1,793,377,47.54,270,64,42,0
Pct 1135,Election Day,1135,1,521,122,23.42,90,19,13,0
Pct 1135,VBM,1135,1,521,299,57.39,236,31,28,1
Pct 1136,Election Day,1136,1,857,206,24.04,145,30,30,1
