precinct,ballot_type,registered,ballots_cast,turnout,JANE_KIM,SCOTT_WIENER,KEN_LOO,WRITE-IN,over_votes,under_votes
1101,Election_Day,518,83,16.02,46,25,6,1,,5
1101,VBM,518,169,32.63,75,71,15,1,,7
1102,Election_Day,931,255,27.39,106,106,15,2,1,25
1102,VBM,931,311,33.4,125,127,34,,,25
1103,Election_Day,897,193,21.52,90,67,11,2,,23
1103,VBM,897,320,35.67,117,137,35,1,1,29
1104/1105,Election_Day,925,192,20.76,98,57,12,,,25
1104/1105,VBM,925,292,31.57,120,120,27,2,,23
1106,Election_Day,760,159,20.92,74,55,10,2,,18
1106,VBM,760,247,32.5,87,105,32,1,1,21
1107,Election_Day,723,131,18.12,64,45,7,,,15
1107,VBM,723,237,32.78,86,100,23,3,,25
1108,Election_Day,896,161,17.97,82,54,11,,,14
1108,VBM,896,344,38.39,128,162,23,,,31
1109,Election_Day,770,135,17.53,65,51,6,,,13
1109,VBM,770,265,34.42,85,109,43,,,28
1111,Election_Day,916,149,16.27,74,49,10,2,,14
1111,VBM,916,292,31.88,129,115,30,,2,16
1112,Election_Day,701,114,16.26,46,36,10,1,1,20
1112,VBM,701,219,31.24,104,69,20,1,2,23
1113,Election_Day,663,100,15.08,50,31,7,,2,10
1113,VBM,663,239,36.05,90,77,44,2,1,25
1114,Election_Day,905,170,18.78,74,53,17,,,26
1114,VBM,905,278,30.72,121,89,40,1,,27
1115,Election_Day,848,137,16.16,69,44,5,1,,18
1115,VBM,848,288,33.96,110,113,29,,1,35
1116,Election_Day,812,148,18.23,79,51,4,,,14
1116,VBM,812,239,29.43,77,124,19,1,2,16
1117,Election_Day,817,155,18.97,68,57,7,,,23
1117,VBM,817,245,29.99,93,96,25,1,1,29
1118,Election_Day,972,178,18.31,84,67,7,2,,18
1118,VBM,972,320,32.92,113,149,29,,1,28
1119,Election_Day,719,122,16.97,65,45,1,,,11
1119,VBM,719,241,33.52,83,116,19,1,2,20
1121,Election_Day,642,114,17.76,52,42,11,,,9
1121,VBM,642,219,34.11,71,94,30,,2,22
1122,Election_Day,613,105,17.13,54,33,4,1,,13
1122,VBM,613,189,30.83,80,66,30,1,,12
1123,Election_Day,881,140,15.89,75,47,5,,,13
1123,VBM,881,244,27.7,102,105,18,1,,18
1124,Election_Day,758,149,19.66,65,60,6,1,,17
1124,VBM,758,208,27.44,84,76,25,1,2,20
1125,Election_Day,935,116,12.41,50,41,7,1,,17
