precinct,ballot_type,registered_voters,ballots_cast,turnout,JOHN_BURTON,LONDON_BREED,JO_ELIAS-JACKSON,FRANCIS_TSANG,MARLENE_TRAN,GLADYS_SOTO,ARLO_HALE_SMITH,MELISSA_SAN_MIGUEL,JILL_WYNNS,WADE_WOODS,CINDY_WU,SCOTT_WIENER,PETRA_DEJESUS,BEVAN_DUFTY,ZOE_DUNNING,MALIA_COHEN,WENDY_HA_CHAU,DAVID_CAMPOS,JANE_KIM,FRANCES_HSIEH,TOM_HSIEH,RODNEY_HAUGE,RICK_HAUPTMAN,SHAUN_HAINES,GARY_MCCOY,RAFAEL_MANDELMAN,SOPHIE_MAXWELL,ALYSABETH_ALEXANDER,TOM_AMMIANO,JOSHUA_ARCE,JON_GOLINGER,PRATIMA_GUPTA,DAVID_GIESEN,MICHAEL_E_GRAFTON,AARON_PESKIN,NICHOLAS_PASQUARIELLO,LEAH_PIMENTEL,REBECCA_PROZAN,ALIX_ROSENTHAL,WRITE-IN,over_votes,under_votes
1141,Election_Day,542,109,20.11,27,23,4,11,13,20,7,16,15,21,26,39,22,26,11,20,11,47,44,13,16,3,6,10,11,14,31,25,42,21,16,29,9,6,25,6,20,14,13,2,,791
1141,VBM,542,246,45.39,77,58,14,48,44,42,38,32,55,43,57,107,49,83,47,65,36,110,102,48,47,8,10,18,30,48,65,42,102,42,40,62,16,10,83,7,52,44,43,1,28,1491
1142,Election_Day,433,102,23.56,19,27,6,7,13,14,4,12,13,19,17,31,19,27,6,20,15,47,45,16,10,7,4,12,8,12,27,15,41,13,20,25,4,3,23,1,12,11,9,,,794
1142,VBM,433,158,36.49,46,39,8,29,21,29,16,24,21,25,44,63,34,46,32,40,22,71,57,31,24,6,9,8,21,34,38,38,73,20,33,35,13,5,50,4,28,30,29,,84,932
1143,Election_Day,550,159,28.91,39,27,6,18,14,34,13,25,19,32,36,60,32,43,16,34,20,78,75,32,18,10,9,8,11,37,29,34,68,24,27,46,12,3,40,4,23,18,17,1,,1134
1143,VBM,550,197,35.82,46,43,7,28,22,45,27,36,38,35,58,67,46,57,20,44,26,96,80,36,25,8,9,19,23,40,61,44,81,42,34,52,12,14,71,8,30,35,26,1,70,1196
1144,Election_Day,502,126,25.1,25,30,6,14,10,22,14,17,16,21,26,39,26,23,13,22,13,57,45,19,17,9,8,12,13,27,28,18,54,22,21,28,4,5,27,5,14,19,15,1,14,945
1144,VBM,502,184,36.65,58,52,7,36,18,29,28,23,32,30,48,61,37,41,28,43,25,92,82,34,28,6,7,14,18,29,48,29,87,33,29,44,5,4,49,3,32,36,32,14,42,1183
1145,Election_Day,544,110,20.22,23,19,5,10,7,13,10,9,11,16,22,27,21,32,11,20,5,45,38,19,13,5,7,5,3,19,34,16,40,14,14,20,3,4,26,2,15,13,13,,,911
1145,VBM,544,239,43.93,68,71,13,47,18,31,36,22,44,43,60,111,62,76,49,70,32,114,88,49,45,9,11,18,26,53,69,48,111,40,39,46,13,8,63,5,63,55,52,1,28,1439
1146,Election_Day,487,102,20.94,17,21,3,11,9,14,13,10,16,11,21,30,19,20,10,16,12,41,36,13,12,3,5,8,12,15,19,21,36,19,16,17,7,4,21,4,17,16,16,2,,815
1146,VBM,487,206,42.3,60,49,18,39,27,29,24,23,31,24,46,80,34,44,38,49,31,91,65,32,24,12,11,13,21,31,47,30,77,37,26,38,9,5,51,3,40,24,36,,28,1487
1147,Election_Day,487,108,22.18,24,15,7,10,15,21,7,9,11,19,24,35,16,18,7,21,10,41,38,14,4,3,2,6,6,13,24,17,45,9,14,22,7,3,30,3,10,9,10,1,14,898
1147,VBM,487,192,39.43,47,51,14,26,29,36,26,26,30,38,47,67,48,53,30,47,16,80,70,38,31,11,5,14,20,30,57,37,70,40,47,50,16,8,60,4,35,38,30,1,84,1181
1148,Election_Day,486,111,22.84,26,19,4,9,11,15,9,9,13,13,23,33,26,30,9,22,4,46,43,19,8,4,6,5,5,20,27,16,53,14,21,23,10,2,32,1,10,11,14,,,889
1148,VBM,486,159,32.72,45,34,8,21,35,41,18,25,27,30,51,46,36,41,17,38,33,76,70,34,19,11,13,17,18,35,45,38,70,27,41,47,14,9,48,9,20,35,18,,,966
1149,Election_Day,519,134,25.82,37,22,8,9,12,27,16,18,13,28,25,31,21,27,6,22,12,47,45,15,13,9,10,11,16,9,30,27,59,23,23,27,14,3,24,4,17,23,9,2,14,1068
1149,VBM,519,181,34.87,58,47,3,32,25,29,33,14,40,24,39,82,29,43,33,43,26,70,72,35,35,8,9,20,29,18,35,28,72,35,22,40,8,4,33,4,36,33,36,1,70,1181
1151,Election_Day,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,VBM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Election_Day,442,107,24.21,26,15,4,7,10,14,12,11,11,24,28,24,26,27,10,13,10,40,37,20,9,3,5,9,8,23,26,23,42,16,21,23,6,3,19,2,15,12,11,1,,852
1152,VBM,442,166,37.56,48,53,7,41,24,29,35,20,37,38,43,67,50,47,43,48,23,75,69,28,35,2,7,19,23,45,46,37,63,46,36,40,6,3,50,1,43,33,36,,84,844
1153,Election_Day,483,111,22.98,27,12,6,14,7,21,11,17,15,17,21,36,18,16,11,19,11,38,38,19,13,6,6,10,9,13,19,22,42,13,11,21,8,3,16,4,16,18,12,8,,910
1153,VBM,483,163,33.75,55,45,9,34,19,31,23,23,29,26,44,61,37,46,22,46,25,84,60,33,23,10,12,18,22,31,49,38,81,23,25,45,9,5,39,4,32,33,26,2,14,989
1154,Election_Day,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,VBM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7001,Election_Day,391,85,21.74,7,14,2,7,5,14,7,8,8,19,20,25,19,20,8,14,8,31,32,16,4,1,2,5,4,18,20,19,29,18,18,23,1,1,20,2,8,16,9,,,688
7001,VBM,391,146,37.34,30,37,3,31,10,19,21,11,16,27,39,58,42,54,25,45,11,52,60,26,27,2,4,11,13,39,41,31,72,33,31,36,5,2,46,2,31,24,26,,,951
7002,Election_Day,530,119,22.45,28,18,4,24,11,12,9,15,14,24,34,32,24,38,11,36,14,48,59,25,10,,4,10,6,27,36,27,52,17,27,33,6,1,34,2,14,12,15,1,,852
7002,VBM,530,197,37.17,33,36,5,51,29,23,19,13,26,30,53,94,38,41,34,52,28,69,76,35,31,4,1,11,19,39,39,33,68,29,36,41,4,6,53,2,35,30,33,1,28,1430
7003,Election_Day,529,158,29.87,40,40,5,21,15,16,19,6,20,29,35,59,38,57,17,53,13,59,59,32,17,9,8,12,15,36,53,36,66,21,39,46,8,3,51,1,29,25,26,,,1078
