precinct,ballot_type,registered_voters,ballots_cast,turnout,NORMAN_YEE,LEAH_LACROIX,KEITH_BARAKA,JOEL_ENGARDIO,MARY_JUNG,SANDRA_LEE_FEWER,BILL_FAZIO,MARK_FARRELL,RACHEL_NORTON,BRIGITTE_DAVILA,HENE_KELLY,SAMUEL_KWONG,TOM_A_HSIEH,MYRNA_MELGAR,GABRIEL_MEDINA,EMILY_MURASE,TREVOR_MCNEIL,ERIC_MAR,ANGELA_ALIOTO,KAT_ANDERSON,MARJAN_PHILHOUR,WRITE-IN,over_votes,under_votes
1101,Election_Day,297,60,20.2,31,17,17,8,9,21,13,14,16,25,24,2,12,20,10,14,12,19,21,11,9,4,,271
1101,VBM,297,115,38.72,47,27,34,14,32,41,29,33,23,32,37,11,29,25,17,28,31,42,46,26,18,1,10,517
1102,Election_Day,555,177,31.89,68,43,42,15,25,45,33,24,31,52,40,10,34,49,26,26,29,50,67,25,24,2,10,1000
1102,VBM,555,214,38.56,80,60,85,38,67,65,49,68,66,70,51,12,66,54,34,52,50,74,86,59,53,2,30,869
1103,Election_Day,536,137,25.56,43,23,25,13,26,34,20,26,29,19,22,4,28,27,18,21,17,27,58,23,22,2,,843
1103,VBM,536,218,40.67,91,44,73,33,73,60,55,63,64,47,44,23,74,36,31,54,50,69,87,59,45,,20,985
1104-1105,Election_Day,515,112,21.75,46,26,17,8,17,28,11,17,17,27,27,3,12,25,24,9,18,28,46,14,10,,,690
1104-1105,VBM,515,180,34.95,74,54,42,30,45,63,28,40,46,56,47,14,43,57,27,33,42,68,71,37,28,,20,835
1106,Election_Day,426,99,23.24,30,22,37,15,27,25,16,17,28,24,22,4,19,19,12,20,18,26,33,21,16,8,10,521
1106,VBM,426,163,38.26,65,40,57,34,61,42,42,39,46,38,39,16,64,37,19,48,43,57,59,59,28,9,10,678
1107,Election_Day,432,94,21.76,43,24,26,9,16,28,16,12,15,24,23,6,20,24,15,18,20,31,42,20,16,,,492
1107,VBM,432,162,37.5,56,34,46,26,48,32,33,41,38,26,37,6,45,29,20,39,48,50,75,41,32,2,30,786
1108,Election_Day,574,109,18.99,35,16,33,13,20,26,21,21,23,15,16,3,21,11,11,16,20,18,55,22,13,2,,659
1108,VBM,574,235,40.94,100,66,85,34,76,73,64,66,70,48,48,18,82,55,31,52,73,77,102,63,55,,,1012
1109,Election_Day,436,95,21.79,33,23,31,11,13,26,20,21,18,25,17,5,22,16,16,16,19,25,33,17,11,2,,530
1109,VBM,436,174,39.91,75,46,52,29,53,39,44,32,40,35,35,23,52,28,21,31,40,53,76,46,30,2,20,838
1111,Election_Day,490,93,18.98,39,26,20,12,18,27,14,15,23,26,28,5,18,23,13,16,16,31,41,16,15,1,,487
1111,VBM,490,176,35.92,71,38,59,24,55,55,26,43,40,40,40,10,40,41,31,47,39,58,72,47,40,4,20,820
1112,Election_Day,353,67,18.98,27,18,18,5,12,19,4,13,17,15,15,3,9,14,12,8,13,14,23,15,10,1,,385
1112,VBM,353,132,37.39,56,28,36,20,41,42,28,33,36,34,22,13,38,21,15,37,40,48,52,29,30,11,,610
1113,Election_Day,314,60,19.11,16,12,13,8,10,13,8,6,7,14,15,4,10,12,6,10,11,12,22,9,8,,10,364
1113,VBM,314,112,35.67,43,20,29,22,33,26,35,23,21,27,19,14,31,27,19,15,19,36,42,24,20,,,575
1114,Election_Day,516,111,21.51,31,30,24,3,8,25,15,14,15,24,23,10,13,30,14,13,17,29,43,12,12,,,705
1114,VBM,516,179,34.69,70,49,41,24,37,59,25,48,43,51,49,21,40,49,38,40,45,59,81,30,31,,10,850
1115,Election_Day,462,88,19.05,28,21,21,8,14,28,9,14,19,23,20,5,15,21,13,22,23,19,40,8,11,1,,497
1115,VBM,462,186,40.26,82,44,55,33,60,47,43,46,41,38,36,17,51,34,19,42,46,56,67,42,37,7,20,897
1116,Election_Day,486,116,23.87,35,26,38,10,24,31,16,28,30,24,24,4,26,17,8,16,29,26,56,20,11,,,661
1116,VBM,486,162,33.33,65,40,57,25,52,39,42,38,46,31,34,14,43,35,15,40,45,46,88,45,30,,20,730
1117,Election_Day,504,124,24.6,29,25,25,9,15,30,25,15,19,27,23,6,18,16,20,14,21,23,51,21,16,12,,780
1117,VBM,504,166,32.94,58,40,51,31,49,46,28,45,51,44,37,22,44,41,32,43,43,45,66,41,37,13,10,743
1118,Election_Day,563,134,23.8,47,35,30,12,21,28,20,19,26,35,25,3,22,27,20,20,22,32,53,17,15,13,,798
1118,VBM,563,191,33.93,80,55,69,31,60,54,43,43,49,54,41,18,47,45,17,48,51,65,82,49,35,,10,864
1119,Election_Day,422,89,21.09,34,24,19,5,12,28,11,13,15,24,23,1,7,23,16,8,14,29,36,15,12,,,521
1119,VBM,422,159,37.68,61,49,68,23,45,57,32,37,47,47,37,14,43,45,29,44,59,52,83,39,36,2,10,631
1121,Election_Day,348,76,21.84,27,19,19,11,19,24,18,12,19,23,19,3,14,22,14,16,11,15,32,14,14,1,,394
1121,VBM,348,130,37.36,58,25,25,24,31,47,33,30,30,24,21,8,37,30,15,23,23,50,58,22,26,2,,658
1122,Election_Day,280,74,26.43,23,15,13,6,15,18,14,13,10,20,15,5,12,17,17,13,10,19,31,8,10,1,,435
1122,VBM,280,104,37.14,48,16,19,13,33,24,20,27,30,30,20,18,33,19,21,21,23,38,39,20,28,4,10,486
1123,Election_Day,491,120,24.44,43,39,24,8,17,40,20,22,19,33,32,9,14,26,24,16,23,38,48,24,14,1,10,656
1123,VBM,491,154,31.36,63,46,45,19,46,52,38,34,39,36,38,8,52,43,16,31,39,46,70,42,33,6,,698
1124,Election_Day,418,119,28.47,39,37,31,12,22,31,19,18,24,29,18,5,19,25,15,22,21,25,53,14,14,2,10,685
1124,VBM,418,118,28.23,36,30,46,23,35,28,24,31,38,24,26,11,31,23,17,34,40,31,54,31,37,2,,528
1125,Election_Day,537,81,15.08,18,22,16,5,10,14,14,13,17,19,14,7,6,17,8,14,14,15,30,8,7,4,,518
1125,VBM,537,180,33.52,84,39,50,48,60,59,44,57,45,46,31,18,59,47,45,44,43,64,101,58,36,1,10,711
1126,Election_Day,479,108,22.55,42,24,33,16,31,25,26,30,33,31,18,8,25,16,25,23,24,24,66,24,18,2,,516
1126,VBM,479,176,36.74,71,30,64,26,57,42,50,50,59,42,41,18,52,39,34,47,35,52,91,57,44,4,10,745
1127,Election_Day,469,109,23.24,38,31,18,8,17,31,22,18,16,29,26,3,17,28,12,15,13,32,38,13,11,2,,652
1127,VBM,469,167,35.61,76,45,48,30,48,64,42,47,42,48,41,16,54,47,21,33,36,60,69,45,22,13,,723
1128,Election_Day,413,76,18.4,34,16,16,7,12,25,12,12,14,20,18,4,11,19,15,8,9,22,28,9,4,1,,444
1128,VBM,413,140,33.9,64,27,38,22,45,50,27,29,42,38,37,16,43,30,26,41,27,52,59,37,27,,,623
1129,Election_Day,453,89,19.65,34,17,21,7,12,17,14,19,15,16,15,7,11,18,23,17,15,19,39,12,8,1,,533
1129,VBM,453,167,36.87,78,36,44,33,48,73,49,60,56,46,36,15,44,44,29,50,39,73,87,49,38,1,,642
1131,Election_Day,418,82,19.62,29,17,16,11,16,17,14,15,10,16,12,9,13,15,18,13,7,23,35,9,9,1,,495
1131,VBM,418,164,39.23,62,30,54,35,57,42,55,48,51,41,25,23,67,34,29,51,38,52,80,50,43,1,,672
1132,Election_Day,458,102,22.27,27,17,28,14,18,28,17,20,24,22,22,10,21,16,16,17,23,20,54,16,14,,,576
1132,VBM,458,188,41.05,90,48,53,35,60,69,49,49,50,53,45,19,59,47,30,50,39,77,84,47,31,3,10,783
1133,Election_Day,483,90,18.63,21,17,18,3,10,14,14,25,15,23,15,,11,15,18,9,14,15,39,15,16,,,573
1133,VBM,483,191,39.54,79,37,50,30,64,65,64,62,50,45,48,14,74,42,27,54,42,52,92,58,36,2,10,813
1134,Election_Day,398,102,25.63,35,32,20,10,12,31,20,19,25,32,26,5,17,30,23,22,14,35,36,16,15,,,545
1134,VBM,398,131,32.91,54,31,29,15,41,44,28,32,35,39,28,15,38,33,26,25,23,42,52,25,22,10,,623
1135,Election_Day,268,65,24.25,21,19,10,4,13,16,11,12,11,19,20,2,18,17,8,11,16,21,22,11,11,1,10,346
1135,VBM,268,108,40.3,50,28,32,17,34,37,30,18,32,32,29,14,34,30,16,27,27,39,56,30,20,,,448
1136,Election_Day,423,63,14.89,22,18,14,8,15,16,12,13,16,11,13,7,13,15,11,11,16,15,29,11,8,2,,334
1136,VBM,423,197,46.57,80,47,61,26,65,47,57,55,58,46,39,15,65,44,26,42,46,63,80,56,39,8,20,885
9001,Election_Day,125,3,2.4,,,,,,,,,,,,,,,,,,,,,,,,30
9001,VBM,125,66,52.8,26,21,29,11,23,23,19,16,15,21,19,3,23,18,17,18,19,27,34,23,21,1,,233
9101,Election_Day,450,123,27.33,35,28,21,6,18,38,16,12,14,19,28,3,19,19,11,15,11,39,46,16,21,,,795
9101,VBM,450,192,42.67,78,42,51,22,58,74,41,49,37,37,39,15,55,41,17,45,34,74,61,48,69,1,30,902
9102,Election_Day,508,138,27.17,40,33,25,7,18,43,16,18,17,29,27,7,18,35,13,20,17,51,39,16,26,2,,863
9102,VBM,508,207,40.75,83,49,39,18,71,70,40,51,42,48,50,18,62,47,19,47,35,82,71,41,48,15,,1024
9103,Election_Day,500,121,24.2,41,23,22,10,28,37,17,21,24,16,24,12,30,23,8,23,21,32,44,19,37,7,,691
9103,VBM,500,194,38.8,68,37,42,21,54,68,33,49,37,33,34,12,51,37,9,39,37,77,62,31,67,3,20,1019
9104,Election_Day,497,131,26.36,42,39,35,7,27,46,19,24,20,37,30,9,23,35,20,25,20,42,48,20,40,2,,700
9104,VBM,497,175,35.21,70,36,46,13,44,59,36,44,40,34,31,14,56,34,16,46,37,59,73,36,49,1,10,866
9105,Election_Day,530,164,30.94,55,36,35,13,28,57,36,25,25,41,34,8,31,36,11,28,27,56,58,23,45,2,,930
9105,VBM,530,203,38.3,63,40,46,26,52,59,51,54,43,44,41,9,52,38,17,54,42,74,79,47,53,8,,1038
9106,Election_Day,534,174,32.58,56,36,41,7,27,53,30,47,37,38,36,8,29,41,17,28,26,56,59,31,49,1,,987
9106,VBM,534,214,40.07,65,48,44,20,53,62,38,56,53,39,50,14,48,45,15,50,40,62,69,41,63,2,20,1143
9107,Election_Day,417,130,31.18,42,32,19,4,21,53,19,23,27,34,27,7,19,27,8,23,20,49,40,20,40,,,746
9107,VBM,417,159,38.13,59,33,31,16,52,56,28,25,32,30,34,25,45,25,17,35,29,63,41,26,46,1,10,831
9108,Election_Day,433,144,33.26,40,44,21,6,24,61,19,21,28,36,36,8,21,35,12,31,23,52,48,20,46,5,,803
9108,VBM,433,155,35.8,47,42,38,16,36,68,22,35,26,37,43,11,32,36,16,28,40,53,55,35,57,2,,775
9109,Election_Day,469,121,25.8,42,28,22,12,25,43,22,30,24,25,26,3,25,29,15,30,18,41,46,18,38,,,648
9109,VBM,469,187,39.87,52,41,38,13,47,64,34,41,42,37,36,13,48,38,24,42,35,69,60,33,50,7,,1006
9111,Election_Day,403,131,32.51,37,33,22,9,25,44,15,21,24,28,28,7,29,22,12,22,17,46,39,23,36,2,10,759
9111,VBM,403,137,34,30,24,34,14,33,35,18,31,21,19,24,4,30,21,16,22,20,45,42,28,35,4,,820
9112,Election_Day,521,131,25.14,44,35,20,6,25,51,22,18,19,34,33,8,23,28,15,23,14,47,43,12,36,,,754
9112,VBM,521,207,39.73,64,27,40,18,50,60,26,55,45,35,31,16,46,32,17,54,40,72,74,34,62,1,,1171
9113,Election_Day,574,208,36.24,62,40,36,12,32,67,25,56,33,38,33,12,38,35,22,42,38,64,55,36,59,4,,1241
9113,VBM,574,223,38.85,86,53,41,17,50,88,42,57,33,52,57,12,46,51,21,37,29,90,55,40,48,2,,1223
