precinct,ballot_type,registered_voters,ballots_cast,turnout,PAUL_HENDERSON,VICTOR_HWANG,SIGRID_ELIZABETH_IRÍAS,WRITE-IN,over_votes,under_votes
1101,Election_Day,518,83,16.02,26,30,14,2,,11
1101,VBM,518,168,32.43,48,72,18,2,,28
1102,Election_Day,931,255,27.39,53,86,68,1,,47
1102,VBM,931,309,33.19,100,101,59,1,2,46
1103,Election_Day,897,192,21.4,40,69,37,1,,45
1103,VBM,897,316,35.23,99,116,47,3,2,49
1104-1105,Election_Day,925,191,20.65,47,66,42,1,,35
1104-1105,VBM,925,289,31.24,84,94,58,2,1,50
1106,Election_Day,760,157,20.66,53,44,25,,,35
1106,VBM,760,248,32.63,78,100,34,,,36
1107,Election_Day,723,130,17.98,43,52,11,,,24
1107,VBM,723,233,32.23,55,98,29,4,1,46
1108,Election_Day,896,160,17.86,49,48,21,,,42
1108,VBM,896,339,37.83,117,122,41,,,59
1109,Election_Day,770,132,17.14,34,46,28,2,1,21
1109,VBM,770,265,34.42,72,116,32,1,1,43
1111,Election_Day,916,148,16.16,28,54,29,4,,33
1111,VBM,916,289,31.55,71,137,34,2,1,44
1112,Election_Day,701,113,16.12,25,49,15,1,2,21
1112,VBM,701,221,31.53,49,124,18,2,1,27
1113,Election_Day,663,100,15.08,21,42,14,2,2,19
1113,VBM,663,235,35.44,51,107,38,2,,37
1114,Election_Day,905,170,18.78,26,67,42,,1,34
1114,VBM,905,274,30.28,80,115,42,2,1,34
1115,Election_Day,848,136,16.04,30,48,25,2,,31
1115,VBM,848,289,34.08,73,123,37,1,2,53
1116,Election_Day,812,148,18.23,43,54,19,1,,31
1116,VBM,812,238,29.31,67,104,29,2,3,33
1117,Election_Day,817,153,18.73,52,48,23,1,,29
1117,VBM,817,244,29.87,59,111,32,1,3,38
1118,Election_Day,972,176,18.11,51,65,29,2,,29
1118,VBM,972,318,32.72,94,131,33,,1,59
1119,Election_Day,719,121,16.83,34,46,18,2,,21
1119,VBM,719,241,33.52,83,69,47,2,5,35
1121,Election_Day,642,115,17.91,31,42,24,1,,17
1121,VBM,642,219,34.11,51,108,21,,1,38
1122,Election_Day,613,105,17.13,25,43,15,2,,20
1122,VBM,613,194,31.65,47,90,23,1,,33
1123,Election_Day,881,139,15.78,32,62,23,1,1,20
1123,VBM,881,242,27.47,71,109,23,1,1,37
