precinct,ballot_type,registered,ballots_cast,turnout,Yes,No,over_votes,under_votes
1101,Election_Day,518,83,16.02,63,12,,8
1101,VBM,518,168,32.43,111,51,,6
1102,Election_Day,931,255,27.39,198,43,1,13
1102,VBM,931,309,33.19,212,74,,23
1103,Election_Day,897,192,21.4,142,34,,16
1103,VBM,897,316,35.23,207,86,,23
1104/1105,Election_Day,925,191,20.65,158,23,,10
1104/1105,VBM,925,289,31.24,210,57,,22
1106,Election_Day,760,157,20.66,114,28,,15
1106,VBM,760,248,32.63,148,82,,18
1107,Election_Day,723,130,17.98,99,18,,13
1107,VBM,723,233,32.23,156,58,,19
1108,Election_Day,896,160,17.86,111,37,,12
1108,VBM,896,339,37.83,238,75,,26
1109,Election_Day,770,132,17.14,94,30,,8
1109,VBM,770,265,34.42,163,85,,17
1111,Election_Day,916,148,16.16,107,27,,14
1111,VBM,916,289,31.55,182,85,,22
1112,Election_Day,701,113,16.12,80,29,,4
1112,VBM,701,221,31.53,148,51,,22
1113,Election_Day,663,100,15.08,74,19,,7
1113,VBM,663,235,35.44,147,75,1,12
1114,Election_Day,905,170,18.78,125,27,,18
1114,VBM,905,274,30.28,193,59,,22
1115,Election_Day,848,136,16.04,102,20,,14
1115,VBM,848,289,34.08,190,77,,22
1116,Election_Day,812,148,18.23,112,22,,14
1116,VBM,812,238,29.31,171,57,,10
1117,Election_Day,817,153,18.73,111,25,,17
1117,VBM,817,244,29.87,160,69,,15
1118,Election_Day,972,176,18.11,136,32,,8
1118,VBM,972,318,32.72,217,81,,20
1119,Election_Day,719,121,16.83,95,12,,14
1119,VBM,719,241,33.52,172,57,,12
1121,Election_Day,642,115,17.91,70,36,,9
1121,VBM,642,219,34.11,130,74,,15
1122,Election_Day,613,105,17.13,75,21,,9
1122,VBM,613,194,31.65,105,75,,14
1123,Election_Day,881,139,15.78,103,24,,12
1123,VBM,881,242,27.47,166,57,,19
1124,Election_Day,758,145,19.13,118,12,,15
1124,VBM,758,207,27.31,126,68,,13
1125,Election_Day,935,115,12.3,89,14,,12
1125,VBM,935,288,30.8,214,57,,17
1126,Election_Day,864,147,17.01,106,30,,11
1126,VBM,864,283,32.75,197,71,,15
1127,Election_Day,841,158,18.79,112,33,,13
1127,VBM,841,280,33.29,186,77,,17
1128,Election_Day,813,116,14.27,89,19,,8
1128,VBM,813,261,32.1,173,71,,17
1129,Election_Day,852,136,15.96,97,19,,20
1129,VBM,852,269,31.57,175,80,,14
1131,Election_Day,787,108,13.72,77,16,,15
1131,VBM,787,276,35.07,172,84,,20
1132,Election_Day,910,135,14.84,101,22,,12
1132,VBM,910,333,36.59,212,99,,22
1133,Election_Day,811,128,15.78,86,29,,13
1133,VBM,811,283,34.9,201,66,,16
1134,Election_Day,720,142,19.72,111,25,,6
1134,VBM,720,218,30.28,122,80,,16
1135,Election_Day,495,86,17.37,63,14,,9
1135,VBM,495,184,37.17,102,66,,16
1136,Election_Day,775,103,13.29,71,21,,11
1136,VBM,775,294,37.94,186,71,,37
1141,Election_Day,960,157,16.35,109,30,,18
1141,VBM,960,371,38.65,257,95,,19
1142,Election_Day,755,144,19.07,109,18,,17
1142,VBM,755,260,34.44,163,73,,24
1143,Election_Day,974,205,21.05,174,22,,9
1143,VBM,974,316,32.44,245,55,,16
1144,Election_Day,864,184,21.3,130,43,,11
1144,VBM,864,275,31.83,195,65,,15
1145,Election_Day,878,170,19.36,130,23,,17
1145,VBM,878,341,38.84,254,69,,18
1146,Election_Day,927,168,18.12,138,22,,8
1146,VBM,927,318,34.3,228,66,,24
1147,Election_Day,860,176,20.47,118,40,,18
1147,VBM,860,290,33.72,198,73,,19
1148,Election_Day,900,172,19.11,122,28,,22
1148,VBM,900,280,31.11,174,91,,15
1149,Election_Day,873,192,21.99,146,27,,19
1149,VBM,873,274,31.39,176,76,,22
1151,Election_Day,0,0,0,,,,
1151,VBM,0,0,0,,,,
1152,Election_Day,826,154,18.64,112,31,,11
1152,VBM,826,280,33.9,189,77,,14
1153,Election_Day,886,163,18.4,113,37,,13
1153,VBM,886,287,32.39,193,73,,21
1154,Election_Day,0,0,0,,,,
1154,VBM,0,0,0,,,,
7001,Election_Day,647,143,22.1,118,17,,8
7001,VBM,647,209,32.3,147,48,,14
7002,Election_Day,934,177,18.95,132,29,,16
7002,VBM,934,303,32.44,184,87,,32
7003,Election_Day,850,216,25.41,171,30,,15
7003,VBM,850,341,40.12,261,61,,19
7004,Election_Day,823,196,23.82,141,32,,23
7004,VBM,823,312,37.91,241,44,,27
7005,Election_Day,810,243,30,187,33,,23
7005,VBM,810,262,32.35,198,46,1,17
7006,Election_Day,900,235,26.11,175,39,1,20
7006,VBM,900,301,33.44,232,49,1,19
7007,Election_Day,938,274,29.21,200,44,2,28
7007,VBM,938,343,36.57,264,52,1,26
7008,Election_Day,819,213,26.01,163,36,,14
7008,VBM,819,357,43.59,270,56,1,30
7009,Election_Day,873,178,20.39,132,27,,19
7009,VBM,873,315,36.08,226,70,,19
7011,Election_Day,990,170,17.17,146,16,,8
7011,VBM,990,215,21.72,157,41,,17
7012,Election_Day,937,251,26.79,192,36,,23
7012,VBM,937,341,36.39,258,63,,20
7013,Election_Day,670,128,19.1,99,17,,12
7013,VBM,670,255,38.06,190,46,,19
7014,Election_Day,971,241,24.82,173,48,,20
7014,VBM,971,329,33.88,246,61,,22
7015,Election_Day,91,3,3.3,1,1,,1
7015,VBM,91,47,51.65,35,6,,6
7016,Election_Day,885,122,13.79,97,15,,10
7016,VBM,885,223,25.2,156,50,,17
7017,Election_Day,721,81,11.23,67,4,,10
7017,VBM,721,150,20.8,116,25,,9
7018,Election_Day,904,106,11.73,84,9,,13
7018,VBM,904,305,33.74,206,79,,20
7019,Election_Day,883,136,15.4,101,17,,18
7019,VBM,883,319,36.13,235,66,,18
7021,Election_Day,910,141,15.49,110,10,,21
7021,VBM,910,235,25.82,180,42,,13
7022,Election_Day,969,157,16.2,130,16,,11
7022,VBM,969,245,25.28,205,31,,9
7023,Election_Day,878,134,15.26,102,21,,11
7023,VBM,878,253,28.82,197,35,1,20
7024,Election_Day,290,21,7.24,18,1,,2
7024,VBM,290,23,7.93,20,3,,
7025,Election_Day,460,61,13.26,43,8,,10
7025,VBM,460,82,17.83,68,7,1,6
7026,Election_Day,927,108,11.65,76,22,,10
7026,VBM,927,334,36.03,188,117,,29
7027,Election_Day,823,143,17.38,109,19,,15
7027,VBM,823,242,29.4,161,63,,18
7028,Election_Day,838,146,17.42,110,24,,12
7028,VBM,838,178,21.24,134,33,,11
7029,Election_Day,853,102,11.96,83,8,,11
7029,VBM,853,149,17.47,116,24,,9
7030,Election_Day,727,80,11,56,22,,2
7030,VBM,727,234,32.19,127,92,,15
7031,Election_Day,412,39,9.47,32,4,,3
7031,VBM,412,179,43.45,130,36,,13
7032,Election_Day,857,131,15.29,99,20,,12
7032,VBM,857,232,27.07,179,34,,19
7033,Election_Day,767,150,19.56,99,31,,20
7033,VBM,767,158,20.6,130,18,,10
7034,Election_Day,875,94,10.74,72,10,,12
7034,VBM,875,143,16.34,125,11,1,6
7035,Election_Day,386,71,18.39,57,10,,4
7035,VBM,386,113,29.27,82,24,,7
7036,Election_Day,862,92,10.67,74,10,,8
7036,VBM,862,233,27.03,165,59,,9
7037,Election_Day,762,83,10.89,66,6,,11
7037,VBM,762,70,9.19,53,10,,7
7038,Election_Day,874,90,10.3,60,16,,14
7038,VBM,874,242,27.69,155,66,1,20
7039,Election_Day,764,168,21.99,125,28,,15
7039,VBM,764,194,25.39,121,58,,15
7041,Election_Day,55,3,5.45,2,,,1
7041,VBM,55,20,36.36,11,8,,1
7042,Election_Day,627,100,15.95,68,19,,13
7042,VBM,627,202,32.22,134,58,,10
7043,Election_Day,884,111,12.56,83,14,,14
7043,VBM,884,257,29.07,174,65,,18
7044,Election_Day,785,85,10.83,65,7,,13
7044,VBM,785,104,13.25,72,25,1,6
7045,Election_Day,736,99,13.45,72,15,,12
7045,VBM,736,242,32.88,147,72,1,22
7046,Election_Day,416,61,14.66,44,16,,1
7046,VBM,416,139,33.41,94,39,,6
7047,Election_Day,783,98,12.52,72,19,,7
7047,VBM,783,282,36.02,172,90,1,19
7048,Election_Day,793,106,13.37,79,20,,7
7048,VBM,793,210,26.48,139,55,,16
7049,Election_Day,778,105,13.5,73,20,,12
7049,VBM,778,218,28.02,126,76,,16
7051,Election_Day,839,80,9.54,58,12,,10
7051,VBM,839,297,35.4,184,94,,19
7052,Election_Day,813,126,15.5,92,22,,12
7052,VBM,813,266,32.72,157,98,,11
7053,Election_Day,446,40,8.97,30,8,,2
7053,VBM,446,170,38.12,107,48,,15
7054,Election_Day,949,179,18.86,138,24,,17
