precinct,ballot_type,registered,ballots_cast,turnout,Yes,No,over_votes,under_votes
1101,Election_Day,518,83,16.02,63,13,,7
1101,VBM,518,168,32.43,103,59,,6
1102,Election_Day,931,255,27.39,182,57,,16
1102,VBM,931,309,33.19,195,92,1,21
1103,Election_Day,897,192,21.4,151,27,,14
1103,VBM,897,316,35.23,217,82,,17
1104/1105,Election_Day,925,191,20.65,144,34,,13
1104/1105,VBM,925,289,31.24,198,69,,22
1106,Election_Day,760,157,20.66,120,27,,10
1106,VBM,760,248,32.63,144,85,1,18
1107,Election_Day,723,130,17.98,98,21,,11
1107,VBM,723,233,32.23,125,80,,28
1108,Election_Day,896,160,17.86,119,28,,13
1108,VBM,896,339,37.83,227,85,,27
1109,Election_Day,770,132,17.14,90,31,1,10
1109,VBM,770,265,34.42,163,85,,17
1111,Election_Day,916,148,16.16,109,25,,14
1111,VBM,916,289,31.55,186,80,,23
1112,Election_Day,701,113,16.12,70,33,,10
1112,VBM,701,221,31.53,144,56,,21
1113,Election_Day,663,100,15.08,72,22,,6
1113,VBM,663,235,35.44,134,85,,16
1114,Election_Day,905,170,18.78,116,35,,19
1114,VBM,905,274,30.28,177,76,,21
1115,Election_Day,848,136,16.04,100,18,,18
1115,VBM,848,289,34.08,178,83,,28
1116,Election_Day,812,148,18.23,101,29,,18
1116,VBM,812,238,29.31,139,76,,23
1117,Election_Day,817,153,18.73,98,31,,24
1117,VBM,817,244,29.87,152,76,1,15
1118,Election_Day,972,176,18.11,136,28,,12
1118,VBM,972,318,32.72,212,89,,17
1119,Election_Day,719,121,16.83,86,20,,15
1119,VBM,719,241,33.52,159,67,,15
1121,Election_Day,642,115,17.91,69,38,,8
1121,VBM,642,219,34.11,117,87,,15
1122,Election_Day,613,105,17.13,68,25,1,11
1122,VBM,613,194,31.65,105,79,1,9
1123,Election_Day,881,139,15.78,103,24,,12
1123,VBM,881,242,27.47,148,76,,18
1124,Election_Day,758,145,19.13,109,17,,19
1124,VBM,758,207,27.31,118,75,,14
1125,Election_Day,935,115,12.3,96,11,,8
1125,VBM,935,288,30.8,197,70,,21
1126,Election_Day,864,147,17.01,105,32,,10
1126,VBM,864,283,32.75,189,75,,19
1127,Election_Day,841,158,18.79,108,33,,17
1127,VBM,841,280,33.29,160,103,,17
1128,Election_Day,813,116,14.27,80,27,,9
1128,VBM,813,261,32.1,169,74,,18
1129,Election_Day,852,136,15.96,95,20,,21
1129,VBM,852,269,31.57,166,78,,25
1131,Election_Day,787,108,13.72,80,14,,14
1131,VBM,787,276,35.07,165,95,,16
1132,Election_Day,910,135,14.84,97,26,,12
1132,VBM,910,333,36.59,195,109,,29
1133,Election_Day,811,128,15.78,92,24,,12
1133,VBM,811,283,34.9,189,78,,16
1134,Election_Day,720,142,19.72,106,27,,9
1134,VBM,720,218,30.28,106,93,,19
1135,Election_Day,495,86,17.37,60,18,,8
1135,VBM,495,184,37.17,95,76,1,12
1136,Election_Day,775,103,13.29,73,21,,9
1136,VBM,775,294,37.94,167,92,,35
1141,Election_Day,960,157,16.35,113,26,,18
1141,VBM,960,371,38.65,251,100,,20
1142,Election_Day,755,144,19.07,107,15,,22
1142,VBM,755,260,34.44,156,70,1,33
1143,Election_Day,974,205,21.05,155,37,,13
1143,VBM,974,316,32.44,217,80,,19
1144,Election_Day,864,184,21.3,118,48,,18
1144,VBM,864,275,31.83,162,97,,16
