precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
1101,Election_Day,518,83,16.02,36,37,,10
1101,VBM,518,168,32.43,85,77,,6
1102,Election_Day,931,255,27.39,146,90,,19
1102,VBM,931,309,33.19,165,126,,18
1103,Election_Day,897,192,21.4,107,69,,16
1103,VBM,897,316,35.23,166,124,1,25
1104-1105,Election_Day,925,191,20.65,99,74,,18
1104-1105,VBM,925,289,31.24,150,119,,20
1106,Election_Day,760,157,20.66,94,45,,18
1106,VBM,760,248,32.63,116,114,,18
1107,Election_Day,723,130,17.98,71,44,,15
1107,VBM,723,233,32.23,113,98,,22
1108,Election_Day,896,160,17.86,90,57,,13
1108,VBM,896,339,37.83,182,131,,26
1109,Election_Day,770,132,17.14,78,43,,11
1109,VBM,770,265,34.42,130,112,,23
1111,Election_Day,916,148,16.16,80,53,1,14
1111,VBM,916,289,31.55,157,108,,24
1112,Election_Day,701,113,16.12,58,47,,8
1112,VBM,701,221,31.53,121,80,,20
1113,Election_Day,663,100,15.08,57,35,,8
1113,VBM,663,235,35.44,128,92,,15
1114,Election_Day,905,170,18.78,88,60,1,21
1114,VBM,905,274,30.28,138,114,,22
1115,Election_Day,848,136,16.04,78,38,,20
1115,VBM,848,289,34.08,158,105,,26
1116,Election_Day,812,148,18.23,87,43,,18
1116,VBM,812,238,29.31,130,89,,19
1117,Election_Day,817,153,18.73,86,45,,22
1117,VBM,817,244,29.87,131,93,2,18
1118,Election_Day,972,176,18.11,102,64,,10
1118,VBM,972,318,32.72,181,113,,24
1119,Election_Day,719,121,16.83,70,39,,12
1119,VBM,719,241,33.52,143,82,,16
1121,Election_Day,642,115,17.91,58,49,,8
1121,VBM,642,219,34.11,104,99,,16
1122,Election_Day,613,105,17.13,53,40,,12
1122,VBM,613,194,31.65,87,95,,12
1123,Election_Day,881,139,15.78,71,54,,14
1123,VBM,881,242,27.47,126,95,1,20
1124,Election_Day,758,145,19.13,82,42,,21
1124,VBM,758,207,27.31,100,94,,13
1125,Election_Day,935,115,12.3,73,26,,16
1125,VBM,935,288,30.8,183,81,,24
1126,Election_Day,864,147,17.01,93,42,1,11
1126,VBM,864,283,32.75,165,97,1,20
1127,Election_Day,841,158,18.79,79,61,,18
1127,VBM,841,280,33.29,123,135,,22
1128,Election_Day,813,116,14.27,69,38,,9
1128,VBM,813,261,32.1,150,92,,19
1129,Election_Day,852,136,15.96,70,43,,23
1129,VBM,852,269,31.57,156,94,,19
1131,Election_Day,787,108,13.72,59,36,,13
1131,VBM,787,276,35.07,149,103,,24
1132,Election_Day,910,135,14.84,78,39,,18
1132,VBM,910,333,36.59,166,139,,28
1133,Election_Day,811,128,15.78,71,46,,11
1133,VBM,811,283,34.9,150,118,1,14
1134,Election_Day,720,142,19.72,81,54,,7
1134,VBM,720,218,30.28,104,101,,13
1135,Election_Day,495,86,17.37,40,37,,9
1135,VBM,495,184,37.17,81,89,1,13
1136,Election_Day,775,103,13.29,58,34,,11
1136,VBM,775,294,37.94,143,119,,32
1141,Election_Day,960,157,16.35,71,62,,24
1141,VBM,960,371,38.65,193,156,,22
1142,Election_Day,755,144,19.07,89,36,,19
1142,VBM,755,260,34.44,109,125,,26
1143,Election_Day,974,205,21.05,119,72,,14
1143,VBM,974,316,32.44,163,130,,23
1144,Election_Day,864,184,21.3,85,84,,15
1144,VBM,864,275,31.83,154,107,,14
1145,Election_Day,878,170,19.36,93,60,,17
1145,VBM,878,341,38.84,190,125,,26
1146,Election_Day,927,168,18.12,102,56,,10
1146,VBM,927,318,34.3,175,115,1,27
1147,Election_Day,860,176,20.47,89,70,,17
1147,VBM,860,290,33.72,156,116,,18
1148,Election_Day,900,172,19.11,93,62,,17
1148,VBM,900,280,31.11,129,132,,19
1149,Election_Day,873,192,21.99,112,62,,18
1149,VBM,873,274,31.39,139,110,,25
1151,Election_Day,0,0,0,,,,
1151,VBM,0,0,0,,,,
1152,Election_Day,826,154,18.64,76,71,,7
1152,VBM,826,280,33.9,150,114,,16
1153,Election_Day,886,163,18.4,85,67,,11
1153,VBM,886,287,32.39,157,108,,22
1154,Election_Day,0,0,0,,,,
1154,VBM,0,0,0,,,,
7001,Election_Day,647,143,22.1,81,52,,10
7001,VBM,647,209,32.3,110,80,,19
7002,Election_Day,934,177,18.95,92,66,,19
7002,VBM,934,303,32.44,165,113,,25
7003,Election_Day,850,216,25.41,108,92,,16
7003,VBM,850,341,40.12,191,134,,16
7004,Election_Day,823,196,23.82,105,70,,21
7004,VBM,823,312,37.91,162,122,,28
7005,Election_Day,810,243,30,120,96,,27
7005,VBM,810,262,32.35,111,130,1,20
7006,Election_Day,900,235,26.11,105,109,1,20
7006,VBM,900,301,33.44,146,128,,27
7007,Election_Day,938,274,29.21,132,114,2,26
7007,VBM,938,343,36.57,184,128,1,30
7008,Election_Day,819,213,26.01,109,89,,15
7008,VBM,819,357,43.59,204,120,,33
7009,Election_Day,873,178,20.39,91,65,,22
7009,VBM,873,315,36.08,168,123,,24
7011,Election_Day,990,170,17.17,102,53,,15
7011,VBM,990,215,21.72,124,70,,21
7012,Election_Day,937,251,26.79,130,99,,22
7012,VBM,937,341,36.39,185,129,1,26
7013,Election_Day,670,128,19.1,71,49,,8
7013,VBM,670,255,38.06,154,77,,24
7014,Election_Day,971,241,24.82,122,97,,22
7014,VBM,971,329,33.88,199,109,,21
7015,Election_Day,91,3,3.3,1,1,,1
7015,VBM,91,47,51.65,24,15,,8
7016,Election_Day,885,122,13.79,70,38,,14
7016,VBM,885,223,25.2,129,72,,22
7017,Election_Day,721,81,11.23,57,11,,13
7017,VBM,721,150,20.8,88,51,,11
7018,Election_Day,904,106,11.73,61,33,,12
7018,VBM,904,305,33.74,164,116,,25
7019,Election_Day,883,136,15.4,84,35,,17
7019,VBM,883,319,36.13,196,105,,18
7021,Election_Day,910,141,15.49,79,36,,26
7021,VBM,910,235,25.82,132,86,,17
7022,Election_Day,969,157,16.2,98,46,,13
7022,VBM,969,245,25.28,150,75,1,19
7023,Election_Day,878,134,15.26,85,38,,11
7023,VBM,878,253,28.82,155,79,,19
7024,Election_Day,290,21,7.24,15,5,,1
7024,VBM,290,23,7.93,16,5,,2
7025,Election_Day,460,61,13.26,33,19,,9
7025,VBM,460,82,17.83,51,21,,10
7026,Election_Day,927,108,11.65,59,35,,14
7026,VBM,927,334,36.03,154,146,,34
7027,Election_Day,823,143,17.38,87,35,,21
7027,VBM,823,242,29.4,136,86,,20
7028,Election_Day,838,146,17.42,90,42,,14
7028,VBM,838,178,21.24,113,50,,15
7029,Election_Day,853,102,11.96,67,21,,14
7029,VBM,853,149,17.47,89,48,,12
7030,Election_Day,727,80,11,46,31,,3
7030,VBM,727,234,32.19,101,117,,16
7031,Election_Day,412,39,9.47,22,13,,4
7031,VBM,412,179,43.45,113,52,,14
7032,Election_Day,857,131,15.29,81,38,,12
7032,VBM,857,232,27.07,136,70,,26
7033,Election_Day,767,150,19.56,71,54,,25
7033,VBM,767,158,20.6,106,43,,9
7034,Election_Day,875,94,10.74,62,19,,13
7034,VBM,875,143,16.34,98,30,,15
7035,Election_Day,386,71,18.39,49,18,,4
7035,VBM,386,113,29.27,71,34,,8
7036,Election_Day,862,92,10.67,45,36,1,10
7036,VBM,862,233,27.03,119,103,,11
7037,Election_Day,762,83,10.89,59,13,,11
7037,VBM,762,70,9.19,45,17,,8
7038,Election_Day,874,90,10.3,49,28,,13
7038,VBM,874,242,27.69,133,90,1,18
7039,Election_Day,764,168,21.99,93,59,,16
7039,VBM,764,194,25.39,103,73,,18
7041,Election_Day,55,3,5.45,2,,,1
7041,VBM,55,20,36.36,8,11,,1
7042,Election_Day,627,100,15.95,54,33,,13
7042,VBM,627,202,32.22,116,75,,11
7043,Election_Day,884,111,12.56,73,25,,13
7043,VBM,884,257,29.07,129,111,,17
7044,Election_Day,785,85,10.83,51,20,,14
7044,VBM,785,104,13.25,57,38,,9
7045,Election_Day,736,99,13.45,50,36,,13
7045,VBM,736,242,32.88,110,100,2,30
7046,Election_Day,416,61,14.66,35,25,,1
7046,VBM,416,139,33.41,66,63,,10
7047,Election_Day,783,98,12.52,53,37,,8
7047,VBM,783,282,36.02,140,121,,21
7048,Election_Day,793,106,13.37,68,30,,8
7048,VBM,793,210,26.48,115,72,,23
7049,Election_Day,778,105,13.5,59,33,,13
7049,VBM,778,218,28.02,97,97,,24
7051,Election_Day,839,80,9.54,49,21,,10
7051,VBM,839,297,35.4,156,120,,21
7052,Election_Day,813,126,15.5,64,48,1,13
7052,VBM,813,266,32.72,127,123,1,15
7053,Election_Day,446,40,8.97,27,11,,2
7053,VBM,446,170,38.12,91,58,,21
7054,Election_Day,949,179,18.86,98,62,1,18
7054,VBM,949,252,26.55,150,72,,30
7101,Election_Day,135,9,6.67,6,1,,2
7101,VBM,135,81,60,55,24,,2
7201,Election_Day,874,170,19.45,93,57,,20
7201,VBM,874,322,36.84,180,110,,32
7202,Election_Day,783,180,22.99,104,62,,14
7202,VBM,783,258,32.95,138,99,,21
7203,Election_Day,806,209,25.93,122,62,,25
7203,VBM,806,229,28.41,132,71,1,25
7204,Election_Day,811,155,19.11,94,46,,15
7204,VBM,811,332,40.94,187,114,,31
7205,Election_Day,826,162,19.61,94,50,,18
7205,VBM,826,288,34.87,168,101,,19
7206,Election_Day,339,89,26.25,51,28,,10
7206,VBM,339,106,31.27,56,38,,12
7207,Election_Day,584,115,19.69,70,28,,17
7207,VBM,584,191,32.71,114,58,,19
7208,Election_Day,565,117,20.71,69,32,,16
7208,VBM,565,199,35.22,93,85,,21
7209,Election_Day,529,67,12.67,39,19,,9
7209,VBM,529,288,54.44,170,100,1,17
7301,Election_Day,953,142,14.9,81,49,,12
7301,VBM,953,321,33.68,188,93,,40
7302,Election_Day,773,138,17.85,71,48,,19
7302,VBM,773,358,46.31,206,112,,40
7303,Election_Day,914,205,22.43,123,70,,12
7303,VBM,914,294,32.17,146,114,,34
7304,Election_Day,924,199,21.54,99,75,,25
7304,VBM,924,317,34.31,165,125,,27
7305,Election_Day,825,215,26.06,113,76,,26
7305,VBM,825,302,36.61,158,121,,23
7306,Election_Day,936,181,19.34,93,69,,19
7306,VBM,936,308,32.91,165,117,,26
7307,Election_Day,717,167,23.29,84,58,,25
7307,VBM,717,231,32.22,135,76,,20
