precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
1101,Election_Day,518,83,16.02,66,11,,6
1101,VBM,518,168,32.43,92,67,,9
1102,Election_Day,931,255,27.39,165,70,,20
1102,VBM,931,309,33.19,180,107,,22
1103,Election_Day,897,192,21.4,110,62,,20
1103,VBM,897,316,35.23,174,112,1,29
1104-1105,Election_Day,925,191,20.65,140,32,,19
1104-1105,VBM,925,289,31.24,194,72,1,22
1106,Election_Day,760,157,20.66,98,41,,18
1106,VBM,760,248,32.63,146,84,,18
1107,Election_Day,723,130,17.98,90,24,,16
1107,VBM,723,233,32.23,119,85,,29
1108,Election_Day,896,160,17.86,102,46,,12
1108,VBM,896,339,37.83,242,74,,23
1109,Election_Day,770,132,17.14,97,25,,10
1109,VBM,770,265,34.42,165,74,,26
1111,Election_Day,916,148,16.16,101,30,,17
1111,VBM,916,289,31.55,184,77,1,27
1112,Election_Day,701,113,16.12,74,30,1,8
1112,VBM,701,221,31.53,140,57,,24
1113,Election_Day,663,100,15.08,73,19,,8
1113,VBM,663,235,35.44,146,73,,16
1114,Election_Day,905,170,18.78,103,43,,24
1114,VBM,905,274,30.28,175,79,1,19
1115,Election_Day,848,136,16.04,89,27,,20
1115,VBM,848,289,34.08,180,81,,28
1116,Election_Day,812,148,18.23,100,29,,19
1116,VBM,812,238,29.31,148,71,,19
1117,Election_Day,817,153,18.73,94,39,,20
1117,VBM,817,244,29.87,155,73,,16
1118,Election_Day,972,176,18.11,126,38,,12
1118,VBM,972,318,32.72,204,90,,24
1119,Election_Day,719,121,16.83,83,21,1,16
1119,VBM,719,241,33.52,161,59,1,20
1121,Election_Day,642,115,17.91,70,35,,10
1121,VBM,642,219,34.11,109,97,,13
1122,Election_Day,613,105,17.13,70,24,1,10
1122,VBM,613,194,31.65,89,91,,14
1123,Election_Day,881,139,15.78,98,28,,13
1123,VBM,881,242,27.47,136,83,,23
1124,Election_Day,758,145,19.13,94,33,,18
1124,VBM,758,207,27.31,130,66,,11
1125,Election_Day,935,115,12.3,80,23,,12
1125,VBM,935,288,30.8,176,87,,25
1126,Election_Day,864,147,17.01,100,34,,13
1126,VBM,864,283,32.75,173,80,,30
1127,Election_Day,841,158,18.79,96,43,1,18
1127,VBM,841,280,33.29,160,93,,27
1128,Election_Day,813,116,14.27,75,32,,9
1128,VBM,813,261,32.1,159,85,,17
1129,Election_Day,852,136,15.96,85,26,,25
1129,VBM,852,269,31.57,169,79,,21
1131,Election_Day,787,108,13.72,69,23,,16
1131,VBM,787,276,35.07,151,103,,22
1132,Election_Day,910,135,14.84,89,31,,15
1132,VBM,910,333,36.59,195,119,,19
1133,Election_Day,811,128,15.78,79,34,,15
1133,VBM,811,283,34.9,173,91,,19
1134,Election_Day,720,142,19.72,99,36,,7
1134,VBM,720,218,30.28,115,86,,17
1135,Election_Day,495,86,17.37,49,27,,10
1135,VBM,495,184,37.17,91,78,,15
1136,Election_Day,775,103,13.29,66,24,,13
1136,VBM,775,294,37.94,155,106,,33
1141,Election_Day,960,157,16.35,93,41,,23
1141,VBM,960,371,38.65,245,98,1,27
1142,Election_Day,755,144,19.07,100,25,1,18
1142,VBM,755,260,34.44,152,75,,33
1143,Election_Day,974,205,21.05,155,38,,12
1143,VBM,974,316,32.44,217,79,1,19
1144,Election_Day,864,184,21.3,116,50,,18
1144,VBM,864,275,31.83,188,71,,16
1145,Election_Day,878,170,19.36,117,31,,22
1145,VBM,878,341,38.84,223,91,,27
1146,Election_Day,927,168,18.12,118,37,,13
1146,VBM,927,318,34.3,212,77,1,28
1147,Election_Day,860,176,20.47,114,46,2,14
1147,VBM,860,290,33.72,184,82,,24
1148,Election_Day,900,172,19.11,112,42,,18
1148,VBM,900,280,31.11,173,79,,28
1149,Election_Day,873,192,21.99,127,45,,20
1149,VBM,873,274,31.39,167,79,,28
1151,Election_Day,0,0,0,,,,
1151,VBM,0,0,0,,,,
1152,Election_Day,826,154,18.64,105,38,,11
1152,VBM,826,280,33.9,175,85,,20
