precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
1101,Election_Day,518,83,16.02,61,16,,6
1101,VBM,518,168,32.43,113,46,,9
1102,Election_Day,931,255,27.39,193,44,,18
1102,VBM,931,309,33.19,211,74,,24
1103,Election_Day,897,192,21.4,140,34,,18
1103,VBM,897,316,35.23,226,62,,28
1104-1105,Election_Day,925,191,20.65,140,30,,21
1104-1105,VBM,925,289,31.24,214,51,,24
1106,Election_Day,760,157,20.66,106,30,,21
1106,VBM,760,248,32.63,173,59,,16
1107,Election_Day,723,130,17.98,95,19,,16
1107,VBM,723,233,32.23,148,66,,19
1108,Election_Day,896,160,17.86,123,23,,14
1108,VBM,896,339,37.83,231,74,,34
1109,Election_Day,770,132,17.14,108,13,,11
1109,VBM,770,265,34.42,180,60,,25
1111,Election_Day,916,148,16.16,99,33,,16
1111,VBM,916,289,31.55,225,40,,24
1112,Election_Day,701,113,16.12,83,21,,9
1112,VBM,701,221,31.53,156,41,,24
1113,Election_Day,663,100,15.08,79,13,,8
1113,VBM,663,235,35.44,145,68,,22
1114,Election_Day,905,170,18.78,116,34,,20
1114,VBM,905,274,30.28,194,55,1,24
1115,Election_Day,848,136,16.04,99,19,,18
1115,VBM,848,289,34.08,213,45,,31
1116,Election_Day,812,148,18.23,109,20,,19
1116,VBM,812,238,29.31,168,51,1,18
1117,Election_Day,817,153,18.73,112,21,,20
1117,VBM,817,244,29.87,184,42,,18
1118,Election_Day,972,176,18.11,144,21,,11
1118,VBM,972,318,32.72,238,59,,21
1119,Election_Day,719,121,16.83,101,8,,12
1119,VBM,719,241,33.52,180,39,2,20
1121,Election_Day,642,115,17.91,80,25,,10
1121,VBM,642,219,34.11,138,60,2,19
1122,Election_Day,613,105,17.13,84,11,,10
1122,VBM,613,194,31.65,133,45,,16
1123,Election_Day,881,139,15.78,96,29,,14
1123,VBM,881,242,27.47,175,46,,21
1124,Election_Day,758,145,19.13,110,15,,20
1124,VBM,758,207,27.31,152,42,,13
1125,Election_Day,935,115,12.3,86,13,,16
1125,VBM,935,288,30.8,203,57,,28
1126,Election_Day,864,147,17.01,111,27,,9
1126,VBM,864,283,32.75,216,41,,26
1127,Election_Day,841,158,18.79,111,25,,22
1127,VBM,841,280,33.29,198,63,,19
1128,Election_Day,813,116,14.27,83,26,,7
1128,VBM,813,261,32.1,178,64,1,18
1129,Election_Day,852,136,15.96,90,23,,23
1129,VBM,852,269,31.57,189,55,,25
1131,Election_Day,787,108,13.72,78,13,,17
1131,VBM,787,276,35.07,181,69,,26
1132,Election_Day,910,135,14.84,103,17,,15
1132,VBM,910,333,36.59,213,89,1,30
1133,Election_Day,811,128,15.78,79,30,,19
1133,VBM,811,283,34.9,203,58,2,20
1134,Election_Day,720,142,19.72,108,25,,9
1134,VBM,720,218,30.28,134,68,,16
1135,Election_Day,495,86,17.37,53,24,,9
1135,VBM,495,184,37.17,114,57,,13
1136,Election_Day,775,103,13.29,74,21,,8
1136,VBM,775,294,37.94,186,70,,38
1141,Election_Day,960,157,16.35,106,28,,23
1141,VBM,960,371,38.65,286,56,,29
1142,Election_Day,755,144,19.07,108,18,,18
1142,VBM,755,260,34.44,173,50,,37
1143,Election_Day,974,205,21.05,160,28,,17
1143,VBM,974,316,32.44,236,55,1,24
1144,Election_Day,864,184,21.3,122,43,,19
1144,VBM,864,275,31.83,199,49,,27
1145,Election_Day,878,170,19.36,114,27,,29
1145,VBM,878,341,38.84,243,77,,21
1146,Election_Day,927,168,18.12,130,27,,11
1146,VBM,927,318,34.3,235,55,,28
1147,Election_Day,860,176,20.47,121,36,1,18
1147,VBM,860,290,33.72,196,67,1,26
1148,Election_Day,900,172,19.11,119,34,,19
1148,VBM,900,280,31.11,184,71,,25
1149,Election_Day,873,192,21.99,146,25,,21
1149,VBM,873,274,31.39,189,62,,23
1151,Election_Day,0,0,0,,,,
1151,VBM,0,0,0,,,,
1152,Election_Day,826,154,18.64,114,28,,12
1152,VBM,826,280,33.9,196,68,,16
1153,Election_Day,886,163,18.4,109,40,,14
1153,VBM,886,287,32.39,213,53,,21
1154,Election_Day,0,0,0,,,,
1154,VBM,0,0,0,,,,
7001,Election_Day,647,143,22.1,100,26,,17
7001,VBM,647,209,32.3,155,28,1,25
7002,Election_Day,934,177,18.95,137,22,,18
7002,VBM,934,303,32.44,212,62,1,28
7003,Election_Day,850,216,25.41,163,29,,24
7003,VBM,850,341,40.12,263,54,,24
7004,Election_Day,823,196,23.82,136,33,,27
7004,VBM,823,312,37.91,238,41,,33
7005,Election_Day,810,243,30,182,33,,28
7005,VBM,810,262,32.35,190,53,,19
7006,Election_Day,900,235,26.11,176,37,,22
7006,VBM,900,301,33.44,234,38,,29
7007,Election_Day,938,274,29.21,206,40,,28
7007,VBM,938,343,36.57,259,43,,41
7008,Election_Day,819,213,26.01,161,34,,18
7008,VBM,819,357,43.59,245,67,,45
7009,Election_Day,873,178,20.39,121,29,,28
7009,VBM,873,315,36.08,238,54,,23
7011,Election_Day,990,170,17.17,134,25,,11
7011,VBM,990,215,21.72,156,37,,22
7012,Election_Day,937,251,26.79,192,33,,26
7012,VBM,937,341,36.39,254,50,,37
7013,Election_Day,670,128,19.1,95,19,,14
7013,VBM,670,255,38.06,200,32,,23
7014,Election_Day,971,241,24.82,189,27,,25
7014,VBM,971,329,33.88,245,52,,32
7015,Election_Day,91,3,3.3,1,1,,1
7015,VBM,91,47,51.65,30,10,,7
7016,Election_Day,885,122,13.79,93,13,,16
7016,VBM,885,223,25.2,167,33,,23
7017,Election_Day,721,81,11.23,61,6,,14
7017,VBM,721,150,20.8,117,23,,10
7018,Election_Day,904,106,11.73,77,14,,15
7018,VBM,904,305,33.74,220,65,,20
7019,Election_Day,883,136,15.4,92,24,,20
7019,VBM,883,319,36.13,230,61,1,27
7021,Election_Day,910,141,15.49,90,24,,27
7021,VBM,910,235,25.82,177,37,,21
7022,Election_Day,969,157,16.2,127,18,,12
7022,VBM,969,245,25.28,190,36,,19
7023,Election_Day,878,134,15.26,101,18,,15
7023,VBM,878,253,28.82,177,48,,28
7024,Election_Day,290,21,7.24,15,4,,2
7024,VBM,290,23,7.93,20,3,,
7025,Election_Day,460,61,13.26,45,5,,11
7025,VBM,460,82,17.83,64,8,,10
7026,Election_Day,927,108,11.65,79,15,,14
7026,VBM,927,334,36.03,220,69,,45
7027,Election_Day,823,143,17.38,97,25,,21
7027,VBM,823,242,29.4,177,46,,19
7028,Election_Day,838,146,17.42,111,18,,17
7028,VBM,838,178,21.24,140,26,,12
7029,Election_Day,853,102,11.96,78,14,,10
7029,VBM,853,149,17.47,111,27,,11
7030,Election_Day,727,80,11,51,22,,7
7030,VBM,727,234,32.19,148,64,,22
7031,Election_Day,412,39,9.47,27,6,,6
7031,VBM,412,179,43.45,136,27,,16
7032,Election_Day,857,131,15.29,97,23,,11
7032,VBM,857,232,27.07,170,39,,23
