precinct,ballot_type,registered,ballots_cast,turnout,ROBERT_ORNELAS,ALAN_SPEARS,WILEY_DRAKE,JAMES_HEDGES,THOMAS_HOEFLING,ARTHUR_HARRIS,J.R._MYERS,WRITE-IN,over_votes,under_votes
1101,Election_Day,13,1,7.69,,,,,,,,1,,
1101,VBM,13,7,53.85,1,,,,1,,,2,,3
1102,Election_Day,14,5,35.71,,1,,,,1,,,,3
1102,VBM,14,5,35.71,,,1,,1,,,,,3
1103,Election_Day,11,6,54.55,,,,,,2,,,,4
1103,VBM,11,2,18.18,,,,,,,,1,,1
1104/1105,Election_Day,16,4,25,1,,,,,,,1,,2
1104/1105,VBM,16,5,31.25,,1,,1,1,,1,,,1
1106,Election_Day,14,2,14.29,,2,,,,,,,,
1106,VBM,14,4,28.57,,,,,,,,,,4
1107,Election_Day,7,3,42.86,,,,,1,,,2,,
1107,VBM,7,2,28.57,,1,,,,,,,,1
1108,Election_Day,15,5,33.33,,1,,,,,,1,,3
1108,VBM,15,6,40,,,,,1,,,4,,1
1109,Election_Day,12,5,41.67,,1,,,,,,1,,3
1109,VBM,12,4,33.33,,,,,1,,,,,3
1111,Election_Day,18,4,22.22,,,,1,,,,,,3
1111,VBM,18,3,16.67,,,,,,,,3,,
1112,Election_Day,10,4,40,,,1,,,,,2,,1
1112,VBM,10,2,20,,,,1,,,,,,1
1113,Election_Day,8,5,62.5,,,,2,,,,2,,1
1113,VBM,8,2,25,,,,,1,,,1,,
1114,Election_Day,14,2,14.29,,,,,,,,1,,1
1114,VBM,14,4,28.57,,,1,,,,,1,,2
1115,Election_Day,12,1,8.33,,,,,,,,1,,
1115,VBM,12,0,0,,,,,,,,,,
1116,Election_Day,10,3,30,,,,,,,,3,,
1116,VBM,10,1,10,,,,,,,1,,,
1117,Election_Day,17,3,17.65,1,,,,,,,1,,1
1117,VBM,17,2,11.76,,,,,1,,,,,1
1118,Election_Day,10,3,30,,1,,,,1,,,,1
1118,VBM,10,9,90,,,,,3,1,,1,1,3
1119,Election_Day,8,1,12.5,,,,,,,,1,,
1119,VBM,8,1,12.5,,,,,,,,1,,
1121,Election_Day,8,0,0,,,,,,,,,,
1121,VBM,8,5,62.5,,,,,,1,2,,,2
1122,Election_Day,11,0,0,,,,,,,,,,
1122,VBM,11,5,45.45,,1,,,,,,,,4
1123,Election_Day,13,2,15.38,,1,,,,,,1,,
1123,VBM,13,3,23.08,,,1,,1,,,1,,
1124,Election_Day,13,0,0,,,,,,,,,,
1124,VBM,13,3,23.08,,2,,,,,,1,,
1125,Election_Day,11,1,9.09,,,,,1,,,,,
1125,VBM,11,3,27.27,,,,,,,,2,,1
1126,Election_Day,15,3,20,,1,,,,,,1,,1
1126,VBM,15,12,80,,,,,,1,2,6,,3
1127,Election_Day,12,2,16.67,,,,,,,,,,2
1127,VBM,12,5,41.67,,1,,1,,,,2,,1
1128,Election_Day,13,4,30.77,,,,,,1,,1,,2
1128,VBM,13,11,84.62,1,1,1,,1,1,1,4,,1
1129,Election_Day,8,4,50,,1,,,,,,,,3
1129,VBM,8,2,25,,,,,,,,2,,
1131,Election_Day,13,2,15.38,,,,,,,1,1,,
1131,VBM,13,1,7.69,,,,,,,,,,1
1132,Election_Day,10,1,10,,,,,,,,1,,
1132,VBM,10,8,80,,2,,1,,,,2,,3
1133,Election_Day,14,4,28.57,,1,,,1,1,,,,1
1133,VBM,14,9,64.29,2,,,,,,,2,,5
1134,Election_Day,7,0,0,,,,,,,,,,
1134,VBM,7,5,71.43,1,,,,,,,1,,3
1135,Election_Day,8,0,0,,,,,,,,,,
1135,VBM,8,8,100,,,1,,,1,,2,,4
1136,Election_Day,10,3,30,,,,,,,,1,1,1
1136,VBM,10,3,30,1,,,,1,,,,,1
1141,Election_Day,15,4,26.67,,1,,,,,,,,3
1141,VBM,15,6,40,,,,,,,,1,,5
1142,Election_Day,14,4,28.57,,,,,,1,,1,,2
1142,VBM,14,4,28.57,,,1,,,,,1,,2
1143,Election_Day,21,3,14.29,,,,,,,,3,,
1143,VBM,21,3,14.29,,,,,,,,1,,2
1144,Election_Day,13,2,15.38,1,,,,1,,,,,
1144,VBM,13,6,46.15,,,,,1,,,2,,3
1145,Election_Day,9,2,22.22,,1,,,,,,1,,
1145,VBM,9,0,0,,,,,,,,,,
1146,Election_Day,15,4,26.67,2,,,,,,,,,2
1146,VBM,15,8,53.33,,,2,,,1,,3,,2
1147,Election_Day,16,1,6.25,,,,1,,,,,,
1147,VBM,16,4,25,1,,,,,,,1,,2
1148,Election_Day,8,8,100,,,1,,,,,3,,4
1148,VBM,8,6,75,,,,2,,2,,1,,1
1149,Election_Day,13,4,30.77,1,,,,,,,2,,1
1149,VBM,13,4,30.77,1,,,,,,,1,,2
1151,Election_Day,0,0,0,,,,,,,,,,
1151,VBM,0,0,0,,,,,,,,,,
1152,Election_Day,14,3,21.43,,1,,,,,,,,2
1152,VBM,14,2,14.29,,,,1,,,,1,,
1153,Election_Day,16,2,12.5,,1,,,,,,1,,
1153,VBM,16,14,87.5,,,2,,1,,,9,,2
1154,Election_Day,0,0,0,,,,,,,,,,
1154,VBM,0,0,0,,,,,,,,,,
7001,Election_Day,7,3,42.86,,1,,,,,,1,,1
7001,VBM,7,2,28.57,,,,,,,,1,,1
7002,Election_Day,15,1,6.67,,,1,,,,,,,
7002,VBM,15,2,13.33,,,,,1,,,1,,
7003,Election_Day,13,1,7.69,,,,,,,,1,,
7003,VBM,13,3,23.08,,,,,,,,1,,2
7004,Election_Day,9,1,11.11,,,,,,,,,,1
7004,VBM,9,3,33.33,,,,,,,,1,,2
7005,Election_Day,9,0,0,,,,,,,,,,
7005,VBM,9,2,22.22,,,,,,,,1,,1
7006,Election_Day,14,5,35.71,,,,,,1,,1,,3
7006,VBM,14,6,42.86,,,,,1,,1,4,,
7007,Election_Day,14,2,14.29,,,,,,,,,,2
7007,VBM,14,6,42.86,,,,,,,,4,,2
7008,Election_Day,20,4,20,1,,,,,,,,,3
7008,VBM,20,9,45,,,,,,,,6,,3
7009,Election_Day,15,4,26.67,,,,,,,1,,,3
7009,VBM,15,6,40,,,,,,,,3,,3
7011,Election_Day,10,1,10,,,,,,,,,,1
7011,VBM,10,5,50,,,,,,1,,4,,
7012,Election_Day,10,1,10,,,,,,,,,,1
7012,VBM,10,6,60,,,,,,1,,1,,4
7013,Election_Day,13,2,15.38,,,,,,,,1,,1
7013,VBM,13,4,30.77,,,,,1,,,2,,1
7014,Election_Day,14,0,0,,,,,,,,,,
7014,VBM,14,4,28.57,,,,,,,1,,,3
7015,Election_Day,6,0,0,,,,,,,,,,
7015,VBM,6,1,16.67,,,,,,,,,,1
7016,Election_Day,15,2,13.33,,1,,,,,,,,1
7016,VBM,15,4,26.67,,,,,,1,1,,,2
7017,Election_Day,8,1,12.5,,,,,,,,,,1
7017,VBM,8,3,37.5,,,,,,,,2,,1
7018,Election_Day,12,1,8.33,,,1,,,,,,,
7018,VBM,12,2,16.67,,,,,,1,,1,,
7019,Election_Day,6,1,16.67,,,,,,,,,,1
7019,VBM,6,2,33.33,,,,,,,,,,2
7021,Election_Day,12,3,25,,,,,,1,,,,2
7021,VBM,12,2,16.67,,2,,,,,,,,
7022,Election_Day,12,3,25,,,,,,1,,,,2
7022,VBM,12,5,41.67,,,2,,,,,2,,1
7023,Election_Day,13,1,7.69,,,,,,,,,,1
7023,VBM,13,3,23.08,,,,,,,,1,,2
7024,Election_Day,3,0,0,,,,,,,,,,
7024,VBM,3,0,0,,,,,,,,,,
7025,Election_Day,12,1,8.33,,,,,,,,,,1
7025,VBM,12,2,16.67,,,,,,,,1,,1
7026,Election_Day,7,1,14.29,,,,,,,,1,,
7026,VBM,7,3,42.86,,,,1,1,,,1,,
7027,Election_Day,12,2,16.67,,,1,,,,,,,1
7027,VBM,12,3,25,,,,,,,1,,,2
7028,Election_Day,15,1,6.67,,,,,,,,1,,
7028,VBM,15,2,13.33,,,,,,,,2,,
7029,Election_Day,9,0,0,,,,,,,,,,
7029,VBM,9,2,22.22,,,,,,,,,,2
7030,Election_Day,10,6,60,,1,1,,,,,,,4
7030,VBM,10,4,40,2,,,,,,,,,2
7031,Election_Day,3,0,0,,,,,,,,,,
7031,VBM,3,1,33.33,,,,,,,1,,,
7032,Election_Day,10,2,20,,,,,,,,,,2
7032,VBM,10,3,30,,,,,,,,2,,1
7033,Election_Day,12,2,16.67,,,,,,,,,,2
7033,VBM,12,2,16.67,,,,,,,,1,,1
7034,Election_Day,23,3,13.04,,,,,,1,,1,,1
7034,VBM,23,3,13.04,,,,,,1,,2,,
7035,Election_Day,5,1,20,,,,,,,,,,1
7035,VBM,5,0,0,,,,,,,,,,
7036,Election_Day,15,0,0,,,,,,,,,,
7036,VBM,15,6,40,,1,,,1,,,2,,2
7037,Election_Day,16,0,0,,,,,,,,,,
7037,VBM,16,1,6.25,,,,1,,,,,,
7038,Election_Day,9,2,22.22,,,,,1,1,,,,
7038,VBM,9,4,44.44,,,1,,1,,,,,2
7039,Election_Day,3,7,233.33,1,,,,1,,1,,,4
7039,VBM,3,3,100,,1,,,1,,,1,,
7041,Election_Day,0,0,0,,,,,,,,,,
7041,VBM,0,0,0,,,,,,,,,,
7042,Election_Day,17,4,23.53,,,,,,,,1,,3
7042,VBM,17,2,11.76,1,,,,,,,,,1
7043,Election_Day,15,4,26.67,,,,,,,,2,,2
7043,VBM,15,3,20,,,,1,,,,2,,
7044,Election_Day,15,0,0,,,,,,,,,,
7044,VBM,15,3,20,,,,,,,,1,,2
7045,Election_Day,10,3,30,1,,,,,1,,,,1
7045,VBM,10,2,20,1,,,,,,,,,1
7046,Election_Day,6,2,33.33,,1,,,,,,1,,
7046,VBM,6,2,33.33,1,,,,,,,1,,
7047,Election_Day,12,2,16.67,,,,,,,1,1,,
7047,VBM,12,5,41.67,,,1,,,,,2,,2
7048,Election_Day,8,4,50,,,,1,,,,2,,1
7048,VBM,8,2,25,,,,,,,,1,,1
7049,Election_Day,8,1,12.5,,,1,,,,,,,
7049,VBM,8,2,25,,,,,,,,1,,1
7051,Election_Day,13,3,23.08,,,,,,,,,,3
