precinct,ballot_type,registered,ballots_cast,turnout,GARY_JOHNSON,MARC_FELDMAN,RHETT_WHITE_FEATHER_SMITH,JOY_WAYMIRE,STEVE_KERBEL,JOHN_HALE,JOHN_MCAFEE,CECIL_INCE,AUSTIN_PETERSEN,DARRYL_W._PERRY,DERRICK_M._REID,"JACK_ROBINSON,_JR.",WRITE-IN,over_votes,under_votes
1101,Election_Day,1,0,0,,,,,,,,,,,,,,,
1101,VBM,1,0,0,,,,,,,,,,,,,,,
1102,Election_Day,3,1,33.33,1,,,,,,,,,,,,,,
1102,VBM,3,0,0,,,,,,,,,,,,,,,
1103,Election_Day,5,3,60,2,,,,,,,,,,,,1,,
1103,VBM,5,3,60,1,,,,,,,,1,,,,1,,
1104/1105,Election_Day,3,1,33.33,,,,,,,,,,,,,1,,
1104/1105,VBM,3,1,33.33,,,,,,,1,,,,,,,,
1106,Election_Day,4,3,75,1,,,,,,,,,,,,1,,1
1106,VBM,4,1,25,,,,,,,,,,,,,,,1
1107,Election_Day,2,0,0,,,,,,,,,,,,,,,
1107,VBM,2,0,0,,,,,,,,,,,,,,,
1108,Election_Day,2,6,300,,,,,,,,,2,,2,,1,,1
1108,VBM,2,1,50,1,,,,,,,,,,,,,,
1109,Election_Day,4,0,0,,,,,,,,,,,,,,,
1109,VBM,4,0,0,,,,,,,,,,,,,,,
1111,Election_Day,5,1,20,,,,,,,,,,,,,,,1
1111,VBM,5,3,60,1,,1,,,,1,,,,,,,,
1112,Election_Day,2,0,0,,,,,,,,,,,,,,,
1112,VBM,2,0,0,,,,,,,,,,,,,,,
1113,Election_Day,3,2,66.67,,,1,,,,,,,,,,1,,
1113,VBM,3,1,33.33,,,,,,,,,,,,,,,1
1114,Election_Day,7,1,14.29,,,,,,,,,,,,,,,1
1114,VBM,7,2,28.57,,1,,,,,,,1,,,,,,
1115,Election_Day,6,0,0,,,,,,,,,,,,,,,
1115,VBM,6,1,16.67,1,,,,,,,,,,,,,,
1116,Election_Day,4,1,25,,,,,,,1,,,,,,,,
1116,VBM,4,0,0,,,,,,,,,,,,,,,
1117,Election_Day,2,0,0,,,,,,,,,,,,,,,
1117,VBM,2,0,0,,,,,,,,,,,,,,,
1118,Election_Day,2,1,50,,,,,,,1,,,,,,,,
1118,VBM,2,1,50,,,,,,,,,,,,1,,,
1119,Election_Day,4,1,25,,,,,,,,,,,,,1,,
1119,VBM,4,1,25,,,,,,,,,,,,,1,,
1121,Election_Day,4,1,25,,,,,,,1,,,,,,,,
1121,VBM,4,1,25,,,,,,,,,,,,,,,1
1122,Election_Day,1,0,0,,,,,,,,,,,,,,,
1122,VBM,1,1,100,1,,,,,,,,,,,,,,
1123,Election_Day,3,0,0,,,,,,,,,,,,,,,
1123,VBM,3,0,0,,,,,,,,,,,,,,,
1124,Election_Day,5,1,20,1,,,,,,,,,,,,,,
1124,VBM,5,2,40,1,,,,,,1,,,,,,,,
1125,Election_Day,4,0,0,,,,,,,,,,,,,,,
1125,VBM,4,1,25,,,,,,1,,,,,,,,,
1126,Election_Day,2,1,50,1,,,,,,,,,,,,,,
1126,VBM,2,1,50,,,,,,,,,,,,,1,,
1127,Election_Day,3,0,0,,,,,,,,,,,,,,,
1127,VBM,3,0,0,,,,,,,,,,,,,,,
1128,Election_Day,4,2,50,1,,,,,,,,,,,,,,1
1128,VBM,4,1,25,1,,,,,,,,,,,,,,
1129,Election_Day,5,0,0,,,,,,,,,,,,,,,
1129,VBM,5,1,20,1,,,,,,,,,,,,,,
1131,Election_Day,1,0,0,,,,,,,,,,,,,,,
