precinct,ballot_type,registered_voters,ballots_cast,turnout,DONALD_TRUMP,BEN_CARSON,TED_CRUZ,JOHN_KASICH,JIM_GILMORE,WRITE_IN,over_votes,under_votes
1101,Election_Day,33,3,9.09,1,,1,1,,,,
1101,VBM,33,8,24.24,7,,,1,,,,
1102,Election_Day,56,11,19.64,6,,2,2,,1,,
1102,VBM,56,23,41.07,14,1,3,2,,1,,2
1103,Election_Day,74,10,13.51,4,1,1,2,,,,2
1103,VBM,74,28,37.84,13,2,5,6,,,,2
1106,Election_Day,58,10,17.24,5,,1,3,,,,1
1106,VBM,58,16,27.59,10,,2,4,,,,
1107,Election_Day,42,5,11.9,3,,,1,,,,1
1107,VBM,42,12,28.57,5,,3,4,,,,
1108,Election_Day,33,6,18.18,2,,,2,,,,2
1108,VBM,33,8,24.24,3,,1,1,,2,,1
1109,Election_Day,38,4,10.53,2,,1,,,,,1
1109,VBM,38,21,55.26,14,,3,1,1,,,2
1111,Election_Day,56,9,16.07,2,,1,,,2,,4
1111,VBM,56,20,35.71,16,,2,2,,,,
1112,Election_Day,21,5,23.81,1,3,,,1,,,
1112,VBM,21,7,33.33,2,,2,1,,1,,1
1113,Election_Day,62,7,11.29,7,,,,,,,
1113,VBM,62,21,33.87,12,1,2,3,1,,,2
1114,Election_Day,66,11,16.67,6,,,,1,1,,3
1114,VBM,66,19,28.79,14,1,1,,,,,3
1115,Election_Day,36,4,11.11,,2,,,,,,2
1115,VBM,36,9,25,4,,1,3,,,,1
1116,Election_Day,55,5,9.09,4,,1,,,,,
1116,VBM,55,17,30.91,9,,4,1,,,,3
1117,Election_Day,44,6,13.64,3,1,1,,1,,,
1117,VBM,44,10,22.73,7,1,,1,,,,1
1118,Election_Day,30,5,16.67,2,,1,,,1,,1
1118,VBM,30,4,13.33,3,,,,,1,,
1119,Election_Day,38,5,13.16,3,,,,,1,,1
1119,VBM,38,9,23.68,6,1,,,,1,,1
1121,Election_Day,53,7,13.21,5,,1,,1,,,
1121,VBM,53,18,33.96,8,,1,3,,,,6
1122,Election_Day,47,1,2.13,,,,,,,,1
1122,VBM,47,19,40.43,11,,,3,,,,5
1123,Election_Day,42,1,2.38,,,,1,,,,
1123,VBM,42,12,28.57,7,1,1,1,,2,,
1124,Election_Day,39,9,23.08,3,1,1,1,1,,,2
1124,VBM,39,13,33.33,9,,,2,1,,,1
1125,Election_Day,64,5,7.81,1,,3,,,1,,
