precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
1101,Election_Day,518,83,16.02,64,7,1,11
1101,VBM,518,168,32.43,127,27,,14
1102,Election_Day,931,255,27.39,193,34,,28
1102,VBM,931,309,33.19,226,39,,44
1103,Election_Day,897,192,21.4,135,29,,28
1103,VBM,897,316,35.23,243,31,,42
1104-1105,Election_Day,925,191,20.65,136,28,,27
1104-1105,VBM,925,289,31.24,223,25,,41
1106,Election_Day,760,157,20.66,103,25,,29
1106,VBM,760,248,32.63,174,37,,37
1107,Election_Day,723,130,17.98,99,13,,18
1107,VBM,723,233,32.23,146,43,,44
1108,Election_Day,896,160,17.86,108,31,,21
1108,VBM,896,339,37.83,246,41,,52
1109,Election_Day,770,132,17.14,89,26,1,16
1109,VBM,770,265,34.42,195,29,,41
1111,Election_Day,916,148,16.16,97,24,,27
1111,VBM,916,289,31.55,207,43,,39
1112,Election_Day,701,113,16.12,82,16,,15
1112,VBM,701,221,31.53,167,25,,29
1113,Election_Day,663,100,15.08,69,14,,17
1113,VBM,663,235,35.44,174,31,,30
1114,Election_Day,905,170,18.78,113,25,,32
1114,VBM,905,274,30.28,202,38,,34
1115,Election_Day,848,136,16.04,100,14,,22
1115,VBM,848,289,34.08,210,33,,46
1116,Election_Day,812,148,18.23,94,17,,37
1116,VBM,812,238,29.31,171,26,,41
1117,Election_Day,817,153,18.73,92,22,,39
1117,VBM,817,244,29.87,175,30,,39
1118,Election_Day,972,176,18.11,132,17,,27
1118,VBM,972,318,32.72,247,36,,35
1119,Election_Day,719,121,16.83,90,10,,21
1119,VBM,719,241,33.52,187,30,,24
1121,Election_Day,642,115,17.91,91,11,,13
1121,VBM,642,219,34.11,174,26,,19
1122,Election_Day,613,105,17.13,73,15,,17
1122,VBM,613,194,31.65,135,35,,24
1123,Election_Day,881,139,15.78,107,19,,13
1123,VBM,881,242,27.47,173,43,,26
1124,Election_Day,758,145,19.13,96,21,,28
1124,VBM,758,207,27.31,149,33,,25
1125,Election_Day,935,115,12.3,88,12,,15
1125,VBM,935,288,30.8,217,34,,37
1126,Election_Day,864,147,17.01,112,16,,19
1126,VBM,864,283,32.75,218,34,,31
1127,Election_Day,841,158,18.79,112,16,,30
1127,VBM,841,280,33.29,212,41,,27
1128,Election_Day,813,116,14.27,82,17,,17
1128,VBM,813,261,32.1,205,22,,34
1129,Election_Day,852,136,15.96,83,20,,33
1129,VBM,852,269,31.57,198,40,1,30
1131,Election_Day,787,108,13.72,67,19,,22
1131,VBM,787,276,35.07,204,40,,32
1132,Election_Day,910,135,14.84,92,18,,25
1132,VBM,910,333,36.59,238,50,,45
1133,Election_Day,811,128,15.78,85,24,,19
1133,VBM,811,283,34.9,209,42,,32
1134,Election_Day,720,142,19.72,104,26,,12
1134,VBM,720,218,30.28,170,22,,26
1135,Election_Day,495,86,17.37,67,7,,12
1135,VBM,495,184,37.17,137,28,1,18
1136,Election_Day,775,103,13.29,75,18,,10
1136,VBM,775,294,37.94,195,41,,58
1141,Election_Day,960,157,16.35,105,19,,33
1141,VBM,960,371,38.65,268,50,,53
1142,Election_Day,755,144,19.07,99,17,,28
1142,VBM,755,260,34.44,171,42,,47
1143,Election_Day,974,205,21.05,142,33,,30
1143,VBM,974,316,32.44,242,38,,36
1144,Election_Day,864,184,21.3,122,30,,32
1144,VBM,864,275,31.83,190,49,,36
1145,Election_Day,878,170,19.36,117,22,,31
1145,VBM,878,341,38.84,258,38,,45
1146,Election_Day,927,168,18.12,122,22,,24
1146,VBM,927,318,34.3,237,37,,44
1147,Election_Day,860,176,20.47,114,37,,25
1147,VBM,860,290,33.72,213,49,,28
1148,Election_Day,900,172,19.11,123,19,1,29
1148,VBM,900,280,31.11,209,39,,32
1149,Election_Day,873,192,21.99,128,35,,29
1149,VBM,873,274,31.39,198,35,,41
1151,Election_Day,0,0,0,,,,
1151,VBM,0,0,0,,,,
1152,Election_Day,826,154,18.64,112,24,,18
1152,VBM,826,280,33.9,224,32,,24
1153,Election_Day,886,163,18.4,104,34,,25
1153,VBM,886,287,32.39,213,35,,39
1154,Election_Day,0,0,0,,,,
1154,VBM,0,0,0,,,,
7001,Election_Day,647,143,22.1,110,16,,17
7001,VBM,647,209,32.3,146,25,,38
7002,Election_Day,934,177,18.95,119,23,,35
7002,VBM,934,303,32.44,220,40,,43
7003,Election_Day,850,216,25.41,166,25,,25
7003,VBM,850,341,40.12,255,51,,35
7004,Election_Day,823,196,23.82,128,26,,42
7004,VBM,823,312,37.91,206,50,,56
7005,Election_Day,810,243,30,168,26,,49
7005,VBM,810,262,32.35,193,37,,32
7006,Election_Day,900,235,26.11,173,23,,39
7006,VBM,900,301,33.44,222,42,,37
7007,Election_Day,938,274,29.21,177,42,1,54
7007,VBM,938,343,36.57,239,46,,58
7008,Election_Day,819,213,26.01,163,18,,32
7008,VBM,819,357,43.59,251,41,,65
7009,Election_Day,873,178,20.39,110,31,,37
7009,VBM,873,315,36.08,238,37,,40
7011,Election_Day,990,170,17.17,123,25,,22
7011,VBM,990,215,21.72,155,28,,32
7012,Election_Day,937,251,26.79,178,36,,37
7012,VBM,937,341,36.39,248,41,,52
7013,Election_Day,670,128,19.1,91,17,,20
7013,VBM,670,255,38.06,181,40,,34
7014,Election_Day,971,241,24.82,180,26,,35
7014,VBM,971,329,33.88,227,49,,53
7015,Election_Day,91,3,3.3,2,,,1
7015,VBM,91,47,51.65,28,8,,11
7016,Election_Day,885,122,13.79,85,15,,22
7016,VBM,885,223,25.2,155,36,,32
7017,Election_Day,721,81,11.23,53,11,1,16
7017,VBM,721,150,20.8,111,21,,18
7018,Election_Day,904,106,11.73,71,16,,19
7018,VBM,904,305,33.74,220,36,,49
7019,Election_Day,883,136,15.4,93,20,,23
7019,VBM,883,319,36.13,248,39,,32
7021,Election_Day,910,141,15.49,99,14,,28
