precinct,ballot_type,registered,ballots_cast,turnout,TROY_BODNAR,MATTHEW_DEL_CARLO,HARMEET_K._DHILLON,JASON_P._CLARK,CHRIS_CHENG,CHRISTINE_HUGHES,MASON_HARRISON,CHANTAL_ANDERSON,LAUREN_R._AMMATUNA,BARRY_A._GRAYNOR,LISA_REMMER,SARVJIT_S._RANDHAWA,WRITE-IN,over_votes,under_votes
1141,Election_Day,55,12,21.82,3,7,2,2,3,4,2,2,1,,3,3,,,100
1141,VBM,55,17,30.91,7,7,5,6,4,7,8,6,6,5,7,6,,,113
1142,Election_Day,48,6,12.5,3,3,2,2,2,2,3,2,3,4,3,1,,,36
1142,VBM,48,14,29.17,3,1,1,1,3,2,,1,,,4,2,,,136
1143,Election_Day,49,3,6.12,2,2,2,1,2,3,2,2,2,1,3,3,,,8
1143,VBM,49,11,22.45,6,5,6,7,5,6,8,6,5,3,6,6,,,52
1144,Election_Day,46,12,26.09,2,3,1,2,2,2,1,1,1,,2,2,,,113
1144,VBM,46,17,36.96,5,7,5,5,4,5,6,5,2,4,6,2,1,,130
1145,Election_Day,44,6,13.64,1,1,,,1,1,1,,,,1,1,,,59
1145,VBM,44,16,36.36,6,4,4,4,3,5,5,4,4,3,5,4,2,,123
1146,Election_Day,72,12,16.67,5,4,5,6,5,6,5,4,5,5,6,2,,,74
1146,VBM,72,19,26.39,8,6,7,11,9,6,7,5,1,7,9,5,,,128
1147,Election_Day,55,8,14.55,2,5,2,1,2,3,4,3,2,1,4,2,,,57
1147,VBM,55,19,34.55,7,6,7,7,7,8,8,8,2,7,9,7,,,126
1148,Election_Day,66,13,19.7,1,3,3,1,4,2,3,1,2,2,3,1,,,117
1148,VBM,66,20,30.3,5,6,3,4,8,2,6,5,2,4,4,3,,,168
1149,Election_Day,50,4,8,,,1,,,1,,1,1,,1,,,,39
1149,VBM,50,21,42,11,12,9,12,10,12,9,11,7,11,11,7,,,109
1151,Election_Day,0,0,0,,,,,,,,,,,,,,,
1151,VBM,0,0,0,,,,,,,,,,,,,,,
1152,Election_Day,58,8,13.79,1,5,1,1,,1,,,,,2,1,,,76
1152,VBM,58,22,37.93,10,8,8,8,10,6,7,9,6,8,8,7,3,,144
1153,Election_Day,68,15,22.06,5,6,4,4,6,5,3,5,4,4,4,5,2,,108
1153,VBM,68,26,38.24,12,12,13,12,11,13,13,11,7,10,12,11,5,,144
1154,Election_Day,0,0,0,,,,,,,,,,,,,,,
1154,VBM,0,0,0,,,,,,,,,,,,,,,
7001,Election_Day,29,3,10.34,,,1,1,2,1,,1,,1,1,,,,25
7001,VBM,29,6,20.69,1,1,1,,2,3,2,1,1,1,1,1,,,51
7002,Election_Day,49,6,12.24,1,1,1,,1,1,1,1,1,1,1,1,1,,54
7002,VBM,49,14,28.57,5,6,5,5,7,1,5,5,4,5,5,3,1,,97
7003,Election_Day,64,9,14.06,1,3,,2,1,2,1,1,2,1,1,1,,,83
7003,VBM,64,25,39.06,7,11,8,6,7,8,7,4,6,6,6,4,,,195
7004,Election_Day,45,7,15.56,1,2,2,1,2,,2,1,1,2,2,3,,,58
7004,VBM,45,18,40,4,5,3,5,7,7,7,6,4,2,5,7,,,136
7005,Election_Day,51,10,19.61,1,3,4,2,2,,2,2,1,1,1,2,,,89
7005,VBM,51,14,27.45,2,4,2,1,2,3,5,1,2,1,2,,,,129
7006,Election_Day,38,7,18.42,2,1,1,,1,1,,,,,2,,,,69
7006,VBM,38,10,26.32,2,4,1,2,1,1,4,1,1,1,2,1,1,,88
7007,Election_Day,45,4,8.89,1,,,1,,1,,,,1,1,,,,39
7007,VBM,45,18,40,1,5,3,4,4,3,3,3,,2,1,2,,,167
7008,Election_Day,59,11,18.64,5,3,5,6,5,2,4,4,2,2,4,6,,,73
7008,VBM,59,25,42.37,3,4,8,5,7,3,6,5,3,4,5,6,,,216
7009,Election_Day,35,7,20,2,3,1,2,4,2,5,3,2,1,3,3,,,46
7009,VBM,35,5,14.29,,,1,2,,,1,,,1,,1,2,,47
7011,Election_Day,32,5,15.63,1,1,,,,2,1,1,1,,2,1,,,45
7011,VBM,32,8,25,2,3,2,2,3,2,3,3,1,1,2,3,,,61
7012,Election_Day,61,9,14.75,4,7,3,3,4,5,4,4,5,3,4,1,,,52
7012,VBM,61,22,36.07,1,8,2,3,4,2,5,4,1,2,6,6,1,,197
7013,Election_Day,34,5,14.71,1,,2,1,,,,,,,,,,,51
7013,VBM,34,10,29.41,2,3,3,1,,,,1,,1,1,2,,,96
7014,Election_Day,38,4,10.53,2,2,2,2,1,3,1,1,1,2,2,,,,25
7014,VBM,38,7,18.42,,1,3,3,1,2,1,1,1,1,2,2,,,59
7015,Election_Day,8,0,0,,,,,,,,,,,,,,,
7015,VBM,8,6,75,,,,,1,2,1,2,1,,1,1,,,57
7016,Election_Day,44,0,0,,,,,,,,,,,,,,,
7016,VBM,44,10,22.73,2,3,1,1,2,1,2,1,1,1,2,1,,,92
7017,Election_Day,27,1,3.7,,,,,,,,,,,,,,,11
7017,VBM,27,7,25.93,3,2,2,5,2,1,2,1,2,1,3,3,,,50
7018,Election_Day,35,3,8.57,1,1,,,1,,1,1,,,,,,,28
7018,VBM,35,15,42.86,4,5,4,8,5,4,7,5,2,8,6,5,10,,92
7019,Election_Day,41,3,7.32,1,1,,,1,1,,,,,1,1,,,27
7019,VBM,41,15,36.59,3,5,7,7,,4,4,5,4,6,6,5,,,109
7021,Election_Day,34,0,0,,,,,,,,,,,,,,,
7021,VBM,34,14,41.18,2,2,2,3,4,1,,2,1,1,1,1,,,134
7022,Election_Day,33,1,3.03,,1,,,1,,,,,,,1,,,8
7022,VBM,33,8,24.24,3,4,3,3,3,6,4,5,5,4,3,2,1,,42
7023,Election_Day,37,2,5.41,,,1,1,,1,,,,,,,,,19
7023,VBM,37,10,27.03,2,1,3,3,1,2,2,1,1,2,2,1,11,,78
7024,Election_Day,12,2,16.67,,,,,,1,,,,,,,,,21
7024,VBM,12,0,0,,,,,,,,,,,,,,,
7025,Election_Day,20,0,0,,,,,,,,,,,,,,,
7025,VBM,20,2,10,1,1,1,1,2,1,1,1,1,1,1,,,,10
7026,Election_Day,50,2,4,1,1,1,1,1,1,1,1,1,1,1,,,,11
7026,VBM,50,18,36,6,8,4,6,7,7,7,6,5,4,7,4,,,127
7027,Election_Day,40,5,12.5,1,2,2,2,1,1,1,1,1,3,3,1,,,36
7027,VBM,40,14,35,3,7,3,4,4,5,4,4,4,6,6,5,,,99
7028,Election_Day,28,1,3.57,1,,,1,,,,,,,,,,,9
7028,VBM,28,6,21.43,2,2,2,2,1,2,2,1,2,2,3,1,,,44
7029,Election_Day,33,0,0,,,,,,,,,,,,,,,
7029,VBM,33,3,9.09,1,,,,,,,1,,,,,,,31
