precinct,ballot_type,registered_voters,ballots_cast,turnout,JOAN_LEONE,RODNEY_LEONG,KEN_LOO,ANDREW_BENTON,EDWARD_BATE,STEPHANIE_JEONG,TERENCE_FAULKNER,SARAH_L._STORELLI,RICHARD_WORNER,SCOTT_WILLIAMS,JOHN_DENNIS,JOHNNY_D._KNADLER,HILARY_W._HAGENBUCH,RUDY_ASERCION,GILBERT_GONZALES,WRITE-IN,over_votes,under_votes
1101,Election_Day,33,3,9.09,,,1,,,,,,,,,,,,,,,41
1101,VBM,33,7,21.21,,1,2,,,1,,1,,1,1,1,1,1,2,,,86
1102,Election_Day,56,11,19.64,1,2,5,3,,1,2,2,1,2,1,2,3,2,2,,,125
1102,VBM,56,23,41.07,6,7,9,5,4,6,11,3,9,6,8,5,4,3,4,1,,231
1103,Election_Day,74,10,13.51,2,1,4,2,2,1,3,3,2,3,3,2,2,2,1,1,,106
1103,VBM,74,28,37.84,7,12,10,9,5,9,15,8,7,7,6,8,10,7,8,1,,263
1104-1105,Election_Day,63,14,22.22,3,2,2,1,1,,1,3,1,3,3,2,2,2,2,,,168
1104-1105,VBM,63,18,28.57,3,7,12,9,6,3,4,6,2,11,4,6,9,7,9,,,154
1106,Election_Day,58,10,17.24,4,3,5,5,4,3,3,5,2,5,4,5,5,3,5,,,79
1106,VBM,58,16,27.59,7,6,10,9,8,8,8,10,7,8,8,8,7,5,9,3,,103
1107,Election_Day,42,5,11.9,1,1,3,1,1,1,1,2,1,1,1,2,2,1,1,,,50
1107,VBM,42,12,28.57,3,3,8,4,3,3,4,5,3,4,3,4,7,6,5,,,103
1108,Election_Day,33,6,18.18,2,1,,,,1,2,1,1,1,2,,1,1,,,,71
1108,VBM,33,8,24.24,2,2,3,1,,2,4,,3,1,2,2,2,,1,,,87
1109,Election_Day,38,4,10.53,2,1,1,1,2,,1,1,2,1,1,1,1,1,1,,,39
1109,VBM,38,21,55.26,4,6,13,2,2,4,4,2,5,2,5,3,4,3,2,2,,231
1111,Election_Day,56,9,16.07,1,1,2,,,1,1,1,1,,1,1,1,,,2,,113
1111,VBM,56,20,35.71,7,8,10,6,3,7,8,5,6,3,7,4,3,3,4,,,196
1112,Election_Day,21,5,23.81,2,1,1,2,2,3,1,2,,1,1,,2,2,3,,,47
1112,VBM,21,7,33.33,3,3,3,5,2,3,3,4,3,4,4,4,4,5,4,,,44
1113,Election_Day,62,7,11.29,2,2,3,2,1,1,2,1,2,1,2,,1,1,,,,77
1113,VBM,62,21,33.87,1,3,8,5,3,4,4,2,5,4,4,3,3,2,4,,,239
1114,Election_Day,66,11,16.67,3,2,3,2,1,3,2,2,2,3,2,1,2,,2,,,124
1114,VBM,66,18,27.27,5,5,7,6,4,4,6,4,6,4,6,6,5,4,4,,,176
1115,Election_Day,36,4,11.11,,,1,,,1,1,1,,,1,,,1,1,,,49
1115,VBM,36,9,25,2,3,3,1,1,4,2,1,1,2,2,2,1,1,2,,,98
1116,Election_Day,55,5,9.09,,,1,,1,,,1,,1,,1,2,1,1,,,61
1116,VBM,55,17,30.91,4,7,7,6,3,6,5,6,4,5,4,3,3,5,5,,,165
1117,Election_Day,44,6,13.64,,1,1,,,1,,,,1,,,1,,1,,,78
1117,VBM,44,10,22.73,5,5,4,5,3,5,3,5,3,5,4,3,2,3,4,,,81
1118,Election_Day,30,5,16.67,1,,1,,,,,,,,1,1,,,,1,,65
1118,VBM,30,4,13.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,12,,28
1119,Election_Day,38,5,13.16,,,,,,,,,,1,,,,,,1,,68
1119,VBM,38,9,23.68,1,1,4,3,2,2,2,2,3,3,2,5,3,2,6,7,,78
1121,Election_Day,53,7,13.21,1,2,5,,,3,1,2,1,1,1,1,3,1,1,,,75
1121,VBM,53,19,35.85,2,5,10,,1,5,5,1,2,5,3,2,3,1,3,,14,204
1122,Election_Day,47,1,2.13,,,,,,,,,,,,,,,,,,14
1122,VBM,47,19,40.43,6,7,9,5,5,7,7,6,6,6,9,5,5,7,5,4,,167
1123,Election_Day,42,1,2.38,,,,,1,,,,,,,,,,,,,13
1123,VBM,42,12,28.57,3,2,6,5,3,2,1,2,1,2,2,2,4,1,5,,,127
1124,Election_Day,39,9,23.08,1,1,2,2,1,1,,1,1,2,1,1,2,2,2,,,106
1124,VBM,39,12,30.77,6,6,7,6,2,6,7,4,6,5,5,5,6,7,6,,,84
1125,Election_Day,64,5,7.81,1,1,3,2,1,1,1,2,1,1,1,,,2,3,,,50
1125,VBM,64,16,25,9,8,9,7,8,6,8,7,8,7,6,10,8,7,6,,,110
1126,Election_Day,49,5,10.2,2,2,2,1,3,1,2,2,2,2,1,2,3,4,5,,,36
1126,VBM,49,11,22.45,7,6,5,7,7,6,6,7,6,7,6,7,6,6,7,,,58
1127,Election_Day,84,20,23.81,2,1,8,3,2,1,2,3,1,4,2,4,3,4,5,,,235
1127,VBM,84,25,29.76,13,7,8,5,3,9,11,11,12,4,11,4,9,3,6,,14,220
1128,Election_Day,60,5,8.33,1,1,2,1,1,1,,1,,1,,1,1,1,1,,,57
1128,VBM,60,20,33.33,7,7,11,8,8,10,8,8,10,10,9,8,6,7,7,,,156
1129,Election_Day,65,5,7.69,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,,,53
1129,VBM,65,17,26.15,4,3,7,3,2,4,3,6,2,4,5,5,4,4,5,1,,176
1131,Election_Day,64,6,9.38,1,,,,,1,1,2,,,,,,1,2,,,76
1131,VBM,64,24,37.5,10,15,13,8,7,14,14,8,15,10,14,8,7,5,9,,,179
1132,Election_Day,69,1,1.45,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,
1132,VBM,69,38,55.07,14,15,15,9,8,13,15,6,16,10,16,9,9,12,12,2,,351
1133,Election_Day,58,9,15.52,1,2,4,2,1,1,1,2,1,3,2,2,,1,3,,,100
1133,VBM,58,18,31.03,9,9,9,4,4,7,7,7,8,6,8,6,3,4,6,,,155
1134,Election_Day,51,4,7.84,1,1,2,1,1,1,1,1,1,1,2,1,1,,1,,,40
1134,VBM,51,17,33.33,1,2,7,5,2,2,3,4,1,2,2,2,3,2,5,,,195
1135,Election_Day,46,6,13.04,3,3,3,2,2,3,3,2,3,2,4,3,2,2,3,,,44
1135,VBM,46,15,32.61,3,3,8,5,3,2,6,7,5,7,5,5,6,5,4,3,,133
1136,Election_Day,75,8,10.67,1,,5,4,1,1,2,1,1,1,2,2,2,2,2,,,85
1136,VBM,75,31,41.33,9,9,14,9,6,7,9,7,7,9,9,8,6,6,7,,,312
9001,Election_Day,23,0,0,,,,,,,,,,,,,,,,,,
9001,VBM,23,3,13.04,1,1,1,2,1,1,2,2,1,1,1,1,1,1,,,,25
9101,Election_Day,97,15,15.46,5,4,7,5,3,4,5,4,4,4,7,5,6,3,4,1,,139
9101,VBM,97,45,46.39,8,12,19,10,11,12,8,6,8,11,11,8,12,10,13,2,14,455
9102,Election_Day,106,18,16.98,2,4,8,4,1,3,2,3,3,3,5,3,8,4,3,1,,195
9102,VBM,106,35,33.02,7,11,11,9,7,12,13,7,9,7,13,9,9,6,6,,,354
9103,Election_Day,83,15,18.07,3,6,7,2,2,6,5,2,4,3,5,1,2,3,2,,,157
9103,VBM,83,21,25.3,4,4,8,5,3,5,3,4,4,4,3,5,4,2,5,1,,230
9104,Election_Day,87,8,9.2,,2,3,4,1,1,3,3,2,3,2,1,4,1,2,1,,79
9104,VBM,87,32,36.78,3,11,11,5,6,8,5,2,4,3,4,7,5,3,2,,,369
9105,Election_Day,84,10,11.9,3,5,5,1,2,4,3,1,1,2,2,2,,1,1,,,107
9105,VBM,84,30,35.71,10,10,12,6,2,8,6,3,6,2,9,4,9,9,5,3,,316
9106,Election_Day,88,11,12.5,3,3,1,2,,2,3,3,1,3,1,1,2,1,2,,,126
9106,VBM,88,33,37.5,7,9,16,5,5,10,5,7,5,5,11,2,7,6,7,2,,353
9107,Election_Day,66,11,16.67,3,3,5,2,3,3,5,3,5,3,4,2,2,3,1,,,107
9107,VBM,66,19,28.79,2,6,11,3,3,6,2,1,2,5,3,3,8,2,2,,,207
9108,Election_Day,72,18,25,6,7,11,4,3,10,4,4,6,5,7,4,4,5,5,1,,166
9108,VBM,72,20,27.78,6,8,11,4,5,8,7,4,8,5,7,5,6,3,8,,,185
9109,Election_Day,63,18,28.57,2,3,6,4,2,5,5,1,3,4,5,,2,3,5,,,202
9109,VBM,63,24,38.1,9,9,14,8,8,11,6,9,8,9,8,8,9,5,8,,,207
9111,Election_Day,61,13,21.31,2,2,5,1,1,2,1,1,1,1,1,1,2,,1,,,160
9111,VBM,61,18,29.51,8,11,13,7,8,11,6,7,6,8,8,7,10,8,5,,,129
9112,Election_Day,92,19,20.65,6,7,5,3,3,8,6,4,6,4,6,4,4,4,5,,,191
9112,VBM,92,25,27.17,7,7,10,5,6,11,10,5,8,5,7,5,6,6,9,,,243
9113,Election_Day,88,19,21.59,4,3,5,2,2,2,4,2,4,3,5,3,6,2,3,,,216
9113,VBM,88,21,23.86,5,7,11,6,3,6,5,4,5,4,8,4,5,4,6,,,211
9114,Election_Day,69,8,11.59,,1,4,,,1,,,,,1,,,,,,,105
9114,VBM,69,20,28.99,7,12,11,6,7,11,9,4,8,7,8,8,5,7,3,,,167
9115,Election_Day,68,13,19.12,5,4,6,2,1,4,4,2,2,2,3,2,2,4,5,,,134
9115,VBM,68,24,35.29,1,3,13,1,,3,1,2,2,,2,2,2,,2,1,,301
9116,Election_Day,78,9,11.54,1,1,1,3,,2,1,,,,,,,,,,,117
9116,VBM,78,21,26.92,3,5,12,4,3,4,6,6,4,4,5,4,5,4,5,1,,219
9117,Election_Day,79,11,13.92,2,4,4,2,1,3,2,2,3,2,2,3,3,3,2,,,116
9117,VBM,79,24,30.38,1,2,4,3,3,2,4,2,2,5,4,3,5,1,4,,,291
9118,Election_Day,77,22,28.57,2,3,12,4,1,9,4,5,4,4,3,2,6,5,4,,,240
9118,VBM,77,20,25.97,2,4,11,4,4,4,1,4,3,3,2,4,8,3,6,1,,216
9119,Election_Day,85,8,9.41,1,1,3,3,1,1,1,1,1,1,1,1,2,2,3,,,89
