precinct,ballot_type,registered,ballots_cast,turnout,JACKIE_SPEIER,WRITE-IN,over_votes,under_votes
1101,Election_Day,518,83,16.02,66,1,,16
1101,VBM,518,169,32.63,132,3,,34
1102,Election_Day,931,255,27.39,202,5,,48
1102,VBM,931,311,33.4,238,5,,68
1103,Election_Day,897,193,21.52,152,6,,35
1103,VBM,897,320,35.67,251,3,,66
1104/1105,Election_Day,925,192,20.76,133,5,,54
1104/1105,VBM,925,292,31.57,221,2,,69
1106,Election_Day,760,159,20.92,114,2,,43
1106,VBM,760,247,32.5,180,5,,62
1107,Election_Day,723,131,18.12,105,,,26
1107,VBM,723,237,32.78,174,6,,57
1108,Election_Day,896,161,17.97,126,2,,33
1108,VBM,896,344,38.39,289,,,55
1109,Election_Day,770,135,17.53,102,1,,32
1109,VBM,770,265,34.42,175,7,,83
1111,Election_Day,916,149,16.27,111,4,,34
1111,VBM,916,292,31.88,220,5,,67
1112,Election_Day,701,114,16.26,79,3,,32
1112,VBM,701,219,31.24,167,1,,51
1113,Election_Day,663,100,15.08,78,1,,21
1113,VBM,663,239,36.05,157,5,,77
1114,Election_Day,905,170,18.78,116,1,,53
1114,VBM,905,278,30.72,212,5,,61
1115,Election_Day,848,137,16.16,107,1,,29
1115,VBM,848,288,33.96,203,4,,81
1116,Election_Day,812,148,18.23,119,3,,26
1116,VBM,812,239,29.43,197,4,,38
1117,Election_Day,817,155,18.97,112,,,43
1117,VBM,817,245,29.99,182,3,,60
1118,Election_Day,972,178,18.31,134,6,,38
1118,VBM,972,320,32.92,243,,,77
1119,Election_Day,719,122,16.97,90,2,,30
1119,VBM,719,241,33.52,193,9,,39
1121,Election_Day,642,114,17.76,78,3,,33
1121,VBM,642,219,34.11,155,2,,62
1122,Election_Day,613,105,17.13,81,1,,23
1122,VBM,613,189,30.83,134,4,,51
1123,Election_Day,881,140,15.89,105,2,,33
1123,VBM,881,244,27.7,183,5,,56
1124,Election_Day,758,149,19.66,113,2,,34
1124,VBM,758,208,27.44,156,,,52
1125,Election_Day,935,116,12.41,79,3,,34
1125,VBM,935,287,30.7,229,4,,54
1126,Election_Day,864,146,16.9,112,4,,30
1126,VBM,864,283,32.75,208,4,,71
1127,Election_Day,841,161,19.14,114,,,47
1127,VBM,841,281,33.41,212,3,,66
1128,Election_Day,813,117,14.39,78,1,,38
1128,VBM,813,265,32.6,182,3,,80
1129,Election_Day,852,136,15.96,83,2,,51
1129,VBM,852,272,31.92,211,8,,53
1131,Election_Day,787,108,13.72,70,1,,37
1131,VBM,787,277,35.2,226,7,,44
1132,Election_Day,910,135,14.84,102,,,33
1132,VBM,910,334,36.7,239,7,1,87
1133,Election_Day,811,126,15.54,90,,,36
1133,VBM,811,285,35.14,229,7,,49
1134,Election_Day,720,142,19.72,105,2,,35
1134,VBM,720,219,30.42,144,7,,68
1135,Election_Day,495,86,17.37,63,1,,22
1135,VBM,495,185,37.37,128,7,,50
1136,Election_Day,775,104,13.42,71,6,,27
1136,VBM,775,295,38.06,215,5,,75
9001,Election_Day,234,5,2.14,,,,5
9001,VBM,234,99,42.31,81,3,,15
9453,Election_Day,454,90,19.82,68,2,,20
9453,VBM,454,170,37.44,124,4,,42
9712,Election_Day,621,150,24.15,123,1,,26
9712,VBM,621,259,41.71,208,3,,48
9714,Election_Day,898,187,20.82,145,2,,40
9714,VBM,898,378,42.09,290,7,,81
9715,Election_Day,557,175,31.42,134,1,,40
9715,VBM,557,192,34.47,154,4,,34
9718,Election_Day,819,195,23.81,151,4,,40
9718,VBM,819,358,43.71,277,5,,76
9719,Election_Day,852,219,25.7,172,5,,42
9719,VBM,852,350,41.08,272,6,,72
9721,Election_Day,628,176,28.03,140,4,,32
9721,VBM,628,231,36.78,173,8,,50
9722,Election_Day,608,109,17.93,76,2,,31
9722,VBM,608,266,43.75,200,7,,59
9723,Election_Day,435,60,13.79,40,1,,19
9723,VBM,435,200,45.98,150,5,,45
9724,Election_Day,903,161,17.83,120,2,,39
9724,VBM,903,355,39.31,236,15,,104
9725,Election_Day,937,156,16.65,107,5,,44
9725,VBM,937,338,36.07,244,5,,89
9726,Election_Day,676,134,19.82,103,1,,30
9726,VBM,676,180,26.63,141,8,,31
9727,Election_Day,419,71,16.95,55,1,,15
9727,VBM,419,185,44.15,138,5,,42
9728,Election_Day,899,192,21.36,136,4,,52
9728,VBM,899,365,40.6,273,4,,88
9729,Election_Day,766,155,20.23,120,,,35
9729,VBM,766,321,41.91,246,7,,68
9731,Election_Day,506,148,29.25,111,4,,33
9731,VBM,506,184,36.36,125,2,,57
9733,Election_Day,209,5,2.39,2,,,3
9733,VBM,209,146,69.86,117,2,,27
9734,Election_Day,580,133,22.93,101,3,,29
9734,VBM,580,241,41.55,170,5,,66
9735,Election_Day,763,157,20.58,124,2,,31
9735,VBM,763,332,43.51,254,5,,73
9736,Election_Day,687,156,22.71,120,7,,29
9736,VBM,687,291,42.36,235,3,,53
9737,Election_Day,756,177,23.41,133,4,,40
9737,VBM,756,353,46.69,278,4,,71
9738,Election_Day,769,167,21.72,122,6,,39
9738,VBM,769,245,31.86,186,2,,57
9739,Election_Day,806,168,20.84,123,2,,43
9739,VBM,806,207,25.68,169,4,,34
9741,Election_Day,765,53,6.93,39,3,,11
9741,VBM,765,51,6.67,40,1,,10
9742,Election_Day,603,121,20.07,88,2,,31
9742,VBM,603,184,30.51,138,4,,42
9743,Election_Day,986,222,22.52,169,3,,50
9743,VBM,986,329,33.37,257,4,,68
9744,Election_Day,877,194,22.12,136,3,,55
9744,VBM,877,227,25.88,172,8,,47
9745,Election_Day,969,189,19.5,139,3,,47
9745,VBM,969,236,24.36,189,2,,45
9746,Election_Day,872,202,23.17,146,6,,50
9746,VBM,872,334,38.3,272,4,,58
9747,Election_Day,917,215,23.45,167,2,,46
9747,VBM,917,340,37.08,258,5,,77
9748,Election_Day,937,195,20.81,150,4,,41
9748,VBM,937,345,36.82,271,5,1,68
9749,Election_Day,865,173,20,119,5,,49
9749,VBM,865,241,27.86,188,2,1,50
9751,Election_Day,929,197,21.21,149,4,,44
9751,VBM,929,375,40.37,293,12,,70
9752,Election_Day,704,164,23.3,119,6,,39
9752,VBM,704,302,42.9,236,7,,59
9753,Election_Day,727,148,20.36,117,2,,29
9753,VBM,727,283,38.93,222,4,,57
9754,Election_Day,695,171,24.6,142,1,,28
9754,VBM,695,276,39.71,239,4,,33
9755,Election_Day,578,136,23.53,109,1,,26
9755,VBM,578,221,38.24,169,9,,43
9756,Election_Day,867,161,18.57,118,2,,41
9756,VBM,867,300,34.6,214,8,,78
9801,Election_Day,426,87,20.42,62,4,,21
9801,VBM,426,147,34.51,109,5,,33
9901,Election_Day,0,0,0,,,,
9901,VBM,0,0,0,,,,
9902,Election_Day,0,0,0,,,,
9902,VBM,0,0,0,,,,
