precinct,ballot_type,registered,ballots_cast,turnout,PHIL_TING,CARLOS_''CHUCK''_TAYLOR,WRITE-IN,over_votes,under_votes
1101,Election_Day,518,83,16.02,57,9,1,,16
1101,VBM,518,169,32.63,128,24,1,,16
1102,Election_Day,931,255,27.39,188,30,1,,36
1102,VBM,931,311,33.4,229,45,1,,36
1103,Election_Day,897,193,21.52,128,20,2,,43
1103,VBM,897,320,35.67,230,50,1,,39
1104/1105,Election_Day,925,192,20.76,119,26,4,,43
1104/1105,VBM,925,292,31.57,218,35,2,,37
1106,Election_Day,760,159,20.92,109,12,4,,34
1106,VBM,760,247,32.5,171,45,2,,29
1107,Election_Day,723,131,18.12,94,10,2,,25
1107,VBM,723,237,32.78,169,36,3,,29
1108,Election_Day,896,161,17.97,119,18,,,24
1108,VBM,896,344,38.39,266,32,,,46
1109,Election_Day,770,135,17.53,88,18,2,,27
1109,VBM,770,265,34.42,190,30,2,,43
1111,Election_Day,916,149,16.27,94,26,3,,26
1111,VBM,916,292,31.88,219,44,2,,27
1112,Election_Day,701,114,16.26,69,13,3,,29
1112,VBM,701,219,31.24,179,12,1,,27
1113,Election_Day,663,100,15.08,71,12,1,1,15
1113,VBM,663,239,36.05,166,39,1,,33
1114,Election_Day,905,170,18.78,102,21,1,,46
1114,VBM,905,278,30.72,194,48,,,36
1115,Election_Day,848,137,16.16,89,21,1,,26
1115,VBM,848,288,33.96,211,26,1,1,49
1116,Election_Day,812,148,18.23,108,11,2,,27
1116,VBM,812,239,29.43,188,28,,,23
1117,Election_Day,817,155,18.97,90,25,,,40
1117,VBM,817,245,29.99,172,39,1,,33
1118,Election_Day,972,178,18.31,121,17,5,,35
1118,VBM,972,320,32.92,235,42,3,1,39
1119,Election_Day,719,122,16.97,78,15,,,29
1119,VBM,719,241,33.52,186,28,3,1,23
1121,Election_Day,642,114,17.76,77,18,,,19
1121,VBM,642,219,34.11,160,29,,,30
1122,Election_Day,613,105,17.13,71,13,1,,20
1122,VBM,613,189,30.83,145,26,1,,17
1123,Election_Day,881,140,15.89,98,11,3,,28
1123,VBM,881,244,27.7,187,31,3,,23
1124,Election_Day,758,149,19.66,101,16,1,,31
1124,VBM,758,208,27.44,152,20,3,1,32
1125,Election_Day,935,116,12.41,69,15,1,,31
1125,VBM,935,287,30.7,215,34,2,,36
1126,Election_Day,864,146,16.9,102,23,2,,19
1126,VBM,864,283,32.75,221,27,2,,33
1127,Election_Day,841,161,19.14,92,32,3,,34
1127,VBM,841,281,33.41,197,41,4,,39
1128,Election_Day,813,117,14.39,76,18,,,23
1128,VBM,813,265,32.6,185,45,1,,34
1129,Election_Day,852,136,15.96,74,21,,,41
1129,VBM,852,272,31.92,198,45,2,,27
1131,Election_Day,787,108,13.72,61,17,1,,29
