precinct,ballot_type,registered_voters,ballots_cast,turnout,GEORGE_C_YANG,JERRY_J_LAWS,GAIL_K_LIGHTFOOT,MIKE_BEITIKS,PAMELA_ELIZONDO,SCOTT_A_VINEBERG,STEVE_STOKES,DUF_SUNDHEIM,LING_LING_SHI,LORETTA_L_SANCHEZ,PHIL_WYMAN,JARRELL_WILLIAMSON,THOMAS_G_DEL_BECCARO,RON_UNZ,GREG_CONLON,JASON_KRAUS,DON_KRAMPE,MARK_MATTHEW_HERD,VON_HOUGO,JASON_HANANIA,KAMALA_D_HARRIS,GAR_MYERS,PAUL_MERRITT,MASSIE_MUNROE,ELEANOR_GARCÍA,TIM_GILDERSLEEVE,CLIVE_GREY,DON_J_GRUNDMANN,PRESIDENT_CRISTINA_GRAPPO,HERBERT_G_PETERS,TOM_PALZER,JOHN_THOMPSON_PARKER,KAREN_ROSEBERRY,EMORY_RODGERS,WRITE-IN,over_votes,under_votes
1101,Election_Day,518,83,16.02,,,,,1,,,1,2,6,1,,,,,1,,,1,2,53,,,,1,,,,1,,,1,,1,1,,10
1101,VBM,518,169,32.63,6,,4,,,,2,1,2,17,1,,1,,4,,,2,3,,91,,,,,1,,,2,1,4,,1,1,1,5,19
1102,Election_Day,931,255,27.39,2,,3,1,3,,3,,,48,2,,2,1,,,3,,3,1,137,,2,6,5,,1,,,,1,1,3,1,,,26
1102,VBM,931,311,33.4,4,2,3,,2,,,5,1,33,1,,2,,5,,,1,6,1,182,2,1,3,2,2,3,,1,1,3,2,2,2,,3,36
1103,Election_Day,897,193,21.52,1,,3,,1,1,3,2,,26,2,,2,,,,,,2,1,108,,,1,4,,1,,6,,1,1,1,,2,1,23
1103,VBM,897,320,35.67,7,9,,1,6,5,1,3,1,37,3,,3,,4,,1,1,5,3,179,,,5,2,,,1,4,2,2,3,,2,,1,29
1104-1105,Election_Day,925,192,20.76,2,,1,1,4,1,3,,1,22,1,1,1,,2,,1,,1,2,101,1,,5,4,,,,2,,1,1,2,1,1,1,28
1104-1105,VBM,925,292,31.57,5,1,6,,4,,3,4,5,27,4,1,,1,4,,,,3,,172,,1,2,7,,1,1,1,2,2,1,1,,1,4,28
1106,Election_Day,760,159,20.92,1,,1,,3,1,2,1,,12,,,1,,,,,1,2,1,90,,1,2,2,1,,,3,1,1,,,,4,,28
1106,VBM,760,247,32.5,11,,1,2,,,3,8,3,19,,,,5,2,,,1,6,1,129,,3,2,,,,,4,,3,4,3,,1,4,32
1107,Election_Day,723,131,18.12,,1,2,1,1,,,1,1,11,,,,,1,,,1,4,,86,,1,1,3,,,,1,,1,1,1,,,,12
1107,VBM,723,237,32.78,6,,2,2,1,3,2,1,2,23,1,,2,1,3,,,1,2,1,137,,2,1,,,,1,1,1,1,3,3,,3,2,29
1108,Election_Day,896,161,17.97,,,2,1,2,,1,1,,13,2,1,,1,,,1,,1,,101,,3,3,1,,,1,1,1,,,1,,,3,20
1108,VBM,896,344,38.39,6,,5,3,3,,4,2,5,17,1,,,,1,,,3,6,3,235,,,1,1,,,,1,3,1,3,3,,,3,34
1109,Election_Day,770,135,17.53,,,1,1,3,,1,,,13,,,2,,1,,1,1,1,,76,,,3,,,,,1,1,1,1,,1,1,2,23
1109,VBM,770,265,34.42,22,1,6,,1,2,1,5,5,13,1,,,7,,,,,4,2,140,,,4,5,1,,,2,2,1,2,,,1,6,31
1111,Election_Day,916,149,16.27,2,,,1,4,2,2,1,2,20,1,,,,1,,,,,,72,,,2,4,,,,1,1,,3,1,,2,1,26
1111,VBM,916,292,31.88,16,,,,7,,7,3,11,29,2,,4,1,7,,1,1,3,,143,,,6,,2,,,2,1,1,1,2,,1,1,40
1112,Election_Day,701,114,16.26,2,,3,,1,,3,,1,9,,,,,,1,,,,2,62,2,,1,1,,,,4,,,,2,,1,4,15
1112,VBM,701,219,31.24,11,,1,1,1,,5,,8,18,,1,,,,,,,2,3,111,,1,5,2,,2,1,1,2,,1,2,,1,9,30
1113,Election_Day,663,100,15.08,2,,,,3,,,2,,12,,,1,,,,,1,1,,54,,2,3,,,,,,,1,2,1,,2,2,11
1113,VBM,663,239,36.05,15,2,,,2,1,2,6,8,19,3,,4,1,2,,,,4,,102,,4,1,4,,1,,4,,2,5,1,,1,11,34
1114,Election_Day,905,170,18.78,5,,1,2,2,,4,1,,17,,,1,,,,,,2,1,87,,1,4,2,1,,,1,1,,1,2,,1,8,25
1114,VBM,905,278,30.72,9,3,2,1,2,,3,1,4,33,1,1,1,,12,,,1,1,4,130,1,,3,5,3,4,1,2,2,2,3,1,6,3,5,28
1115,Election_Day,848,137,16.16,1,,,,6,,3,,,15,,,,,1,,,3,1,1,69,,1,3,3,1,2,,,1,1,1,2,,1,,21
1115,VBM,848,288,33.96,15,,3,1,5,1,1,3,7,32,,,1,,2,,2,1,6,3,131,,,7,6,,,,1,1,3,2,1,1,1,9,42
1116,Election_Day,812,148,18.23,,,,1,3,2,1,,,9,2,1,,,,1,,1,1,,93,,1,5,1,,,,4,6,,1,,1,,,14
1116,VBM,812,239,29.43,9,,,1,8,1,1,1,2,23,,,,2,1,,1,1,2,,141,1,3,3,,1,,1,,3,1,,,,,9,23
1117,Election_Day,817,155,18.97,1,,3,1,2,,,,,17,,,,,1,,,,4,,87,,1,2,3,,,,2,2,1,4,1,,1,2,20
1117,VBM,817,245,29.99,8,,1,,1,1,3,1,6,21,,,2,,1,,,,4,2,136,,1,4,2,,,,,,2,2,6,,1,2,38
1118,Election_Day,972,178,18.31,2,1,1,,3,2,5,,,30,1,,1,,,,1,2,,1,97,,,5,1,,,,3,2,,2,,,1,,17
1118,VBM,972,320,32.92,14,1,1,,4,1,1,5,2,26,2,,2,,5,,1,,7,4,189,1,1,3,2,,1,,4,1,2,1,2,,,2,35
1119,Election_Day,719,122,16.97,,,1,,2,1,2,,,11,,1,2,,,,,2,1,2,83,,1,1,1,,,,1,,,,,,1,1,8
1119,VBM,719,241,33.52,4,,1,1,,2,1,,4,32,,2,1,,3,,,,2,1,133,1,3,3,1,,2,,1,2,1,2,6,,2,8,22
1121,Election_Day,642,114,17.76,1,,,1,2,1,3,,,18,1,,,1,,,1,,3,2,59,,2,1,1,,,,1,1,1,,1,2,1,,10
1121,VBM,642,219,34.11,8,1,,,3,3,2,3,5,26,,3,1,1,3,,,1,1,3,100,,1,1,2,,,1,3,1,,1,1,,2,4,38
1122,Election_Day,613,105,17.13,,,,,,,1,,,14,1,,2,,1,,1,2,,,56,,,2,,,2,,3,,1,1,,1,,,17
1122,VBM,613,189,30.83,18,1,4,,,,2,4,5,25,1,,,,2,,1,,,1,91,,1,1,,,,,2,1,,3,1,1,1,1,22
1123,Election_Day,881,140,15.89,1,,,,1,,5,,,19,,,,,,,,1,2,1,76,,1,7,3,,,,1,1,,2,,,,4,15
