precinct,ballot_type,registered,ballots_cast,turnout,MATTHEW_DEL_CARLO,DAVID_CHIU,WRITE-IN,over_votes,under_votes
1141,Election_Day,960,159,16.56,21,109,4,,25
1141,VBM,960,372,38.75,45,286,5,,36
1142,Election_Day,755,149,19.74,13,108,2,,26
1142,VBM,755,259,34.3,41,180,1,,37
1143,Election_Day,974,207,21.25,22,147,1,,37
1143,VBM,974,316,32.44,53,222,4,,37
1144,Election_Day,864,186,21.53,32,115,3,,36
1144,VBM,864,276,31.94,35,211,1,,29
1145,Election_Day,878,169,19.25,10,117,3,,39
1145,VBM,878,345,39.29,45,255,1,1,43
1146,Election_Day,927,168,18.12,26,104,5,,33
1146,VBM,927,323,34.84,40,241,,,42
1147,Election_Day,860,178,20.7,21,122,6,,29
1147,VBM,860,290,33.72,43,211,4,,32
1148,Election_Day,900,171,19,25,111,,,35
1148,VBM,900,284,31.56,47,205,1,2,29
1149,Election_Day,873,191,21.88,22,132,4,,33
1149,VBM,873,274,31.39,35,195,2,,42
1151,Election_Day,0,0,0,,,,,
1151,VBM,0,0,0,,,,,
1152,Election_Day,826,156,18.89,29,104,1,,22
1152,VBM,826,279,33.78,46,208,1,,24
1153,Election_Day,886,161,18.17,24,101,2,1,33
1153,VBM,886,293,33.07,57,201,1,,34
1154,Election_Day,0,0,0,,,,,
1154,VBM,0,0,0,,,,,
7001,Election_Day,647,143,22.1,8,104,2,,29
7001,VBM,647,214,33.08,18,164,1,,31
7002,Election_Day,934,177,18.95,13,126,4,,34
7002,VBM,934,308,32.98,27,229,2,,50
7003,Election_Day,850,216,25.41,23,152,2,,39
7003,VBM,850,347,40.82,40,258,,,49
7004,Election_Day,823,197,23.94,11,142,3,,41
7004,VBM,823,313,38.03,21,247,3,,42
7005,Election_Day,810,242,29.88,21,163,3,,55
7005,VBM,810,261,32.22,23,195,,,43
7006,Election_Day,900,237,26.33,22,147,3,,65
7006,VBM,900,299,33.22,34,222,2,,41
7007,Election_Day,938,274,29.21,12,205,3,,54
7007,VBM,938,347,36.99,28,276,,,43
7008,Election_Day,819,216,26.37,17,166,1,,32
7008,VBM,819,364,44.44,31,284,,,49
7009,Election_Day,873,178,20.39,34,103,2,,39
7009,VBM,873,319,36.54,17,267,,,35
7011,Election_Day,990,172,17.37,18,118,6,,30
7011,VBM,990,215,21.72,17,165,1,,32
7012,Election_Day,937,252,26.89,20,183,1,,48
7012,VBM,937,348,37.14,27,271,3,1,46
7013,Election_Day,670,128,19.1,10,94,3,,21
7013,VBM,670,263,39.25,20,201,,1,41
7014,Election_Day,971,245,25.23,15,174,3,,53
7014,VBM,971,333,34.29,15,273,2,,43
7015,Election_Day,91,2,2.2,,2,,,
7015,VBM,91,47,51.65,4,34,1,,8
7016,Election_Day,885,122,13.79,18,84,,,20
7016,VBM,885,226,25.54,25,166,,,35
7017,Election_Day,721,81,11.23,9,59,1,,12
7017,VBM,721,149,20.67,22,108,1,,18
7018,Election_Day,904,105,11.62,8,72,2,,23
7018,VBM,904,305,33.74,27,239,2,,37
7019,Election_Day,883,136,15.4,10,98,3,1,24
7019,VBM,883,319,36.13,35,256,3,,25
7021,Election_Day,910,146,16.04,9,93,1,,43
7021,VBM,910,230,25.27,27,173,2,,28
7022,Election_Day,969,158,16.31,8,128,1,,21
7022,VBM,969,247,25.49,27,195,3,,22
7023,Election_Day,878,136,15.49,13,99,2,,22
7023,VBM,878,254,28.93,16,196,,,42
7024,Election_Day,290,20,6.9,2,13,,,5
7024,VBM,290,23,7.93,5,17,,,1
7025,Election_Day,460,59,12.83,4,39,,,16
7025,VBM,460,84,18.26,2,70,,,12
7026,Election_Day,927,110,11.87,8,80,,,22
7026,VBM,927,337,36.35,53,241,1,1,41
7027,Election_Day,823,145,17.62,17,97,4,,27
7027,VBM,823,243,29.53,26,188,1,1,27
7028,Election_Day,838,145,17.3,13,107,3,,22
7028,VBM,838,178,21.24,15,141,1,,21
7029,Election_Day,853,102,11.96,9,74,1,,18
7029,VBM,853,152,17.82,16,120,,,16
7030,Election_Day,727,79,10.87,13,59,,,7
7030,VBM,727,236,32.46,30,173,,,33
7031,Election_Day,412,39,9.47,4,30,,,5
7031,VBM,412,179,43.45,23,138,1,,17
7032,Election_Day,857,132,15.4,13,87,4,,28
7032,VBM,857,229,26.72,31,174,2,,22
7033,Election_Day,767,150,19.56,23,89,3,,35
7033,VBM,767,159,20.73,12,124,2,,21
