precinct,ballot_type,registered_voters,ballots_cast,turnout,KEITH_JUDD,MICHAEL_STEINBERG,BERNIE_SANDERS,WILLIE_WILSON,ROQUE_DE_LA_FUENTE,HILLARY_CLINTON,HENRY_HEWES,WRITE_IN,over_votes,under_votes
1101,Election_Day,297,65,21.89,,,32,,,32,,,,1
1101,VBM,297,84,28.28,,,34,3,,46,,,,1
1102,Election_Day,555,198,35.68,,,97,,,101,,,,
1102,VBM,555,143,25.77,,,54,,,83,1,1,,4
1103,Election_Day,536,138,25.75,,,59,,,77,1,,,1
1103,VBM,536,175,32.65,,1,65,,1,98,,4,,6
1104,Election_Day,515,137,26.60,,,66,,,68,,,,3
1104,VBM,515,130,25.24,,,49,1,,79,,,,1
1106,Election_Day,426,109,25.59,,,69,2,,36,,,,2
1106,VBM,426,113,26.53,,,32,,,76,1,,,4
1107,Election_Day,432,93,21.53,,,58,,,34,,,,1
1107,VBM,432,124,28.70,,,57,,,64,,1,,2
1108,Election_Day,574,133,23.17,,,70,,,63,,,,
1108,VBM,574,163,28.40,,1,54,,,107,,,,1
1109,Election_Day,436,97,22.25,1,,42,,1,53,,,,
1109,VBM,436,115,26.38,,,55,,,58,1,,,1
1111,Election_Day,490,106,21.63,,,46,,1,59,,,,
1111,VBM,490,144,29.39,,,68,1,,73,,,,2
1112,Election_Day,353,81,22.95,,,34,1,1,42,2,,,1
1112,VBM,353,98,27.76,,,39,,,58,,,,1
1113,Election_Day,314,69,21.97,,1,40,,,26,1,,,1
1113,VBM,314,100,31.85,,1,36,,2,59,,,1,1
1114,Election_Day,516,120,23.26,1,,48,,,65,1,1,,4
1114,VBM,516,136,26.36,,,48,1,1,83,,3,,
1115,Election_Day,462,110,23.81,,,57,2,,50,,,,1
1115,VBM,462,135,29.22,,1,55,,,73,,,,6
1116,VBM,486,118,24.28,,,39,1,1,76,,1,,
1117,Election_Day,504,127,25.20,,,66,,,60,,,,1
1117,VBM,504,122,24.21,,1,36,,,81,,2,,2
1118,Election_Day,563,134,23.80,,,85,,2,44,1,,,2
1118,VBM,563,136,24.16,,,49,,,85,,1,,1
1119,Election_Day,422,86,20.38,,,50,,,35,,,,1
1119,VBM,422,106,25.12,,,39,,,60,,5,,2
1121,Election_Day,348,88,25.29,,,58,,,29,,1,,
1121,VBM,348,97,27.87,,,42,,,53,,,,2
1122,Election_Day,280,77,27.50,,,36,,,40,,,,1
1122,VBM,280,70,25.00,,1,24,,,40,,,,5
1123,Election_Day,491,102,20.77,,1,54,,1,45,,,1,
1123,VBM,491,110,22.40,,1,42,1,1,65,,,,
1124,Election_Day,418,90,21.53,,1,44,,,45,,,,
1124,VBM,418,76,18.18,,,18,,1,56,1,,,
1125,Election_Day,537,81,15.08,,,54,,,26,1,,,
1125,VBM,537,140,26.07,,,35,,1,95,1,2,,6
1126,Election_Day,479,116,24.22,,,45,,1,69,,,,1
1126,VBM,479,130,27.14,,,32,,,96,,,,2
1127,Election_Day,469,109,23.24,,,53,,,55,,,,1
1127,VBM,469,100,21.32,,,42,,,56,,,1,1
1128,Election_Day,413,90,21.79,,,45,,,45,,,,
1128,VBM,413,107,25.91,,,45,,,58,1,,,3
1129,Election_Day,453,98,21.63,,,49,,,46,,2,,1
1129,VBM,453,131,28.92,1,1,42,,,83,,2,,2
1131,Election_Day,418,73,17.46,,,38,,,35,,,,
1131,VBM,418,134,32.06,,,31,,,97,,,1,5
1132,Election_Day,458,108,23.58,,,49,,1,56,,2,,
1132,VBM,458,151,32.97,,,39,,1,101,1,1,1,7
1133,Election_Day,483,87,18.01,,,43,,,44,,,,
1133,VBM,483,141,29.19,,,60,,,78,,,,3
1134,VBM,398,93,23.37,,1,34,,3,50,1,1,,3
1135,Election_Day,268,71,26.49,,,27,,,42,,2,,
1135,VBM,268,82,30.60,,,25,,,55,,1,,1
1136,Election_Day,423,66,15.60,,,40,,1,24,,,,1
1136,VBM,423,147,34.75,,,47,1,1,96,1,1,,
1141,Election_Day,542,112,20.66,,,59,,,53,,,,
1141,VBM,542,162,29.89,,,59,2,,95,1,,,5
1142,Election_Day,433,106,24.48,,,49,,,57,,,,
1142,VBM,433,97,22.40,,,51,,,44,,,,2
1143,Election_Day,550,163,29.64,,,96,,,67,,,,
1143,VBM,550,152,27.64,,4,58,,,83,,1,1,5
1144,Election_Day,502,131,26.10,,,67,,,62,,1,,1
1144,VBM,502,127,25.30,,,56,,,71,,,,
1145,Election_Day,544,129,23.71,,,73,,,55,,,,1
1145,VBM,544,185,34.01,,,65,,,113,1,1,,5
1146,Election_Day,487,119,24.44,,1,66,,,52,,,,
1146,VBM,487,168,34.50,,,66,1,,99,,,,2
1147,Election_Day,487,129,26.49,,,72,,,55,,,,2
1147,VBM,487,123,25.26,,,51,,,69,,,,3
1148,Election_Day,486,116,23.87,,,62,,1,52,,,,1
1148,VBM,486,126,25.93,,,53,1,1,68,,1,,2
1149,Election_Day,519,152,29.29,,,88,,,64,,,,
1149,VBM,519,112,21.58,,,45,1,,64,1,,,1
1151,Election_Day,0,0,0.00,,,,,,,,,,
1151,VBM,0,0,0.00,,,,,,,,,,
1152,Election_Day,442,109,24.66,,,54,,,50,,,1,4
1152,VBM,442,121,27.38,,1,33,3,,81,2,,1,
1153,Election_Day,483,110,22.77,,,59,,,49,,,,2
1153,VBM,483,117,24.22,1,,47,,,64,1,,,4
1154,Election_Day,0,0,0.00,,,,,,,,,,
1154,VBM,0,0,0.00,,,,,,,,,,
7001,VBM,391,104,26.60,,,42,,,62,,,,
7002,Election_Day,530,132,24.91,,,79,,,53,,,,
7002,VBM,530,142,26.79,,,54,,,87,,,,1
7003,Election_Day,529,174,32.89,,,89,,,85,,,,
7003,VBM,529,170,32.14,,,63,,,104,,,,3
7004,Election_Day,524,153,29.20,,,65,,,88,,,,
7004,VBM,524,145,27.67,,,51,,,92,,1,,1
7005,Election_Day,520,199,38.27,,,76,,1,119,1,,,2
7005,VBM,520,131,25.19,,,49,,,81,,,,1
7006,Election_Day,548,184,33.58,,,125,,,58,,1,,
7006,VBM,548,125,22.81,,,70,,,51,,1,,3
7007,Election_Day,604,228,37.75,,,124,,,103,,1,,
7007,VBM,604,170,28.15,,1,65,,,103,,,,1
7008,Election_Day,519,176,33.91,,,71,,1,104,,,,
7008,VBM,519,175,33.72,,,55,,1,119,,,,
7009,Election_Day,550,138,25.09,,,89,,,48,,,,1
7009,VBM,550,152,27.64,,,54,,,96,,,,2
7011,Election_Day,671,111,16.54,,,57,,,52,,,1,1
7011,VBM,671,107,15.95,,,29,,,78,,,,
7012,Election_Day,639,189,29.58,,,88,,,101,,,,
7012,VBM,639,165,25.82,,,65,,,99,,,,1
7013,Election_Day,408,102,25.00,,,50,,1,51,,,,
7013,VBM,408,123,30.15,,,54,,,69,,,,
7014,Election_Day,588,201,34.18,,,90,,,107,1,,,3
7014,VBM,588,163,27.72,,,63,,,99,,,,1
7015,Election_Day,52,0,0.00,,,,,,,,,,
7015,VBM,52,20,38.46,,,12,1,,7,,,,
7016,Election_Day,527,89,16.89,,,50,,,39,,,,
7016,VBM,527,87,16.51,,,25,,,58,,1,,3
7017,Election_Day,501,47,9.38,,,22,1,,23,,,,1
7017,VBM,501,72,14.37,,,23,,,48,,,1,
7018,VBM,499,131,26.25,,1,35,,,90,1,,1,3
7019,Election_Day,563,119,21.14,1,,51,,,67,,,,
7019,VBM,563,154,27.35,,,44,,,108,,1,,1
7021,Election_Day,599,109,18.20,,,57,,1,47,,1,,3
7021,VBM,599,95,15.86,,,39,,,53,,,,3
7022,Election_Day,636,123,19.34,,,59,,,64,,,,
7022,VBM,636,129,20.28,,,37,,2,89,,,,1
7023,Election_Day,619,106,17.12,,,56,1,1,48,,,,
7023,VBM,619,125,20.19,,,27,,,91,,,,7
7024,Election_Day,187,13,6.95,,,3,,,10,,,,
7024,VBM,187,11,5.88,,,1,,,10,,,,
7025,Election_Day,300,48,16.00,,,26,,,20,1,,,1
7025,VBM,300,50,16.67,,,20,,,30,,,,
7026,Election_Day,488,80,16.39,,1,37,,,40,,,,2
7026,VBM,488,129,26.43,,,42,1,,86,,,,
7027,Election_Day,513,119,23.20,,,56,,1,61,,,,1
7027,VBM,513,112,21.83,,1,31,1,,78,,,,1
7028,Election_Day,574,114,19.86,,,46,,1,67,,,,
7028,VBM,574,82,14.29,,,28,,,54,,,,
7029,Election_Day,604,67,11.09,,,24,1,,41,,1,,
7029,VBM,604,80,13.25,,,25,1,,53,,,,1
7030,Election_Day,345,56,16.23,,,29,,,27,,,,
7030,VBM,345,92,26.67,,1,23,1,,63,,,,4
7031,Election_Day,210,25,11.90,,,13,,,12,,,,
7031,VBM,210,86,40.95,,1,27,,,55,1,2,,
7032,Election_Day,566,95,16.78,,,44,,,51,,,,
7032,VBM,566,122,21.55,,,41,,,79,,,,2
7033,Election_Day,526,110,20.91,,,54,,,55,,,,1
7033,VBM,526,84,15.97,,,26,,,58,,,,
7034,Election_Day,586,59,10.07,,,21,1,,35,1,,,1
7034,VBM,586,64,10.92,,,17,,,46,,,1,
7035,VBM,251,55,21.91,,,12,,,42,,1,,
7036,Election_Day,464,64,13.79,,,37,1,,26,,,,
7036,VBM,464,111,23.92,,,20,,,84,,1,1,5
7037,Election_Day,461,61,13.23,,,25,,,33,,,,3
7037,VBM,461,25,5.42,,,4,2,1,17,,1,,
7038,Election_Day,456,59,12.94,,,21,,,38,,,,
7038,VBM,456,102,22.37,1,,30,2,,66,1,,1,1
7039,Election_Day,441,132,29.93,,1,68,,,63,,,,
7039,VBM,441,100,22.68,,,29,,,68,,,,3
7041,Election_Day,30,0,0.00,,,,,,,,,,
7041,VBM,30,4,13.33,,,2,,,2,,,,
7042,Election_Day,362,66,18.23,,,35,,,29,,,,2
7042,VBM,362,94,25.97,,,39,,,52,,,,3
7043,Election_Day,524,73,13.93,,,41,,,32,,,,
7043,VBM,524,138,26.34,,,44,1,1,89,,,,3
7044,Election_Day,496,56,11.29,,,25,,,29,,,,2
7044,VBM,496,43,8.67,,,15,,,28,,,,
7045,Election_Day,378,70,18.52,,,41,1,,26,1,,,1
7045,VBM,378,102,26.98,,,26,,,73,2,,,1
7046,Election_Day,244,49,20.08,,,23,,,26,,,,
7046,VBM,244,74,30.33,,,20,1,,50,1,,,2
7047,Election_Day,426,71,16.67,,,37,1,,31,1,,,1
7047,VBM,426,139,32.63,,2,40,,1,95,,,,1
7048,Election_Day,466,74,15.88,,,30,,,44,,,,
7048,VBM,466,94,20.17,,,22,,,67,3,,1,1
7049,Election_Day,371,79,21.29,,,32,1,,46,,,,
7049,VBM,371,88,23.72,,,30,1,,55,,,,2
7051,Election_Day,405,47,11.60,,,21,,,25,,,,1
7051,VBM,405,140,34.57,,,50,3,,82,,1,,4
7052,Election_Day,416,104,25.00,,2,51,,,49,,1,,1
7052,VBM,416,103,24.76,,,30,,,72,,1,,
7053,VBM,225,83,36.89,,,25,,,55,,1,,2
7054,Election_Day,633,131,20.70,,,70,,,58,1,,2,
7054,VBM,633,111,17.54,,,37,,,69,,1,,4
7101,Election_Day,98,0,0.00,,,,,,,,,,
7101,VBM,98,34,34.69,,,12,,1,21,,,,
7201,Election_Day,476,129,27.10,,,58,,1,70,,,,
7201,VBM,476,143,30.04,,1,37,1,,102,,,,2
7202,Election_Day,393,139,35.37,,,56,,,83,,,,
7202,VBM,393,114,29.01,,,41,,1,70,,,,2
7203,Election_Day,448,188,41.96,,,81,,,107,,,,
7203,VBM,448,106,23.66,,,44,,,60,,,1,1
7204,Election_Day,464,124,26.72,,,50,,,72,,,,2
7204,VBM,464,167,35.99,,,51,,,116,,,,
7205,Election_Day,452,122,26.99,,,42,,,80,,,,
7205,VBM,452,148,32.74,1,,28,,,118,,,,1
