precinct_id	name	list_order	type_1	type_2	type_3	type_4	type_5	type_6	cmax_category_order	ed_turnout	ev_turnout	MAIL_turnout	type4_turnout	type5_turnout	type6_turnout	turnout
1	Pct 1101	1	1	2	3	4	5	6	2	72	105	0	0	0	0	177
2	Pct 1102	2	1	2	3	4	5	6	2	214	182	0	0	0	0	396
3	Pct 1103	3	1	2	3	4	5	6	2	156	221	0	0	0	0	377
4	Pct 1104/1105	4	1	2	3	4	5	6	2	158	182	0	0	0	0	340
5	Pct 1106	5	1	2	3	4	5	6	2	122	142	0	0	0	0	264
6	Pct 1107	6	1	2	3	4	5	6	2	102	163	0	0	0	0	265
7	Pct 1108	7	1	2	3	4	5	6	2	146	201	0	0	0	0	347
8	Pct 1109	8	1	2	3	4	5	6	2	104	149	0	0	0	0	253
9	Pct 1111	9	1	2	3	4	5	6	2	124	212	0	0	0	0	336
10	Pct 1112	10	1	2	3	4	5	6	2	92	136	0	0	0	0	228
11	Pct 1113	11	1	2	3	4	5	6	2	79	174	0	0	0	0	253
12	Pct 1114	12	1	2	3	4	5	6	2	138	185	0	0	0	0	323
13	Pct 1115	13	1	2	3	4	5	6	2	118	174	0	0	0	0	292
14	Pct 1116	14	1	2	3	4	5	6	2	120	157	0	0	0	0	277
15	Pct 1117	15	1	2	3	4	5	6	2	138	147	0	0	0	0	285
16	Pct 1118	16	1	2	3	4	5	6	2	145	190	0	0	0	0	335
17	Pct 1119	17	1	2	3	4	5	6	2	96	146	0	0	0	0	242
18	Pct 1121	18	1	2	3	4	5	6	2	97	154	0	0	0	0	251
19	Pct 1122	19	1	2	3	4	5	6	2	83	111	0	0	0	0	194
20	Pct 1123	20	1	2	3	4	5	6	2	106	143	0	0	0	0	249
21	Pct 1124	21	1	2	3	4	5	6	2	104	121	0	0	0	0	225
22	Pct 1125	22	1	2	3	4	5	6	2	89	193	0	0	0	0	282
23	Pct 1126	23	1	2	3	4	5	6	2	125	180	0	0	0	0	305
24	Pct 1127	24	1	2	3	4	5	6	2	135	166	0	0	0	0	301
25	Pct 1128	25	1	2	3	4	5	6	2	105	174	0	0	0	0	279
26	Pct 1129	26	1	2	3	4	5	6	2	112	183	0	0	0	0	295
